cell_type	pred_uid	pred_name_long	AUPRC	AUPRC_lowerCi	AUPRC_upperCi	PrecThresh	PrecThresh_lowerCi	PrecThresh_upperCi	threshold	PrecMinSens	PrecMinSens_lowerCi	PrecMinSens_upperCi	thresholdMinSens
K562	scE2G_multiome.ignoreTPM.E2G.Score.qnorm.ignoreTPM	scE2G (Multiome,ignoreTPM)	0.5988743145872245	0.5514358685906413	0.6460033509075757	NA	NA	NA	NA	0.5054095826893354	0.46749860308369257	0.5443316140972312	0.14334625364686024
K562	scE2G_ATAC.E2G.Score.qnorm	scE2G (ATAC)	0.5954464305712192	0.5460552526409302	0.6425288181508622	NA	NA	NA	NA	0.5054095826893354	0.4677022867708565	0.5442982618999699	0.17040072982527962
K562	scE2G_multiome.E2G.Score.qnorm	scE2G (Multiome,TPM>1)	0.5341041375535398	0.4829196837294048	0.5856329580848026	NA	NA	NA	NA	0.2724252491694352	0.2468093303182966	0.298308344301566	0.03796982302450552
K562	scE2G_multiome.qnorm_TPM.E2G.Score.qnorm.TPM_qnorm_1	scE2G (Multiome,qnorm_TPM>1)	0.5316379445646348	0.4791556608481843	0.5839010857432809	NA	NA	NA	NA	0.2718204488778055	0.24637743511567956	0.29703417817876654	0.0379698230245055
K562	ARC.ARC.E2G.Score	ARC-E2G score	0.5031659664048138	0.45408958667866045	0.5523962399820402	NA	NA	NA	NA	0.3562091503267974	0.32386924618257523	0.3868020776865584	0.013455
K562	STARE.ABC.Score	STARE (gABC, power law)	0.5027842570985228	0.45762023454752876	0.5511904223495272	NA	NA	NA	NA	0.409261576971214	0.37361630864873874	0.44241774970808184	0.0037399047
K562	scATAC_ABC.ABC.Score	ABC (A=scATAC, C=power law)	0.4973942171516698	0.44582559822928725	0.5476190317361824	0.4076517150395778	0.37302726720152346	0.44263491609679534	0.015	0.36577181208053694	0.3326079476313397	0.3966802775373853	0.012356
K562	baseline.distToTSS	Distance to TSS	0.44126825097596045	0.3955819834507635	0.48844701776617483	NA	NA	NA	NA	0.3171677982541222	0.28739018783859593	0.34463700665018987	-54.011
K562	SnapATAC.z	SnapATAC (z-score)	0.1125448989987596	0.08811079179346298	0.140032902430853	NA	NA	NA	NA	0.05358415277183982	0.04844723985493518	0.058908020071022485	0
K562	Kendall.Kendall	Kendall correlation	0.10178751086533716	0.08109869487298679	0.12688908904483712	0.06829268292682927	0.05981082362994089	0.07616901264913517	0.011	0.053317378008243585	0.048355944826013755	0.0582997085458669	0
K562	ScenicPlus.importance	SCENIC+ (importance)	0.09697011427523013	0.07699969238847323	0.12112795283762182	NA	NA	NA	NA	0.06471403126855334	0.0585139388273941	0.07204783008782799	0.00256458103788927
K562	ArchR.Correlation	ArchR (Pearson correlation)	0.09036747130331538	0.07460049348074421	0.10955227636369126	NA	NA	NA	NA	0.057394776243553484	0.05160158424757128	0.06399303142531272	0
K562	Cicero.coaccess	Cicero (co-accessibility)	0.08404597202007756	0.06996010162286537	0.10070715103466849	NA	NA	NA	NA	0.0413135593220339	0.037315653286999775	0.04583087809101115	0
K562	Signac.pvalue	Signac (p-value)	0.08215043808356207	0.06644073614304304	0.10086998777924519	NA	NA	NA	NA	0.05562170437149175	0.04979048612063284	0.06163864094953631	-0.680187470815654
K562	SCENT.boot_basic_p.log10.signed	SCENT (bootstrap p-value, -log10, signed)	0.0803012623481491	0.06750668854655097	0.09396260940701637	NA	NA	NA	NA	0.056327278278125475	0.05084081730570817	0.06211056898278479	0
K562	FigR.pvalZ	FigR (p-value)	0.07114290172020009	0.057012862277394626	0.08792180723904268	NA	NA	NA	NA	0.05565957446808511	0.049729941472064235	0.06179046257005508	-0.705041924974673
K562	DIRECTNET.Importance	DIRECTNET (importance)	0.06986466322716488	0.056564866506983724	0.08751857068044627	NA	NA	NA	NA	0.05647382920110193	0.05084892873890694	0.062821456769869	5.81669677673422e-8
