cell_type	subset_col	subset	id	metric	full	conf	lower	upper	min	max	pos	neg
K562	distToTSS (bins)	All	ARC.ARC.E2G.Score	auprc	0.5031659664048138	0.95	0.44984097534355927	0.5491494332948806	0.41032816580689313	0.5870679462862102	466	9234
K562	distToTSS (bins)	All	ArchR.Correlation	auprc	0.09036747130331538	0.95	0.0747361389244056	0.1102417207364474	0.06853620083121091	0.12628961545514433	466	9234
K562	distToTSS (bins)	All	Cicero.coaccess	auprc	0.08404597202007756	0.95	0.07000341558423694	0.10214481493365352	0.06212732835473384	0.11770138404388157	466	9234
K562	distToTSS (bins)	All	DIRECTNET.Importance	auprc	0.06986466322716488	0.95	0.05654234749478684	0.0869480392429499	0.04770763983947263	0.10798799347242921	466	9234
K562	distToTSS (bins)	All	FigR.pvalZ	auprc	0.07114290172020009	0.95	0.05719337573736393	0.08833808701695577	0.05094896912446863	0.09587098305953384	466	9234
K562	distToTSS (bins)	All	Kendall.Kendall	auprc	0.10178751086533716	0.95	0.08150832426333889	0.1252293060288199	0.0727501332074312	0.1510129035541199	466	9234
K562	distToTSS (bins)	All	SCENT.boot_basic_p.log10.signed	auprc	0.0803012623481491	0.95	0.06818188424029852	0.09397784138179882	0.059034006733281845	0.10781605591050678	466	9234
K562	distToTSS (bins)	All	STARE.ABC.Score	auprc	0.5027842570985228	0.95	0.44996315422276983	0.5497622044280874	0.41712949985697373	0.5992741966640638	466	9234
K562	distToTSS (bins)	All	ScenicPlus.importance	auprc	0.09697011427523013	0.95	0.07787229605599764	0.11984520244480505	0.06859957368996836	0.13677159644672604	466	9234
K562	distToTSS (bins)	All	Signac.pvalue	auprc	0.08215043808356207	0.95	0.06607274492117915	0.10060860363805008	0.05946168580062666	0.11301594027410607	466	9234
K562	distToTSS (bins)	All	SnapATAC.z	auprc	0.1125448989987596	0.95	0.08915979278409991	0.13773507983561312	0.07785892870656454	0.1598229115004912	466	9234
K562	distToTSS (bins)	All	baseline.distToTSS	auprc	0.44126825097596045	0.95	0.38948609789731964	0.48860208289464074	0.36727590761238965	0.5367370188784869	466	9234
K562	distToTSS (bins)	All	scATAC_ABC.ABC.Score	auprc	0.4973942171516698	0.95	0.4463470168746045	0.5444621724931227	0.4062195662091076	0.5827525292594807	466	9234
K562	distToTSS (bins)	All	scE2G_ATAC.E2G.Score.qnorm	auprc	0.5954464305712192	0.95	0.5437340664434875	0.6409099123410271	0.5176361292148627	0.665695744714079	466	9234
K562	distToTSS (bins)	All	scE2G_multiome.E2G.Score.qnorm	auprc	0.5341041375535398	0.95	0.4844129602502442	0.5835457165406089	0.4486209076428897	0.6163462284503989	466	9234
K562	distToTSS (bins)	All	scE2G_multiome.ignoreTPM.E2G.Score.qnorm.ignoreTPM	auprc	0.5988743145872245	0.95	0.5481773972293419	0.6455721190993644	0.5193712330719309	0.6661093432344773	466	9234
K562	distToTSS (bins)	All	scE2G_multiome.qnorm_TPM.E2G.Score.qnorm.TPM_qnorm_1	auprc	0.5316379445646348	0.95	0.4812846989740511	0.579813727003415	0.448625082121557	0.6162179353264757	466	9234
K562	distToTSS (bins)	[0,20)	ARC.ARC.E2G.Score	auprc	0.6911243941686729	0.95	0.6143441664528775	0.7560203026937924	0.5755933883237212	0.8073953341224309	196	224
K562	distToTSS (bins)	[0,20)	ArchR.Correlation	auprc	0.5436342520849723	0.95	0.4664406690780074	0.6153528714639024	0.4298272072570076	0.6500280015787598	196	224
K562	distToTSS (bins)	[0,20)	Cicero.coaccess	auprc	0.5942315227992787	0.95	0.5186659381241956	0.6618567227526724	0.4812970761517972	0.7073479781635152	196	224
K562	distToTSS (bins)	[0,20)	DIRECTNET.Importance	auprc	0.4520198695787127	0.95	0.37782348304103747	0.5322241341246604	0.32776042371013325	0.5694087646090876	196	224
K562	distToTSS (bins)	[0,20)	FigR.pvalZ	auprc	0.47209267016286327	0.95	0.3948772622423865	0.5500816255197091	0.34995465544443277	0.5765238612893094	196	224
K562	distToTSS (bins)	[0,20)	Kendall.Kendall	auprc	0.5693835403870475	0.95	0.4929297534945877	0.6383127853633606	0.44643052134323025	0.6880095498007203	196	224
K562	distToTSS (bins)	[0,20)	SCENT.boot_basic_p.log10.signed	auprc	0.5322169299952483	0.95	0.46656372521252504	0.6004154127480926	0.4044413118364728	0.6762383678522053	196	224
K562	distToTSS (bins)	[0,20)	STARE.ABC.Score	auprc	0.6989155383098493	0.95	0.6263209907914822	0.7615280938249517	0.5789280448986822	0.8042263631953104	196	224
K562	distToTSS (bins)	[0,20)	ScenicPlus.importance	auprc	0.502041034956021	0.95	0.4218769726103363	0.5785134171120511	0.35693268136962936	0.636973858862471	196	224
K562	distToTSS (bins)	[0,20)	Signac.pvalue	auprc	0.4888450964339103	0.95	0.40887394937672134	0.5680390751614376	0.35776825278247415	0.610450429388304	196	224
K562	distToTSS (bins)	[0,20)	SnapATAC.z	auprc	0.5624662488239164	0.95	0.4864431104277421	0.6312448469899241	0.4428061685091911	0.6856411352206689	196	224
K562	distToTSS (bins)	[0,20)	baseline.distToTSS	auprc	0.6457019527074097	0.95	0.5736948995536162	0.7142272524910657	0.5045594591830723	0.7419473822224099	196	224
K562	distToTSS (bins)	[0,20)	scATAC_ABC.ABC.Score	auprc	0.6886564820870337	0.95	0.6140167594906404	0.7537525869974537	0.5791858340170639	0.7999713706693926	196	224
K562	distToTSS (bins)	[0,20)	scE2G_ATAC.E2G.Score.qnorm	auprc	0.7366976450311117	0.95	0.6681256348067964	0.7974954478917609	0.6263604510347506	0.8198265104351309	196	224
K562	distToTSS (bins)	[0,20)	scE2G_multiome.E2G.Score.qnorm	auprc	0.6627891534141298	0.95	0.5899255373865568	0.7258107082348857	0.5351343233247527	0.76433539563533	196	224
K562	distToTSS (bins)	[0,20)	scE2G_multiome.ignoreTPM.E2G.Score.qnorm.ignoreTPM	auprc	0.7389679968055517	0.95	0.6735198400625911	0.7997086964812677	0.627818077501851	0.8351197799111432	196	224
K562	distToTSS (bins)	[0,20)	scE2G_multiome.qnorm_TPM.E2G.Score.qnorm.TPM_qnorm_1	auprc	0.6578731524554834	0.95	0.5870398749462561	0.7208227828477332	0.5141644409791343	0.7584474531044675	196	224
