cell_type	pred_uid	pred_name_long	AUPRC	AUPRC_lowerCi	AUPRC_upperCi	PrecThresh	PrecThresh_lowerCi	PrecThresh_upperCi	threshold	PrecMinSens	PrecMinSens_lowerCi	PrecMinSens_upperCi	thresholdMinSens
K562	scE2G_multiome_ignore_TPM.E2G.Score.cv.qnorm.ignoreTPM	scE2G (Multiome, ignore_TPM)	0.5866114466784902	0.5369932779985399	0.6314446690056347	NA	NA	NA	NA	0.4984567901234568	0.4622711771137991	0.5345078063610513	0.14376929016506135
K562	scE2G_ATAC.E2G.Score.cv.qnorm	scE2G (ATAC)	0.5848838578935003	0.5332464941941336	0.6311688658687682	NA	NA	NA	NA	0.4938837920489297	0.45762835420911924	0.5303012399527268	0.17221729762490207
K562	scE2G_multiome.E2G.Score.cv.qnorm	scE2G (Multiome)	0.5249511287737234	0.47464787892111815	0.5753533580734668	NA	NA	NA	NA	0.25313479623824453	0.23042436589548795	0.27507885072242677	0.0371584076593448
K562	STARE.ABC.Score	STARE (gABC, power law)	0.5142906146155235	0.4636940105706816	0.5598858571100664	NA	NA	NA	NA	0.4098984771573604	0.37577017647303257	0.44222925434001126	0.0042361317
K562	ARC.ARC.E2G.Score	ARC-E2G score	0.5007736094979252	0.4511072412331873	0.5473881734389552	NA	NA	NA	NA	0.36089385474860336	0.3307769593870334	0.3915672499345403	0.0139835502418921
K562	scATAC_ABC.ABC.Score	ABC (A=scATAC, C=power law)	0.4964466195089361	0.4453684642250924	0.5427331817929493	0.4050464807436919	0.3647494474833748	0.44005033492981255	0.015	0.36332958380202474	0.33226283118905714	0.3942147693757636	0.012341
K562	baseline.distToTSS	Distance to TSS	0.44002006200906957	0.38997665704605083	0.49152118817707846	NA	NA	NA	NA	0.3151219512195122	0.28728603597363167	0.3427637243026104	-53.664
K562	SnapATAC.z	SnapATAC (z-score)	0.11062063982665707	0.08737136701062077	0.13882362594036882	NA	NA	NA	NA	0.05290546400693842	0.04775861440824864	0.057744646104478284	0
K562	ScenicPlus.importance	SCENIC+ (importance)	0.10669630323699765	0.08563231355732379	0.13259636630842683	NA	NA	NA	NA	0.06817222456732798	0.061391055716483005	0.07559817749456703	0.0029245215221126
K562	ArchR.Correlation	ArchR (Pearson correlation)	0.10518762100617839	0.08788763108923649	0.12951878181760632	NA	NA	NA	NA	0.05793918918918919	0.0519035153827048	0.06410174036448628	0
K562	SCENT.boot_basic_p.log10.signed	SCENT (bootstrap p-value, -log10, signed)	0.10188600789936321	0.08296663055450236	0.12775175016526014	NA	NA	NA	NA	0.05048321464903357	0.04564734253133235	0.055133300914265576	0
K562	Kendall.Kendall	Kendall correlation	0.09909833609423038	0.07989252152841049	0.12494683741205626	0.06505334374186833	0.05683803961780657	0.07341753292100534	0.011	0.05432223343424151	0.04861783098228259	0.06003485064831107	9.78727942264659e-5
K562	Cicero.coaccess	Cicero (co-accessibility)	0.08326435806784634	0.06869708079016167	0.1009528932539411	NA	NA	NA	NA	0.0409005186232909	0.03698077172106596	0.04499901027052588	0
K562	Signac.pvalue	Signac (p-value)	0.07461068639533064	0.06124590656593446	0.09288785472695503	NA	NA	NA	NA	0.05361885790172643	0.04791833678666725	0.05914460163300049	-0.687343083883774
K562	FigR.pvalZ	FigR (p-value)	0.06702163246012684	0.05534180494756952	0.08211644387164335	NA	NA	NA	NA	0.053991001499750044	0.04806727077027023	0.05951182649861031	-0.688712730794861
K562	DIRECTNET.Importance	DIRECTNET (importance)	0.06257646432948172	0.051779595056799736	0.07914992987355064	NA	NA	NA	NA	0.05642907058001398	0.0503919683745581	0.062270803324648585	4.29591239796651e-7
