cell_type	subset_col	subset	id	metric	full	conf	lower	upper	min	max	pos	neg
K562	distToTSS (bins)	All	ARC.ARC.E2G.Score	auprc	0.5007736094979252	0.95	0.4513110036887284	0.5543854001646045	0.42518033027773267	0.5810745386200613	461	9225
K562	distToTSS (bins)	All	ArchR.Correlation	auprc	0.10518762100617839	0.95	0.08560515053314875	0.12792397854825466	0.07557566486864739	0.15492321866090739	461	9225
K562	distToTSS (bins)	All	Cicero.coaccess	auprc	0.08326435806784634	0.95	0.06952128281559458	0.10046964499275748	0.05902932918536152	0.11481202337929095	461	9225
K562	distToTSS (bins)	All	DIRECTNET.Importance	auprc	0.06257646432948172	0.95	0.05045804177350238	0.08021509368280935	0.04339690278825414	0.08963607121530383	461	9225
K562	distToTSS (bins)	All	FigR.pvalZ	auprc	0.06702163246012684	0.95	0.05444167541657877	0.08375654433893688	0.0489066003237173	0.10208514883227163	461	9225
K562	distToTSS (bins)	All	Kendall.Kendall	auprc	0.09909833609423038	0.95	0.07857799592483922	0.12404148217480501	0.06406885361962619	0.15271945969300602	461	9225
K562	distToTSS (bins)	All	SCENT.boot_basic_p.log10.signed	auprc	0.10188600789936321	0.95	0.0820257670376483	0.12485021037234359	0.06632268280493492	0.1458916963926524	461	9225
K562	distToTSS (bins)	All	STARE.ABC.Score	auprc	0.5142906146155235	0.95	0.4652171577835913	0.5604894320155736	0.41831991301633314	0.5910417616042379	461	9225
K562	distToTSS (bins)	All	ScenicPlus.importance	auprc	0.10669630323699765	0.95	0.08333492782012754	0.1312459467780465	0.07374278230497323	0.15564923481406973	461	9225
K562	distToTSS (bins)	All	Signac.pvalue	auprc	0.07461068639533064	0.95	0.06048183265574613	0.09113950685773493	0.05241688446381681	0.10872071440831362	461	9225
K562	distToTSS (bins)	All	SnapATAC.z	auprc	0.11062063982665707	0.95	0.08657687921507513	0.1376112527863298	0.06678236617188774	0.16491703115276776	461	9225
K562	distToTSS (bins)	All	baseline.distToTSS	auprc	0.44002006200906957	0.95	0.3908847250576527	0.48943915309971664	0.340349232913535	0.5272111669820022	461	9225
K562	distToTSS (bins)	All	scATAC_ABC.ABC.Score	auprc	0.4964466195089361	0.95	0.44487520129955554	0.5502347379784401	0.4186746354554875	0.5769528428615237	461	9225
K562	distToTSS (bins)	All	scE2G_ATAC.E2G.Score.cv.qnorm	auprc	0.5848838578935003	0.95	0.5369133872709586	0.635672392083896	0.5055661643474907	0.6662770253881254	461	9225
K562	distToTSS (bins)	All	scE2G_multiome.E2G.Score.cv.qnorm	auprc	0.5249511287737234	0.95	0.47510033055746775	0.578607471543188	0.44419638672735934	0.6137864295110571	461	9225
K562	distToTSS (bins)	All	scE2G_multiome_ignore_TPM.E2G.Score.cv.qnorm.ignoreTPM	auprc	0.5866114466784902	0.95	0.5386760611849983	0.6369615977474439	0.5088822066546563	0.6680685429830171	461	9225
K562	distToTSS (bins)	[0,20)	ARC.ARC.E2G.Score	auprc	0.694490512032842	0.95	0.6206309990533772	0.7535740764389383	0.5765786854839261	0.7955576567856929	195	224
K562	distToTSS (bins)	[0,20)	ArchR.Correlation	auprc	0.5700457425622325	0.95	0.49209974760806946	0.6436761647982678	0.4623258642651576	0.6701718027273119	195	224
K562	distToTSS (bins)	[0,20)	Cicero.coaccess	auprc	0.5969740829164689	0.95	0.5220607193081951	0.6626480055961145	0.469859253990123	0.699139861645307	195	224
K562	distToTSS (bins)	[0,20)	DIRECTNET.Importance	auprc	0.45431009415866735	0.95	0.37670289427022186	0.5348042786880499	0.32299705051190114	0.5877593628606752	195	224
K562	distToTSS (bins)	[0,20)	FigR.pvalZ	auprc	0.4759411257076643	0.95	0.3990383797884636	0.54709902678081	0.3490725559484767	0.5854806757718024	195	224
K562	distToTSS (bins)	[0,20)	Kendall.Kendall	auprc	0.5714579999793277	0.95	0.4973903446921413	0.6431638593783557	0.47183441405554605	0.676683313841676	195	224
K562	distToTSS (bins)	[0,20)	SCENT.boot_basic_p.log10.signed	auprc	0.5926627230817806	0.95	0.5165501400657633	0.6607278891805235	0.4642430907246992	0.7040471043415273	195	224
K562	distToTSS (bins)	[0,20)	STARE.ABC.Score	auprc	0.7085268135030747	0.95	0.6391555306696262	0.7646078816263946	0.5699826034095982	0.8111480619981912	195	224
K562	distToTSS (bins)	[0,20)	ScenicPlus.importance	auprc	0.5168852966819354	0.95	0.4358480173834515	0.5943235915061047	0.3868556693515745	0.6468922829533172	195	224
K562	distToTSS (bins)	[0,20)	Signac.pvalue	auprc	0.4847163314223095	0.95	0.4056482545319608	0.5623081237772439	0.37267275209443107	0.5928444947250783	195	224
K562	distToTSS (bins)	[0,20)	SnapATAC.z	auprc	0.5634619206206573	0.95	0.4909884896875465	0.6330829306473816	0.4558448660880515	0.6668165184376682	195	224
K562	distToTSS (bins)	[0,20)	baseline.distToTSS	auprc	0.643556983916356	0.95	0.5695737940193961	0.718258270522431	0.522859648019801	0.7694463077269501	195	224
K562	distToTSS (bins)	[0,20)	scATAC_ABC.ABC.Score	auprc	0.6916934634479729	0.95	0.6173640227119517	0.7489374980464197	0.5745743554711074	0.7955159069471311	195	224
K562	distToTSS (bins)	[0,20)	scE2G_ATAC.E2G.Score.cv.qnorm	auprc	0.7359428732183485	0.95	0.6672766220486475	0.7915590229163146	0.6147366293159119	0.8206697146839814	195	224
K562	distToTSS (bins)	[0,20)	scE2G_multiome.E2G.Score.cv.qnorm	auprc	0.6668838762970489	0.95	0.5881716947970168	0.7311957449908939	0.5544883071564971	0.7694932210668746	195	224
K562	distToTSS (bins)	[0,20)	scE2G_multiome_ignore_TPM.E2G.Score.cv.qnorm.ignoreTPM	auprc	0.7375776053358472	0.95	0.6686291035955206	0.7940788283085563	0.6202209276180809	0.8116646838852857	195	224
K562	distToTSS (bins)	[20,100)	ARC.ARC.E2G.Score	auprc	0.3616603958902343	0.95	0.289579754299177	0.43511291752758713	0.23016045408699468	0.5191547801239872	189	1188
K562	distToTSS (bins)	[20,100)	ArchR.Correlation	auprc	0.2534410026644447	0.95	0.19995904253174207	0.3163969812845806	0.16400436105493293	0.36163407304380946	189	1188
K562	distToTSS (bins)	[20,100)	Cicero.coaccess	auprc	0.18122059353564043	0.95	0.14479082082089	0.22191911837692305	0.12155428937614884	0.24904370592189856	189	1188
K562	distToTSS (bins)	[20,100)	DIRECTNET.Importance	auprc	0.1720811945038817	0.95	0.13213847620164626	0.22460452179867244	0.10263263640477946	0.27355809518236857	189	1188
K562	distToTSS (bins)	[20,100)	FigR.pvalZ	auprc	0.1621600556067464	0.95	0.12401158747116722	0.21444403597233305	0.10108082473776861	0.26820239930975653	189	1188
K562	distToTSS (bins)	[20,100)	Kendall.Kendall	auprc	0.20970953704310907	0.95	0.16252030277854343	0.27379485661656655	0.1328570031259395	0.3439265122350679	189	1188
K562	distToTSS (bins)	[20,100)	SCENT.boot_basic_p.log10.signed	auprc	0.23556274442321395	0.95	0.18619854062048033	0.29889640215181856	0.14011493128365507	0.3365516765631722	189	1188
K562	distToTSS (bins)	[20,100)	STARE.ABC.Score	auprc	0.3661121202954224	0.95	0.2988709176979336	0.4376365367977768	0.2651550164078447	0.4721073859014621	189	1188
K562	distToTSS (bins)	[20,100)	ScenicPlus.importance	auprc	0.27579600571260915	0.95	0.2125837572463016	0.342242488574134	0.18203243214481266	0.38042177211706024	189	1188
K562	distToTSS (bins)	[20,100)	Signac.pvalue	auprc	0.17836731380337198	0.95	0.13454365279972663	0.23498475373347893	0.11179607633091952	0.2874087289635198	189	1188
K562	distToTSS (bins)	[20,100)	SnapATAC.z	auprc	0.22918558161256988	0.95	0.17882196359373928	0.3009965834599801	0.13300387204067415	0.3473709680952385	189	1188
K562	distToTSS (bins)	[20,100)	baseline.distToTSS	auprc	0.24084910779562635	0.95	0.19993224425087455	0.2876622029298476	0.1690751252264344	0.3570269503533071	189	1188
