cell_type	pred_uid	pred_name_long	AUPRC	AUPRC_lowerCi	AUPRC_upperCi	PrecThresh	PrecThresh_lowerCi	PrecThresh_upperCi	threshold	PrecMinSens	PrecMinSens_lowerCi	PrecMinSens_upperCi	thresholdMinSens
K562	scE2G_multiome.ignoreTPM.E2G.Score.qnorm.ignoreTPM	scE2G (Multiome,ignoreTPM)	0.6231612850423357	0.5688225997273143	0.6713023329606542	NA	NA	NA	NA	0.5570698466780238	0.5160286421854273	0.5966913436382504	0.19399057941216635
K562	scE2G_ATAC.E2G.Score.qnorm	scE2G (ATAC)	0.609922995322341	0.5566554145673268	0.657917877251007	NA	NA	NA	NA	0.5317073170731708	0.4914704962102028	0.5709167043658058	0.19567634295847428
K562	scE2G_multiome.E2G.Score.qnorm	scE2G (Multiome,TPM>1)	0.6088660287290174	0.5543971121990524	0.6585127492126539	NA	NA	NA	NA	0.512539184952978	0.47257253231056773	0.5508111702452916	0.1580879435755211
K562	scE2G_multiome.qnorm_TPM.E2G.Score.qnorm.TPM_qnorm_1	scE2G (Multiome,qnorm_TPM>1)	0.6045283773174174	0.5500960164162465	0.6539330350214387	NA	NA	NA	NA	0.5109375	0.47099582921451943	0.548936721706065	0.156681338262188
K562	ARC.ARC.E2G.Score	ARC-E2G score	0.5362308458339788	0.4846968237669189	0.5881938982263039	NA	NA	NA	NA	0.4052044609665427	0.3718453188438048	0.43824162687231843	0.0183864482186764
K562	scATAC_ABC.ABC.Score	ABC (A=scATAC, C=power law)	0.5169303995182081	0.4645932088582108	0.5664889422985495	0.4086845466155811	0.3724979923595281	0.4435895947947385	0.015	0.40171990171990174	0.3692334929049376	0.43482289784626077	0.014223
K562	STARE.ABC.Score	STARE (gABC, power law)	0.5130515022904398	0.4613058587353629	0.5597461448857116	NA	NA	NA	NA	0.4197689345314506	0.3869281045751634	0.45499783692018214	0.004061045
K562	baseline.distToTSS	Distance to TSS	0.44126825097596045	0.3881816670416279	0.48736798627834477	NA	NA	NA	NA	0.3171677982541222	0.2880279268817245	0.3463091725310957	-54.011
K562	Signac.pvalue	Signac (p-value)	0.15547970225524627	0.12070307788495553	0.19003698125253068	NA	NA	NA	NA	0.0669396110542477	0.06033985134870925	0.07410423033895104	-0.394912639668865
K562	Kendall.Kendall	Kendall correlation	0.15489785621092134	0.12301531872017082	0.18634666217022364	0.06273426711382915	0.05617543146291667	0.06966589621766973	0.011	0.0620257966616085	0.055810088212444375	0.06827757708914957	0.0099099493231984
K562	Cicero.coaccess	Cicero (co-accessibility)	0.13599214583150507	0.11126672726625408	0.1625253824011467	NA	NA	NA	NA	0.04698224852071006	0.042611534721110976	0.051602998999669254	0
K562	SnapATAC.z	SnapATAC (z-score)	0.13360493114216707	0.10656564802658153	0.16209513685834998	NA	NA	NA	NA	0.05866523143164693	0.05292556106498493	0.06454408620638936	0.439801901665956
K562	FigR.pvalZ	FigR (p-value)	0.13067729052389274	0.1026369471541274	0.16072526991275884	NA	NA	NA	NA	0.06215548374833682	0.05574500724601218	0.06860396292358031	-0.522592316964432
K562	ScenicPlus.importance	SCENIC+ (importance)	0.11586206604837773	0.09385385782716407	0.13937059841724134	NA	NA	NA	NA	0.07389830508474576	0.06572754841113833	0.08124156585609153	0.0034798896685696
K562	ArchR.Correlation	ArchR (Pearson correlation)	0.10380095588412187	0.08472790424135514	0.1264862116055042	NA	NA	NA	NA	0.05921748325696158	0.05305550308795867	0.06506549936035454	0
K562	DIRECTNET.Importance	DIRECTNET (importance)	0.10262884963589912	0.08124625999361836	0.12938640893731335	NA	NA	NA	NA	0.05926060166727075	0.05303579945371074	0.06551936082435202	4.04794072369995e-6
K562	SCENT.boot_basic_p.log10.signed	SCENT (bootstrap p-value, -log10, signed)	0.09546208953014941	0.08055169999031463	0.11166693304956317	NA	NA	NA	NA	0.056181463121526214	0.05071018570657475	0.06148317435031876	0
