cell_type	subset_col	subset	id	metric	full	conf	lower	upper	min	max	pos	neg
K562	distToTSS (bins)	All	ARC.ARC.E2G.Score	auprc	0.5362308458339788	0.95	0.48215745786597813	0.5850887089966845	0.4577333553962573	0.6131777250929985	466	9234
K562	distToTSS (bins)	All	ArchR.Correlation	auprc	0.10380095588412187	0.95	0.08428869510047132	0.12524980687959447	0.07028978749925983	0.13750804744332012	466	9234
K562	distToTSS (bins)	All	Cicero.coaccess	auprc	0.13599214583150507	0.95	0.11205432914169065	0.16141590368908376	0.09625826926555318	0.19614395441726315	466	9234
K562	distToTSS (bins)	All	DIRECTNET.Importance	auprc	0.10262884963589912	0.95	0.08051839086502141	0.1285326446473288	0.06919918208342486	0.13962983063601883	466	9234
K562	distToTSS (bins)	All	FigR.pvalZ	auprc	0.13067729052389274	0.95	0.10083869406499409	0.16005525634272166	0.08689679977861091	0.18589407038436195	466	9234
K562	distToTSS (bins)	All	Kendall.Kendall	auprc	0.15489785621092134	0.95	0.1224152860567383	0.1875391148896588	0.10623034067617267	0.2055047068801992	466	9234
K562	distToTSS (bins)	All	SCENT.boot_basic_p.log10.signed	auprc	0.09546208953014941	0.95	0.07934572877509792	0.11233158860221028	0.07403917520313878	0.12317751021568348	466	9234
K562	distToTSS (bins)	All	STARE.ABC.Score	auprc	0.5130515022904398	0.95	0.4612961744332512	0.561029757522728	0.43548912181126487	0.5935708589952013	466	9234
K562	distToTSS (bins)	All	ScenicPlus.importance	auprc	0.11586206604837773	0.95	0.09425699583471998	0.14299627892740055	0.08012822551298224	0.1607900218762992	466	9234
K562	distToTSS (bins)	All	Signac.pvalue	auprc	0.15547970225524627	0.95	0.12134533980100201	0.19009995397873827	0.1007479815024236	0.2120295130351596	466	9234
K562	distToTSS (bins)	All	SnapATAC.z	auprc	0.13360493114216707	0.95	0.10511327549985139	0.16167766340993284	0.09390758326174144	0.1811453859618803	466	9234
K562	distToTSS (bins)	All	baseline.distToTSS	auprc	0.44126825097596045	0.95	0.39131154010831287	0.49164327176729633	0.3439510679700396	0.5127559445562329	466	9234
K562	distToTSS (bins)	All	scATAC_ABC.ABC.Score	auprc	0.5169303995182081	0.95	0.4632718981230713	0.5644128817252325	0.42922481874972834	0.5981201178349049	466	9234
K562	distToTSS (bins)	All	scE2G_ATAC.E2G.Score.qnorm	auprc	0.609922995322341	0.95	0.5565691007440777	0.6538510755912841	0.5260826659224502	0.6904816048990298	466	9234
K562	distToTSS (bins)	All	scE2G_multiome.E2G.Score.qnorm	auprc	0.6088660287290174	0.95	0.5554014534850613	0.6554524164723079	0.5244094730918902	0.6838293831387119	466	9234
K562	distToTSS (bins)	All	scE2G_multiome.ignoreTPM.E2G.Score.qnorm.ignoreTPM	auprc	0.6231612850423357	0.95	0.5705644876764244	0.6687027622816668	0.5437384451415068	0.7004807401123897	466	9234
