cell_type	pred_uid	pred_name_long	AUPRC	AUPRC_lowerCi	AUPRC_upperCi	PrecThresh	PrecThresh_lowerCi	PrecThresh_upperCi	threshold	PrecMinSens	PrecMinSens_lowerCi	PrecMinSens_upperCi	thresholdMinSens
K562	scE2G_multiome_ignore_TPM.E2G.Score.cv.qnorm.ignoreTPM	scE2G (Multiome, ignore_TPM)	0.6077524944445885	0.5589236642691734	0.6534484494154624	NA	NA	NA	NA	0.5286415711947627	0.48904430921500935	0.5721323460484352	0.1796578620081293
K562	scE2G_multiome.E2G.Score.cv.qnorm	scE2G (Multiome)	0.6022975742306804	0.5531777668492787	0.6500373974880622	NA	NA	NA	NA	0.5023328149300156	0.4648851079028444	0.5438829057922862	0.16231958367282456
K562	scE2G_ATAC.E2G.Score.cv.qnorm	scE2G (ATAC)	0.5931210625342196	0.5433443078507046	0.6394055985573461	NA	NA	NA	NA	0.5086614173228347	0.4703195050746707	0.549538492809851	0.18349051169998856
K562	ARC.ARC.E2G.Score	ARC-E2G score	0.5320807649458223	0.48217411753600076	0.5837858518129226	NA	NA	NA	NA	0.3872901678657074	0.3543237751733558	0.4208671429116524	0.0173829237610197
K562	STARE.ABC.Score	STARE (gABC, power law)	0.5255499608218251	0.47603646286682494	0.5744637695657222	NA	NA	NA	NA	0.4211212516297262	0.38533585948892063	0.4574724675928189	0.0046898333
K562	scATAC_ABC.ABC.Score	ABC (A=scATAC, C=power law)	0.5118437162763847	0.46117270150296097	0.5635703080004508	0.40310077519379844	0.3690241004987216	0.43890047209832844	0.015	0.3905683192261185	0.35776794389263566	0.42623772607775506	0.01382
K562	baseline.distToTSS	Distance to TSS	0.44002006200906957	0.3911799901969596	0.49351541425927953	NA	NA	NA	NA	0.3151219512195122	0.28616304289309685	0.3465478512554129	-53.664
K562	Kendall.Kendall	Kendall correlation	0.15933154693486026	0.12721682521866243	0.19369815498860207	0.06125166444740346	0.05478449371973422	0.06728298477769161	0.011	0.06122062168309325	0.054676355079708534	0.06776480394388644	0.0108881946594647
K562	FigR.pvalZ	FigR (p-value)	0.1388701839074333	0.11289217686407733	0.17015732650010418	NA	NA	NA	NA	0.0630859375	0.056257167862563955	0.06977170663868482	-0.487511725874794
K562	SnapATAC.z	SnapATAC (z-score)	0.13623382469427275	0.10843592267598567	0.16650989705563263	NA	NA	NA	NA	0.059539170506912445	0.0531290812104907	0.06594521541228555	0.567382450646885
K562	Cicero.coaccess	Cicero (co-accessibility)	0.13550605314499314	0.1109524489801683	0.16273298425590188	NA	NA	NA	NA	0.046467520151730675	0.04204384066943821	0.05120830040573818	0
K562	Signac.pvalue	Signac (p-value)	0.1329760564979829	0.10730775141993998	0.16218108514540808	NA	NA	NA	NA	0.0641382049245433	0.05753299590149574	0.07131536442678824	-0.402004320773563
K562	SCENT.boot_basic_p.log10.signed	SCENT (bootstrap p-value, -log10, signed)	0.12755960319129853	0.10127011178060882	0.1567363371919187	NA	NA	NA	NA	0.04998006114581949	0.04506713575508138	0.05503836771171415	0
K562	ScenicPlus.importance	SCENIC+ (importance)	0.11539943844433169	0.09340793795989448	0.13969620561267154	NA	NA	NA	NA	0.07559091972852797	0.0670933543630801	0.08439862765626041	0.00363297567493181
K562	ArchR.Correlation	ArchR (Pearson correlation)	0.10694544717750229	0.08626888311390217	0.13035843890134277	NA	NA	NA	NA	0.05938975662913186	0.05312852490482487	0.06620605842353654	0
K562	DIRECTNET.Importance	DIRECTNET (importance)	0.10217602513973252	0.08155637725586785	0.1274747984590454	NA	NA	NA	NA	0.05861005262202867	0.05228751850147156	0.06500257695065059	4.01578949314105e-6
