cell_type	subset_col	subset	id	metric	full	conf	lower	upper	min	max	pos	neg
K562	distToTSS (bins)	All	ARC.ARC.E2G.Score	auprc	0.5320807649458223	0.95	0.4838887713032928	0.5815928130886499	0.4590591528096193	0.6212872906073392	461	9225
K562	distToTSS (bins)	All	ArchR.Correlation	auprc	0.10694544717750229	0.95	0.0878504536956172	0.13205914744235359	0.07840932505338237	0.14580215825802167	461	9225
K562	distToTSS (bins)	All	Cicero.coaccess	auprc	0.13550605314499314	0.95	0.11213205167945156	0.16598724996286646	0.10532302967351394	0.17652857756018195	461	9225
K562	distToTSS (bins)	All	DIRECTNET.Importance	auprc	0.10217602513973252	0.95	0.08247544708129341	0.12978229864929858	0.06823964505542283	0.14445513276505959	461	9225
K562	distToTSS (bins)	All	FigR.pvalZ	auprc	0.1388701839074333	0.95	0.1108487136780514	0.1725743757501868	0.09734381971089863	0.18375977640920088	461	9225
K562	distToTSS (bins)	All	Kendall.Kendall	auprc	0.15933154693486026	0.95	0.1273257987412525	0.1937415651891071	0.11462523025465554	0.2142762907768587	461	9225
K562	distToTSS (bins)	All	SCENT.boot_basic_p.log10.signed	auprc	0.12755960319129853	0.95	0.10252274778269295	0.15689459480209508	0.09315148459767068	0.17636898785941912	461	9225
K562	distToTSS (bins)	All	STARE.ABC.Score	auprc	0.5255499608218251	0.95	0.4772705206312627	0.5750347477319596	0.45202437701222686	0.611606872885652	461	9225
K562	distToTSS (bins)	All	ScenicPlus.importance	auprc	0.11539943844433169	0.95	0.09565939190712443	0.1424086356042471	0.08431195540517004	0.17769086935379505	461	9225
K562	distToTSS (bins)	All	Signac.pvalue	auprc	0.1329760564979829	0.95	0.1063031948365589	0.16355874473145757	0.09626240534363341	0.18220105722875618	461	9225
K562	distToTSS (bins)	All	SnapATAC.z	auprc	0.13623382469427275	0.95	0.1088633462982778	0.16650747280722522	0.09571671253083248	0.1842333590302225	461	9225
K562	distToTSS (bins)	All	baseline.distToTSS	auprc	0.44002006200906957	0.95	0.3918492292525173	0.4937758956638495	0.36597212867107654	0.5097851846893805	461	9225
K562	distToTSS (bins)	All	scATAC_ABC.ABC.Score	auprc	0.5118437162763847	0.95	0.46263016901320975	0.5609891609368631	0.43501512062018266	0.5969336567971494	461	9225
K562	distToTSS (bins)	All	scE2G_ATAC.E2G.Score.cv.qnorm	auprc	0.5931210625342196	0.95	0.5463065601754102	0.6423197660287628	0.518383746214145	0.6706514245975067	461	9225
K562	distToTSS (bins)	All	scE2G_multiome.E2G.Score.cv.qnorm	auprc	0.6022975742306804	0.95	0.5558174807285906	0.650299229811054	0.5255670601536399	0.6739251525384266	461	9225
