cell_type	pred_uid	pred_name_long	AUPRC	AUPRC_lowerCi	AUPRC_upperCi	PrecThresh	PrecThresh_lowerCi	PrecThresh_upperCi	threshold	PrecMinSens	PrecMinSens_lowerCi	PrecMinSens_upperCi	thresholdMinSens
K562	scE2G_multiome.ignoreTPM.E2G.Score.cv.qnorm.ignoreTPM	scE2G (Multiome,ignoreTPM)	0.6295814421075306	0.5801325936279923	0.6777698434982143	NA	NA	NA	NA	0.5628227194492255	0.5250442051252918	0.603647285864784	0.19347446558744583
K562	scE2G_multiome.E2G.Score.cv.qnorm	scE2G (Multiome)	0.6164299966618602	0.5668314127857464	0.6612695189585602	NA	NA	NA	NA	0.551433389544688	0.5120317500747306	0.5903010033444817	0.17820845227417492
K562	scE2G_ATAC.E2G.Score.cv.qnorm	scE2G (ATAC)	0.5909175784717455	0.5393856826645037	0.6384015991101158	NA	NA	NA	NA	0.519872813990461	0.4837219401737549	0.5588628422017184	0.19061298537144636
K562	ARC.ARC.E2G.Score	ARC-E2G score	0.5626358420443522	0.5116673646946235	0.6101888400824467	NA	NA	NA	NA	0.496206373292868	0.458729113163553	0.534142182786241	0.0271614245211535
K562	scATAC_ABC.ABC.Score	ABC (A=scATAC, C=power law)	0.49177504123558463	0.4413442730645508	0.541473648644601	0.4263565891472868	0.3919599758144657	0.46084888625580755	0.015	0.44010767160161507	0.4057615314535209	0.4753577327609988	0.015764
K562	STARE.ABC.Score	STARE (gABC, power law)	0.4823296083084417	0.4323495249948562	0.5323791626628838	NA	NA	NA	NA	0.41183879093198994	0.37885226330158694	0.4464167367682583	0.0037941069
K562	baseline.distToTSS	Distance to TSS	0.44126825097596045	0.3953250913434637	0.4888326346174695	NA	NA	NA	NA	0.3171677982541222	0.29016240168057095	0.34622551372995264	-54.011
K562	Kendall.Kendall	Kendall correlation	0.2771347787631631	0.23398587029587947	0.31641262812837223	0.09396355353075171	0.0846868001534923	0.10289859620932479	0.011	0.09457900807381776	0.08417397762523349	0.10458656675876486	0.0112429433710081
K562	SnapATAC.z	SnapATAC (z-score)	0.22748000664840776	0.18660981040265304	0.26366357992744305	NA	NA	NA	NA	0.08104089219330855	0.07204717877860128	0.0899206337594817	0.62695012537209
K562	Signac.pvalue	Signac (p-value)	0.17102229150526746	0.13563996266000464	0.20527561262493382	NA	NA	NA	NA	0.07809887747790781	0.06986939526998108	0.08667513720873923	-0.31781106464414
K562	Cicero.coaccess	Cicero (co-accessibility)	0.14660130065965826	0.12346851436658292	0.17372479642600575	NA	NA	NA	NA	0.04636973764490543	0.04203809651193695	0.051152719025618146	0
K562	FigR.pvalZ	FigR (p-value)	0.12759477097124913	0.1051334573194088	0.15547203399773446	NA	NA	NA	NA	0.0791767554479419	0.07075215089503625	0.08761504949157825	-0.363569592793379
K562	SCENT.boot_basic_p.log10.signed	SCENT (bootstrap p-value, -log10, signed)	0.12639021238443474	0.10916400870993623	0.14610038426144248	NA	NA	NA	NA	0.07276736493936053	0.06505734689559277	0.0805382051346393	0.055517328
K562	ScenicPlus.importance	SCENIC+ (importance)	0.12388776696240321	0.10048921764660748	0.1516568188823118	NA	NA	NA	NA	0.06879194630872483	0.06135771787962091	0.07607883330227455	0.0029979765985921
K562	DIRECTNET.Importance	DIRECTNET (importance)	0.10054090758026231	0.08200653302922842	0.12230945444563283	NA	NA	NA	NA	0.05974785309702174	0.05353918270384324	0.0661954719229858	2.21494515422845e-5
K562	ArchR.Correlation	ArchR (Pearson correlation)	0.0989594249520216	0.0798537300126215	0.1193800074073379	NA	NA	NA	NA	0.05725792330590089	0.05117050078369412	0.06371379649840866	-0.00225511593844369
