cell_type	pred_uid	pred_name_long	AUPRC	AUPRC_lowerCi	AUPRC_upperCi	PrecThresh	PrecThresh_lowerCi	PrecThresh_upperCi	threshold	PrecMinSens	PrecMinSens_lowerCi	PrecMinSens_upperCi	thresholdMinSens
K562	scE2G_multiome_ignore_TPM.E2G.Score.cv.qnorm.ignoreTPM	scE2G (Multiome, ignore_TPM)	0.6301996696155466	0.5824038815207325	0.6741158107764071	NA	NA	NA	NA	0.5559380378657487	0.516505842420925	0.5955591569372463	0.18956410746650584
K562	scE2G_multiome.E2G.Score.cv.qnorm	scE2G (Multiome)	0.6255083600487473	0.5766096366116842	0.6703897470117886	NA	NA	NA	NA	0.5502555366269165	0.5117128146817558	0.5895454677316617	0.18428273122311994
K562	scE2G_ATAC.E2G.Score.cv.qnorm	scE2G (ATAC)	0.5869843988746191	0.5325168719723679	0.6361190523555909	NA	NA	NA	NA	0.5176282051282052	0.4809917355371901	0.5555555555555556	0.187541549093754
K562	ARC.ARC.E2G.Score	ARC-E2G score	0.5642175370742518	0.5114344538538719	0.612559844360106	NA	NA	NA	NA	0.49013657056145676	0.45283828814244736	0.5266844619466118	0.0270799810008386
K562	scATAC_ABC.ABC.Score	ABC (A=scATAC, C=power law)	0.49231446166044424	0.43636032435424327	0.5419705970290456	0.42670157068062825	0.39223636069347906	0.46288783524305155	0.015	0.4388586956521739	0.40314875382965554	0.47294530059449585	0.015746
K562	STARE.ABC.Score	STARE (gABC, power law)	0.48998335250667835	0.4397643711618209	0.5434083329659583	NA	NA	NA	NA	0.4162371134020619	0.37927164534117225	0.45086583840794864	0.0045195978
K562	baseline.distToTSS	Distance to TSS	0.44002006200906957	0.39614305337607647	0.49073542583570456	NA	NA	NA	NA	0.3151219512195122	0.28571777878053145	0.3427436128998136	-53.664
K562	Kendall.Kendall	Kendall correlation	0.28529210077167566	0.24349992111038288	0.3275749631536225	0.09078479628110472	0.08116272394843482	0.09955419262427699	0.011	0.10065440947335619	0.08967171779069498	0.1107638373002802	0.0131191201317794
K562	SnapATAC.z	SnapATAC (z-score)	0.23302186366971847	0.1949751080408811	0.27098053187165566	NA	NA	NA	NA	0.07928325969563083	0.07074818956638046	0.08714479605593022	0.680099403754819
K562	SCENT.boot_basic_p.log10.signed	SCENT (bootstrap p-value, -log10, signed)	0.17412203076284816	0.14442321998572583	0.20512621651387591	NA	NA	NA	NA	0.07914542364651614	0.07039111853424886	0.08695652173913043	0.0457574905606751
K562	Signac.pvalue	Signac (p-value)	0.17326295159840163	0.1391619538941397	0.2100518603586313	NA	NA	NA	NA	0.08239795918367347	0.07340946849639064	0.09051600385420344	-0.252152386453515
K562	FigR.pvalZ	FigR (p-value)	0.14479461588484308	0.11600312221408615	0.1770977671992604	NA	NA	NA	NA	0.07790334214955519	0.06962357199447435	0.08577210638113571	-0.344618803978997
K562	Cicero.coaccess	Cicero (co-accessibility)	0.14438959486795905	0.12074949914620692	0.1702643647357681	NA	NA	NA	NA	0.04581551618814905	0.04110014858226742	0.05009667433331414	0
K562	ScenicPlus.importance	SCENIC+ (importance)	0.13056319485173212	0.10673949846684497	0.16307669202685743	NA	NA	NA	NA	0.07234042553191489	0.06472785076176635	0.07975846901447331	0.00345007210033778
K562	DIRECTNET.Importance	DIRECTNET (importance)	0.10467655333867679	0.08419810353715293	0.12975468406869306	NA	NA	NA	NA	0.06335817967830522	0.056522217863738754	0.07006430597804414	3.92578148144524e-5
K562	ArchR.Correlation	ArchR (Pearson correlation)	0.10420458996960842	0.08409114059113117	0.12633837818592905	NA	NA	NA	NA	0.05837701066329297	0.05189404473326987	0.0642789204574316	0
