cell_type	subset_col	subset	id	metric	full	conf	lower	upper	min	max	pos	neg
K562	distToTSS (bins)	All	ARC.ARC.E2G.Score	auprc	0.5642175370742518	0.95	0.509934690125149	0.6122383278367639	0.47369550396230337	0.6412091101284829	461	9225
K562	distToTSS (bins)	All	ArchR.Correlation	auprc	0.10420458996960842	0.95	0.08507808576564113	0.12790883474738773	0.07779263527130753	0.14169166063699704	461	9225
K562	distToTSS (bins)	All	Cicero.coaccess	auprc	0.14438959486795905	0.95	0.12047162581164865	0.17011267489109913	0.10215984588735896	0.21098791593582306	461	9225
K562	distToTSS (bins)	All	DIRECTNET.Importance	auprc	0.10467655333867679	0.95	0.08372241176097382	0.13105677876119656	0.07412737105824052	0.15060989185623078	461	9225
K562	distToTSS (bins)	All	FigR.pvalZ	auprc	0.14479461588484308	0.95	0.11600378470625373	0.1784548709860714	0.1052622635854421	0.19807209038031492	461	9225
K562	distToTSS (bins)	All	Kendall.Kendall	auprc	0.28529210077167566	0.95	0.24139746279528523	0.3325614102465757	0.21925817636887107	0.3530241177994361	461	9225
K562	distToTSS (bins)	All	SCENT.boot_basic_p.log10.signed	auprc	0.17412203076284816	0.95	0.14561706348648626	0.20859591394802246	0.1293490026860614	0.23658926253351054	461	9225
K562	distToTSS (bins)	All	STARE.ABC.Score	auprc	0.48998335250667835	0.95	0.4405812810121047	0.5433755217964619	0.4166749810060721	0.5717927187735233	461	9225
K562	distToTSS (bins)	All	ScenicPlus.importance	auprc	0.13056319485173212	0.95	0.10327216096059873	0.16314830683291678	0.08658655367734018	0.18488531921038537	461	9225
K562	distToTSS (bins)	All	Signac.pvalue	auprc	0.17326295159840163	0.95	0.14067463104989308	0.21195121922272828	0.12475346591589505	0.22904258121893803	461	9225
K562	distToTSS (bins)	All	SnapATAC.z	auprc	0.23302186366971847	0.95	0.19424869791534832	0.2767910424764191	0.1668582377491149	0.3066876182930938	461	9225
K562	distToTSS (bins)	All	baseline.distToTSS	auprc	0.44002006200906957	0.95	0.3932817768934698	0.4892229990452506	0.36442987037303987	0.5202638858331289	461	9225
K562	distToTSS (bins)	All	scATAC_ABC.ABC.Score	auprc	0.49231446166044424	0.95	0.43546631635702826	0.541638644688959	0.40614920411001537	0.5779320623952753	461	9225
K562	distToTSS (bins)	All	scE2G_ATAC.E2G.Score.cv.qnorm	auprc	0.5869843988746191	0.95	0.533950912989546	0.6370528844161637	0.4925854695902274	0.6607668485752187	461	9225
K562	distToTSS (bins)	All	scE2G_multiome.E2G.Score.cv.qnorm	auprc	0.6255083600487473	0.95	0.5764445939084082	0.6705401459424597	0.5300128764765444	0.6990413361306721	461	9225
K562	distToTSS (bins)	All	scE2G_multiome_ignore_TPM.E2G.Score.cv.qnorm.ignoreTPM	auprc	0.6301996696155466	0.95	0.5815880017290805	0.6758192939651012	0.5316969679569217	0.7025175323561594	461	9225
K562	distToTSS (bins)	[0,20)	ARC.ARC.E2G.Score	auprc	0.7072418496511887	0.95	0.6399654644020387	0.7738850243259319	0.598550751413174	0.8169434538068386	195	224
K562	distToTSS (bins)	[0,20)	ArchR.Correlation	auprc	0.6053127422956316	0.95	0.5327753994372416	0.6769766174375169	0.4502967024386244	0.7186740120473654	195	224
