cell_type	pred_uid	pred_name_long	AUPRC	AUPRC_lowerCi	AUPRC_upperCi	PrecThresh	PrecThresh_lowerCi	PrecThresh_upperCi	threshold	PrecMinSens	PrecMinSens_lowerCi	PrecMinSens_upperCi	thresholdMinSens
K562	scE2G_multiome.E2G.Score.cv.qnorm	scE2G (Multiome)	0.6255083600487473	0.5812644425367803	0.6734286422664459	NA	NA	NA	NA	0.5502555366269165	0.5118917492719265	0.5905167782545484	0.18428273122311994
K562	scE2G_ATAC.E2G.Score.cv.qnorm	scE2G (ATAC)	0.5869843988746191	0.5381789007366851	0.6379577503265416	NA	NA	NA	NA	0.5176282051282052	0.478556702078792	0.5588052490945814	0.187541549093754
K562	ARC.ARC.E2G.Score	ARC-E2G score	0.5642175370742518	0.5183932030980519	0.6169659003181833	NA	NA	NA	NA	0.49013657056145676	0.452603059769127	0.5294873929442568	0.0270799810008386
K562	scATAC_ABC.ABC.Score	ABC (A=scATAC, C=power law)	0.49231446166044424	0.44490711118446125	0.5516446626018385	0.42670157068062825	0.3950892661583563	0.4637390875902428	0.015	0.4388586956521739	0.40382656702022923	0.4747976467102012	0.015746
K562	STARE.ABC.Score	STARE (gABC, power law)	0.48998335250667835	0.44499993815793165	0.5455766175332326	NA	NA	NA	NA	0.4162371134020619	0.38126671814593505	0.45132743362831856	0.0045195978
K562	baseline.distToTSS	Distance to TSS	0.44002006200906957	0.3954591706864872	0.4929445417062587	NA	NA	NA	NA	0.3151219512195122	0.2876403828710675	0.34637964774951074	-53.664
K562	Kendall.Kendall	Kendall correlation	0.28529210077167566	0.24204963123551387	0.33004177244231403	0.09078479628110472	0.08240772407896761	0.10008381125500619	0.011	0.10065440947335619	0.0901104728314508	0.111483902786532	0.0131191201317794
K562	SnapATAC.z	SnapATAC (z-score)	0.23302186366971847	0.19415504090910637	0.278001093518084	NA	NA	NA	NA	0.07928325969563083	0.070902529539984	0.08788043358992075	0.680099403754819
K562	SCENT.boot_basic_p.log10.signed	SCENT (bootstrap p-value, -log10, signed)	0.17412203076284816	0.14380891222927228	0.20708108267456696	NA	NA	NA	NA	0.07914542364651614	0.07082156309344859	0.08716157101133293	0.0457574905606751
K562	Signac.pvalue	Signac (p-value)	0.17326295159840163	0.1400646910288152	0.2099816395872556	NA	NA	NA	NA	0.08239795918367347	0.07391332311580413	0.09137055210532678	-0.252152386453515
K562	FigR.pvalZ	FigR (p-value)	0.14479461588484308	0.11687293721625777	0.17630486833138423	NA	NA	NA	NA	0.07790334214955519	0.0697008467449051	0.08593520337260079	-0.344618803978997
K562	Cicero.coaccess	Cicero (co-accessibility)	0.14438959486795905	0.11953036859411173	0.1712903435110598	NA	NA	NA	NA	0.04581551618814905	0.041433498881341	0.05028597621244277	0
K562	ScenicPlus.importance	SCENIC+ (importance)	0.13056319485173212	0.10660504364526995	0.16205103221343592	NA	NA	NA	NA	0.07234042553191489	0.06430908629774791	0.0804753563040886	0.00345007210033778
K562	DIRECTNET.Importance	DIRECTNET (importance)	0.10467655333867679	0.08462653294978295	0.13021599033423054	NA	NA	NA	NA	0.06335817967830522	0.05648746455435296	0.07032850864491277	3.92578148144524e-5
K562	ArchR.Correlation	ArchR (Pearson correlation)	0.10420458996960842	0.08640858675788182	0.12830050181637878	NA	NA	NA	NA	0.05837701066329297	0.05225529761184748	0.06528600680496145	0
