cell_type	subset_col	subset	id	metric	full	conf	lower	upper	min	max	pos	neg
K562	distToTSS (bins)	All	ARC.ARC.E2G.Score	auprc	0.5642175370742518	0.95	0.5171225912330009	0.613234267056432	0.4861077079249513	0.6452914261063704	461	9225
K562	distToTSS (bins)	All	ArchR.Correlation	auprc	0.10420458996960842	0.95	0.08439529320025131	0.12778297149327505	0.07586806064325402	0.14689051936432992	461	9225
K562	distToTSS (bins)	All	Cicero.coaccess	auprc	0.14438959486795905	0.95	0.12035443556846817	0.17229175027181426	0.10440323898957898	0.19196990668718092	461	9225
K562	distToTSS (bins)	All	DIRECTNET.Importance	auprc	0.10467655333867679	0.95	0.08396069355345119	0.12937948417494766	0.06907711077357279	0.15929249879156693	461	9225
K562	distToTSS (bins)	All	FigR.pvalZ	auprc	0.14479461588484308	0.95	0.11707372029933738	0.1771648272160457	0.10572674778405353	0.2082247129274777	461	9225
K562	distToTSS (bins)	All	Kendall.Kendall	auprc	0.28529210077167566	0.95	0.24318567464390034	0.328998259945664	0.22365332335480193	0.38823616490618956	461	9225
K562	distToTSS (bins)	All	SCENT.boot_basic_p.log10.signed	auprc	0.17412203076284816	0.95	0.14464567007638643	0.2066058341898528	0.1339474260437643	0.2410190965077958	461	9225
K562	distToTSS (bins)	All	STARE.ABC.Score	auprc	0.48998335250667835	0.95	0.44296270123572123	0.5443834341603427	0.41246398847938637	0.5795655391529104	461	9225
K562	distToTSS (bins)	All	ScenicPlus.importance	auprc	0.13056319485173212	0.95	0.10660715468099112	0.161148371387304	0.09286807731735174	0.17384295874345662	461	9225
K562	distToTSS (bins)	All	Signac.pvalue	auprc	0.17326295159840163	0.95	0.14097896103458973	0.2087569616862504	0.10477078285601385	0.231865485496053	461	9225
K562	distToTSS (bins)	All	SnapATAC.z	auprc	0.23302186366971847	0.95	0.19442432864205897	0.2725801540884943	0.17760080274685291	0.32111346807076624	461	9225
K562	distToTSS (bins)	All	baseline.distToTSS	auprc	0.44002006200906957	0.95	0.39138938709645094	0.4883225423205491	0.3559376051076475	0.5197767399499713	461	9225
K562	distToTSS (bins)	All	scATAC_ABC.ABC.Score	auprc	0.49231446166044424	0.95	0.44704525974170073	0.5468875768287088	0.4141515413635052	0.5795206926981114	461	9225
K562	distToTSS (bins)	All	scE2G_ATAC.E2G.Score.cv.qnorm	auprc	0.5869843988746191	0.95	0.5374366540957088	0.640429051048845	0.4980165901046395	0.6836810226272976	461	9225
K562	distToTSS (bins)	All	scE2G_multiome.E2G.Score.cv.qnorm	auprc	0.6255083600487473	0.95	0.5791529766722063	0.6723830893267593	0.5390716365326461	0.7049694787498795	461	9225
K562	distToTSS (bins)	[0,20)	ARC.ARC.E2G.Score	auprc	0.7072418496511887	0.95	0.6310318081406341	0.773727370318593	0.5839307095253972	0.8078648352556153	195	224
K562	distToTSS (bins)	[0,20)	ArchR.Correlation	auprc	0.6053127422956316	0.95	0.5328973387515836	0.6737427398413883	0.4601276857467615	0.7138666880669972	195	224
K562	distToTSS (bins)	[0,20)	Cicero.coaccess	auprc	0.5712272729857257	0.95	0.49289068167589956	0.6530767506523506	0.44278116237776055	0.6953250790665212	195	224
K562	distToTSS (bins)	[0,20)	DIRECTNET.Importance	auprc	0.5250024392141612	0.95	0.4422873023833396	0.6104390808074123	0.3332110902995972	0.6773387543685246	195	224
K562	distToTSS (bins)	[0,20)	FigR.pvalZ	auprc	0.6228055741484447	0.95	0.5459047774741904	0.7024233786158517	0.4788988083460038	0.7380215562730578	195	224
K562	distToTSS (bins)	[0,20)	Kendall.Kendall	auprc	0.6946772569840338	0.95	0.6182794958348928	0.7605111667715844	0.5438542128740413	0.7905157392630239	195	224
K562	distToTSS (bins)	[0,20)	SCENT.boot_basic_p.log10.signed	auprc	0.649004656309098	0.95	0.5743077360171969	0.7230072438085606	0.50219822971637	0.7602181272001252	195	224
K562	distToTSS (bins)	[0,20)	STARE.ABC.Score	auprc	0.6382885761898442	0.95	0.564173042104402	0.7194613956208076	0.517748741078319	0.7686518487578643	195	224
