cell_type	subset_col	subset	id	metric	full	conf	lower	upper	min	max	pos	neg
K562	distToTSS (bins)	All	ARC.ARC.E2G.Score	auprc	0.5585668969553	0.95	0.5075463521875481	0.6060283127550038	0.48360440372407537	0.6409430595798258	466	9876
K562	distToTSS (bins)	All	Kendall.Kendall	auprc	0.2851173884334503	0.95	0.23952448514796143	0.328851815258824	0.21084178056811803	0.3563574202771692	466	9876
K562	distToTSS (bins)	All	STARE.ABC.Score	auprc	0.48527568252564696	0.95	0.43382705887162343	0.5382707039285131	0.40772032538851405	0.5695391735024866	466	9876
K562	distToTSS (bins)	All	baseline.distToTSS	auprc	0.43466205744094616	0.95	0.3882268671746044	0.486282447919537	0.33382683490984744	0.5349561502129743	466	9876
K562	distToTSS (bins)	All	scATAC_ABC.ABC.Score	auprc	0.48719266778434234	0.95	0.437245585611393	0.5403323127037344	0.40468270041715354	0.5786414526359009	466	9876
K562	distToTSS (bins)	All	scE2G_ATAC.E2G.Score.cv.qnorm	auprc	0.5829064590814212	0.95	0.530402865387578	0.6350892045146836	0.5046745597121121	0.6797427600941384	466	9876
K562	distToTSS (bins)	All	scE2G_multiome.E2G.Score.cv.qnorm	auprc	0.6212300337923952	0.95	0.5716144565215955	0.6659947105007237	0.5445164558196867	0.7025731814342588	466	9876
K562	distToTSS (bins)	[0,20)	ARC.ARC.E2G.Score	auprc	0.7072418496511887	0.95	0.6324885648356969	0.7734925102657692	0.5731174701541148	0.8031993203694078	195	225
K562	distToTSS (bins)	[0,20)	Kendall.Kendall	auprc	0.6942618069076619	0.95	0.6213604179590517	0.758713297777144	0.5893758583986167	0.7943058037709692	195	225
K562	distToTSS (bins)	[0,20)	STARE.ABC.Score	auprc	0.6382885761898442	0.95	0.5606132010674904	0.7261098713261684	0.49453721784770155	0.7548739218218223	195	225
K562	distToTSS (bins)	[0,20)	baseline.distToTSS	auprc	0.6434602618757933	0.95	0.5701972726241538	0.7206772418180998	0.5216408115507005	0.7628330864071073	195	225
K562	distToTSS (bins)	[0,20)	scATAC_ABC.ABC.Score	auprc	0.6422756658873024	0.95	0.5617127960941855	0.7251231852021688	0.5049724613575931	0.7501458482757787	195	225
K562	distToTSS (bins)	[0,20)	scE2G_ATAC.E2G.Score.cv.qnorm	auprc	0.7119022102164012	0.95	0.6308652295859672	0.7890940009861668	0.5801937695351728	0.8137982489024683	195	225
K562	distToTSS (bins)	[0,20)	scE2G_multiome.E2G.Score.cv.qnorm	auprc	0.7504251242891137	0.95	0.6778192042559738	0.8115582340734347	0.6291350547597947	0.8388730512910892	195	225
K562	distToTSS (bins)	[20,100)	ARC.ARC.E2G.Score	auprc	0.5180152441605788	0.95	0.43976896703943136	0.5968656132510891	0.3835837269581028	0.6271973322376956	189	1206
K562	distToTSS (bins)	[20,100)	Kendall.Kendall	auprc	0.4456484693585108	0.95	0.3633169028619535	0.5239598700698156	0.2933100870281335	0.6023187727004211	189	1206
K562	distToTSS (bins)	[20,100)	STARE.ABC.Score	auprc	0.3810428300097382	0.95	0.3156063892618884	0.45255409751133047	0.28281747619289965	0.49938344672414803	189	1206
K562	distToTSS (bins)	[20,100)	baseline.distToTSS	auprc	0.23839726632715477	0.95	0.1952060814749964	0.29049689017094815	0.17250724208215562	0.32617730787380084	189	1206
K562	distToTSS (bins)	[20,100)	scATAC_ABC.ABC.Score	auprc	0.39888687598191025	0.95	0.33380747234433755	0.4765302111228109	0.2982141224670416	0.5324648470968889	189	1206
K562	distToTSS (bins)	[20,100)	scE2G_ATAC.E2G.Score.cv.qnorm	auprc	0.5900058628241096	0.95	0.5152814480668458	0.6634936676562823	0.4623532871748028	0.7107902715106404	189	1206
K562	distToTSS (bins)	[20,100)	scE2G_multiome.E2G.Score.cv.qnorm	auprc	0.614367360774722	0.95	0.5382439526137497	0.6861181470520265	0.47241254601578775	0.7175306489474967	189	1206
K562	distToTSS (bins)	[100,2.5e+03)	ARC.ARC.E2G.Score	auprc	0.1748769926840345	0.95	0.09115678154504486	0.26660508441744857	0.057430804751983706	0.330676189168814	82	8445
K562	distToTSS (bins)	[100,2.5e+03)	Kendall.Kendall	auprc	0.1622630412189812	0.95	0.08066114701254465	0.251658678828509	0.05356379142493597	0.30662816913707175	82	8445
K562	distToTSS (bins)	[100,2.5e+03)	STARE.ABC.Score	auprc	0.1042547643682338	0.95	0.04571957698877852	0.17451114443138896	0.02815865621195018	0.20427215512238717	82	8445
K562	distToTSS (bins)	[100,2.5e+03)	baseline.distToTSS	auprc	0.024136047989927942	0.95	0.015494760633190857	0.04205407865437655	0.012316581685633052	0.07860322786121443	82	8445
K562	distToTSS (bins)	[100,2.5e+03)	scATAC_ABC.ABC.Score	auprc	0.05935763795287983	0.95	0.03101583178128545	0.11377857023275309	0.019051007860620948	0.16182597748491875	82	8445
K562	distToTSS (bins)	[100,2.5e+03)	scE2G_ATAC.E2G.Score.cv.qnorm	auprc	0.17752355618013752	0.95	0.10063182752207175	0.28136817483755994	0.05328447979628528	0.32551386961735373	82	8445
K562	distToTSS (bins)	[100,2.5e+03)	scE2G_multiome.E2G.Score.cv.qnorm	auprc	0.27430897804594356	0.95	0.17509455402390797	0.38254888457255326	0.09796252600267402	0.4345388603009064	82	8445
