cell_type	subset_col	subset	id	metric	full	conf	lower	upper	min	max	pos	neg
K562	distToTSS (bins)	All	ARC.ARC.E2G.Score	auprc	0.5626358420443522	0.95	0.5129133460390716	0.6080559040282268	0.47586787810789166	0.6318035719932132	466	9234
K562	distToTSS (bins)	All	ArchR.Correlation	auprc	0.1618165504166962	0.95	0.13213575231418384	0.19245414419838347	0.11770435440528336	0.21311242787775322	466	9234
K562	distToTSS (bins)	All	Cicero.coaccess	auprc	0.0879570387848586	0.95	0.07602233425325466	0.1006441289929914	0.07016030616895087	0.10983587603253675	466	9234
K562	distToTSS (bins)	All	DIRECTNET.Importance	auprc	0.18834530881727934	0.95	0.16034214867026345	0.22189214921078027	0.14238687345352485	0.23547495797212956	466	9234
K562	distToTSS (bins)	All	FigR.pvalZ	auprc	0.2510151992004722	0.95	0.20314995538345415	0.2993731187277536	0.1738477688039785	0.3284327285180216	466	9234
K562	distToTSS (bins)	All	Kendall.Kendall	auprc	0.2771347787631631	0.95	0.23225738873934235	0.3162891169963612	0.18486130663154426	0.33792202401067073	466	9234
K562	distToTSS (bins)	All	SCENT.boot_basic_p.log10.signed	auprc	0.14935150644441847	0.95	0.12865784417847564	0.16910655727651971	0.11632830542820613	0.18740497916050053	466	9234
K562	distToTSS (bins)	All	STARE.ABC.Score	auprc	0.4823296083084417	0.95	0.4316683513872526	0.5313137330128986	0.41221191506371135	0.5681628438912295	466	9234
K562	distToTSS (bins)	All	ScenicPlus.importance	auprc	0.2455198750390063	0.95	0.20748745847782105	0.2869392288445714	0.18530710826916044	0.3177797119620126	466	9234
K562	distToTSS (bins)	All	Signac.pvalue	auprc	0.147473443023558	0.95	0.11101052924300019	0.1817944416817662	0.10216124255963695	0.20520315441998419	466	9234
K562	distToTSS (bins)	All	SnapATAC.zvalue	auprc	0.3283467260103009	0.95	0.2826555116047421	0.3717390850762149	0.2526906196690845	0.4009725649082516	466	9234
K562	distToTSS (bins)	All	baseline.distToTSS	auprc	0.44126825097596045	0.95	0.3935436274433124	0.48995239922810324	0.3751662758177267	0.5106612697750567	466	9234
K562	distToTSS (bins)	All	scATAC_ABC.ABC.Score	auprc	0.49177504123558463	0.95	0.443995580738599	0.5429654640417972	0.39854837662326414	0.5675201524742938	466	9234
K562	distToTSS (bins)	All	scE2G_ATAC.E2G.Score.qnorm	auprc	0.6016613829629461	0.95	0.551552353018044	0.6477565296208724	0.5185035945023689	0.6841434353519944	466	9234
