cell_type	pred_uid	pred_name_long	AUPRC	AUPRC_lowerCi	AUPRC_upperCi	PrecThresh	PrecThresh_lowerCi	PrecThresh_upperCi	threshold	PrecMinSens	PrecMinSens_lowerCi	PrecMinSens_upperCi	thresholdMinSens
K562	scE2G_multiome.E2G.Score.cv.qnorm	scE2G (Multiome)	0.6255083600487473	0.576995126022793	0.6738662292194454	NA	NA	NA	NA	0.5502555366269165	0.5113249759512897	0.5884121199069375	0.18428273122311994
K562	scE2G_ATAC.E2G.Score.cv.qnorm	scE2G (ATAC)	0.5869843988746191	0.5328125097480132	0.6390553946215227	NA	NA	NA	NA	0.5176282051282052	0.47861339985609996	0.5536987752233347	0.187541549093754
K562	ARC.ARC.E2G.Score	ARC-E2G score	0.5642175370742518	0.511374140076929	0.6166194586037407	NA	NA	NA	NA	0.49013657056145676	0.45186667543380993	0.5281254560864892	0.0270799810008386
K562	scATAC_ABC.ABC.Score	ABC (A=scATAC, C=power law)	0.49231446166044424	0.43702400060820434	0.5459465113965576	0.42670157068062825	0.3914756313852521	0.46270407913405803	0.015	0.4388586956521739	0.40437820444512584	0.4746046668547554	0.015746
K562	STARE.ABC.Score	STARE (gABC, power law)	0.48998335250667835	0.43800030810930285	0.5458248980881543	NA	NA	NA	NA	0.4162371134020619	0.3817634387242132	0.4521852010221364	0.0045195978
K562	baseline.distToTSS	Distance to TSS	0.44002006200906957	0.3901128833603619	0.49725780242626477	NA	NA	NA	NA	0.3151219512195122	0.2861330351188984	0.3444670558871233	-53.664
K562	SnapATAC.zvalue	SnapATAC (z-score)	0.33706917133538555	0.2916211749206855	0.3884822684069912	NA	NA	NA	NA	0.17300482056775576	0.1558377162476866	0.19018697805258844	0.560611267784348
K562	Kendall.Kendall	Kendall correlation	0.28529210077167566	0.24523380605114897	0.3262066350575425	0.09078479628110472	0.08133631026841741	0.100590806104056	0.011	0.10065440947335619	0.09047847305218379	0.11113885087508102	0.0131191201317794
K562	FigR.pvalZ	FigR (p-value)	0.26327633410155693	0.21606637103764453	0.31145172596128534	NA	NA	NA	NA	0.04759446623993392	0.04336417562159875	0.05182737972331199	-1
K562	ScenicPlus.importance	SCENIC+ (importance)	0.2632762610821551	0.22211189787955968	0.3077444916593132	NA	NA	NA	NA	0.19226190476190477	0.17379087556506745	0.21030957939119818	0.0115682389611346
K562	DIRECTNET.Importance	DIRECTNET (importance)	0.18744946314794908	0.15663202741088506	0.22270649495957812	NA	NA	NA	NA	0.14582392776523703	0.13119288832379522	0.16077004516761134	0.00146479775001161
K562	SCENT.boot_basic_p.log10.signed	SCENT (bootstrap p-value, -log10, signed)	0.17412203076284816	0.14491405927681272	0.2081613243707725	NA	NA	NA	NA	0.07914542364651614	0.0704810731519961	0.0875896211633859	0.0457574905606751
K562	ArchR.Correlation	ArchR (Pearson correlation)	0.16880546608558972	0.13796870457362126	0.2028438176955092	NA	NA	NA	NA	0.041722910786599586	0.03742805536536431	0.04618775971841258	0
K562	Signac.pvalue	Signac (p-value)	0.14830521340514444	0.11636745410847427	0.18397677009103425	NA	NA	NA	NA	0.04759446623993392	0.04336417562159875	0.05182737972331199	-1
K562	Cicero.coaccess	Cicero (co-accessibility)	0.08723359362942402	0.07539886741936778	0.10204636776648104	NA	NA	NA	NA	0.04445593176531403	0.03980511514940507	0.04894688431697884	0
