cell_type	subset_col	subset	id	metric	full	conf	lower	upper	min	max	pos	neg
K562	distToTSS (bins)	All	Kendall_K562_PBMC_single_cell.Kendall	auprc	0.17988997438729232	0.95	0.1459617184265741	0.21502870197446772	0.1309909871740856	0.2378844545169906	466	9234
K562	distToTSS (bins)	All	Kendall_K562_meta_cell.Kendall	auprc	0.14704107032697522	0.95	0.11776743900434856	0.17486211781269473	0.1044037660812525	0.20446517567602127	466	9234
K562	distToTSS (bins)	All	Kendall_K562_single_cell.Kendall	auprc	0.2771347787631631	0.95	0.2334026654896504	0.3165638474626839	0.19996458597487127	0.342904113501957	466	9234
K562	distToTSS (bins)	All	baseline.distToTSS	auprc	0.44126825097596045	0.95	0.39479526169446655	0.49073608661094	0.364306847827414	0.5160800294075052	466	9234
K562	distToTSS (bins)	All	scE2G_ATAC_K562_single_cell.E2G.Score.cv.qnorm	auprc	0.5909175784717455	0.95	0.5374279524799919	0.6391688650939588	0.4978361806339834	0.6683017053716638	466	9234
K562	distToTSS (bins)	All	scE2G_multiome_K562_PBMC_single_cell.E2G.Score.qnorm	auprc	0.6069594552889338	0.95	0.5513176447647355	0.6545789598528502	0.5225414443172282	0.6885375256675572	466	9234
K562	distToTSS (bins)	All	scE2G_multiome_K562_meta_cell.E2G.Score.cv.qnorm	auprc	0.6125510087804564	0.95	0.5582902896171656	0.6615878405396407	0.5240288073405271	0.6937287174004233	466	9234
K562	distToTSS (bins)	All	scE2G_multiome_K562_single_cell.E2G.Score.cv.qnorm	auprc	0.6164299966618602	0.95	0.5641405179685118	0.6618882971729534	0.5289474882460512	0.6891872376245701	466	9234
K562	distToTSS (bins)	[0,20)	Kendall_K562_PBMC_single_cell.Kendall	auprc	0.6923364411837205	0.95	0.6246239555747706	0.7417956575069042	0.5754165741680953	0.7872165908963138	196	224
K562	distToTSS (bins)	[0,20)	Kendall_K562_meta_cell.Kendall	auprc	0.6946738676411702	0.95	0.6245024360614019	0.7589918939412202	0.5455547952935201	0.787602738596123	196	224
