cell_type	subset_col	subset	id	metric	full	conf	lower	upper	min	max	pos	neg
K562	distToTSS (bins)	All	Kendall_K562_PBMC_single_cell.Kendall	auprc	0.18678391633699098	0.95	0.1522111885378597	0.22585560779929328	0.12859219261357363	0.24566361793397923	461	9225
K562	distToTSS (bins)	All	Kendall_K562_meta_cell.Kendall	auprc	0.15085943540725244	0.95	0.12335259040263816	0.18555927617596124	0.11286975895015108	0.2044686163525813	461	9225
K562	distToTSS (bins)	All	Kendall_K562_single_cell.Kendall	auprc	0.28529210077167566	0.95	0.23940270413955927	0.3300683226324751	0.18530519407964338	0.37637654449394764	461	9225
K562	distToTSS (bins)	All	baseline.distToTSS	auprc	0.44002006200906957	0.95	0.3890334105958559	0.4933372380111945	0.35510354359279994	0.5276532053142684	461	9225
K562	distToTSS (bins)	All	scE2G_ATAC_K562_single_cell.E2G.Score.cv.qnorm	auprc	0.5869843988746191	0.95	0.5323540409711913	0.6388843925619238	0.5000710644315765	0.6776722173567257	461	9225
K562	distToTSS (bins)	All	scE2G_multiome_K562_PBMC_single_cell.E2G.Score.qnorm	auprc	0.6147174371978319	0.95	0.560286034304715	0.6645055444574245	0.5400319878189144	0.7049200360406712	461	9225
K562	distToTSS (bins)	All	scE2G_multiome_K562_meta_cell.E2G.Score	auprc	0.619931389594856	0.95	0.5650551222623036	0.6698452405386959	0.536972851861377	0.7125480161999177	461	9225
K562	distToTSS (bins)	All	scE2G_multiome_K562_single_cell.E2G.Score.cv.qnorm	auprc	0.6255083600487473	0.95	0.575842690615292	0.6700683941348865	0.5336366551383588	0.7072924309551467	461	9225
K562	distToTSS (bins)	[0,20)	Kendall_K562_PBMC_single_cell.Kendall	auprc	0.6954958558960188	0.95	0.6266807946068126	0.7522432444130793	0.5991093929329155	0.8029846603237303	195	224
K562	distToTSS (bins)	[0,20)	Kendall_K562_meta_cell.Kendall	auprc	0.6973646380789341	0.95	0.6278629049055384	0.7631223317831657	0.5979762604164178	0.7959038892096854	195	224
K562	distToTSS (bins)	[0,20)	Kendall_K562_single_cell.Kendall	auprc	0.6946772569840338	0.95	0.622993910965336	0.7610002651104061	0.5750338805578028	0.7953477467316413	195	224
K562	distToTSS (bins)	[0,20)	baseline.distToTSS	auprc	0.643556983916356	0.95	0.5722989365898669	0.7129341807214112	0.5049475783387914	0.7504766989336075	195	224
K562	distToTSS (bins)	[0,20)	scE2G_ATAC_K562_single_cell.E2G.Score.cv.qnorm	auprc	0.7119407359952812	0.95	0.6353019729319913	0.7856796249191867	0.599485141130832	0.8123844200870369	195	224
K562	distToTSS (bins)	[0,20)	scE2G_multiome_K562_PBMC_single_cell.E2G.Score.qnorm	auprc	0.7408312190038201	0.95	0.6687644094273714	0.8063448465561361	0.6264751890467257	0.8384351564168409	195	224
K562	distToTSS (bins)	[0,20)	scE2G_multiome_K562_meta_cell.E2G.Score	auprc	0.7335305884496722	0.95	0.6565680911319864	0.8055486572080522	0.6127680224475012	0.8528813585649733	195	224
K562	distToTSS (bins)	[0,20)	scE2G_multiome_K562_single_cell.E2G.Score.cv.qnorm	auprc	0.7504325755901969	0.95	0.679349853869746	0.8101556187387016	0.6592264360919363	0.8374582188992955	195	224
K562	distToTSS (bins)	[20,100)	Kendall_K562_PBMC_single_cell.Kendall	auprc	0.38741694788732334	0.95	0.3145526779813529	0.46660507303122273	0.2812091977950056	0.5206803887669021	189	1188
K562	distToTSS (bins)	[20,100)	Kendall_K562_meta_cell.Kendall	auprc	0.3578159537061271	0.95	0.28907347400113365	0.4275747685425625	0.24582630349708914	0.4841314317564861	189	1188
K562	distToTSS (bins)	[20,100)	Kendall_K562_single_cell.Kendall	auprc	0.4478608070949478	0.95	0.3720643699020544	0.5318059112138036	0.33282585028772516	0.5791856654037768	189	1188
K562	distToTSS (bins)	[20,100)	baseline.distToTSS	auprc	0.24084910779562635	0.95	0.19569232364479242	0.29706289058156493	0.17602839220033564	0.327057076058323	189	1188
K562	distToTSS (bins)	[20,100)	scE2G_ATAC_K562_single_cell.E2G.Score.cv.qnorm	auprc	0.5902215237101447	0.95	0.5070140392399495	0.6666215441992502	0.45037304686124185	0.6935273311254928	189	1188
K562	distToTSS (bins)	[20,100)	scE2G_multiome_K562_PBMC_single_cell.E2G.Score.qnorm	auprc	0.6250930219875812	0.95	0.5464363686562494	0.6950676974323482	0.5108922977495332	0.7403649793210028	189	1188
K562	distToTSS (bins)	[20,100)	scE2G_multiome_K562_meta_cell.E2G.Score	auprc	0.6493690173495927	0.95	0.5746793317741593	0.7142991455155172	0.5280644168783758	0.7550778368325062	189	1188
K562	distToTSS (bins)	[20,100)	scE2G_multiome_K562_single_cell.E2G.Score.cv.qnorm	auprc	0.6147856610825804	0.95	0.5340677818502475	0.6872904502139939	0.4722926615219177	0.7333562409834076	189	1188
K562	distToTSS (bins)	[100,2.5e+03)	Kendall_K562_PBMC_single_cell.Kendall	auprc	0.028615965765231798	0.95	0.015973052729956718	0.053249539473196175	0.011327870580323985	0.06782209207756193	77	7813
K562	distToTSS (bins)	[100,2.5e+03)	Kendall_K562_meta_cell.Kendall	auprc	0.042875517787254507	0.95	0.02225269474092086	0.08346582476508069	0.01280360853464693	0.1327435517966294	77	7813
K562	distToTSS (bins)	[100,2.5e+03)	Kendall_K562_single_cell.Kendall	auprc	0.1479701356239111	0.95	0.06963659762839278	0.23272741676260172	0.03291459233849828	0.3292600958441547	77	7813
K562	distToTSS (bins)	[100,2.5e+03)	baseline.distToTSS	auprc	0.025397829960136106	0.95	0.015742095699162923	0.04450548008565928	0.012010170114832297	0.06699138575543973	77	7813
K562	distToTSS (bins)	[100,2.5e+03)	scE2G_ATAC_K562_single_cell.E2G.Score.cv.qnorm	auprc	0.1838519652472799	0.95	0.09948807557945273	0.29172836338514185	0.06757131689274337	0.3371197384642233	77	7813
K562	distToTSS (bins)	[100,2.5e+03)	scE2G_multiome_K562_PBMC_single_cell.E2G.Score.qnorm	auprc	0.2166825293038181	0.95	0.12264051936410937	0.32449892420164633	0.08194527631990133	0.3726550231626037	77	7813
K562	distToTSS (bins)	[100,2.5e+03)	scE2G_multiome_K562_meta_cell.E2G.Score	auprc	0.22286233338228204	0.95	0.12885158155550064	0.32839912031557644	0.09323091172109815	0.38212741101989933	77	7813
K562	distToTSS (bins)	[100,2.5e+03)	scE2G_multiome_K562_single_cell.E2G.Score.cv.qnorm	auprc	0.28572646435521903	0.95	0.18262711746616442	0.39193207016202536	0.11793488900406687	0.4781737083326777	77	7813
