method	metric	min_max	value
scE2G_multiome	enrichment_overlap	min	1.59862603706957
scE2G_multiome	enrichment_overlap	max	14.3214348162766
scE2G_multiome	recall_overlap	min	0.0032258064516129
scE2G_multiome	recall_overlap	max	0.321167883211679
scE2G_multiome	precision_linking_intersectPoPS	min	0
scE2G_multiome	precision_linking_intersectPoPS	max	1
scE2G_multiome	precision_linking	min	0
scE2G_multiome	precision_linking	max	1
scE2G_multiome	recall_linking_intersectPoPS	min	0
scE2G_multiome	recall_linking_intersectPoPS	max	0.388888888888889
scE2G_multiome	recall_linking	min	0
scE2G_multiome	recall_linking	max	0.555555555555556
scE2G_ATAC	enrichment_overlap	min	1.50036134407307
scE2G_ATAC	enrichment_overlap	max	14.3905715616119
scE2G_ATAC	recall_overlap	min	0.00218818380743982
scE2G_ATAC	recall_overlap	max	0.414893617021277
scE2G_ATAC	precision_linking_intersectPoPS	min	0
scE2G_ATAC	precision_linking_intersectPoPS	max	1
scE2G_ATAC	precision_linking	min	0
scE2G_ATAC	precision_linking	max	1
scE2G_ATAC	recall_linking_intersectPoPS	min	0
scE2G_ATAC	recall_linking_intersectPoPS	max	0.555555555555556
scE2G_ATAC	recall_linking	min	0
scE2G_ATAC	recall_linking	max	0.555555555555556
scABC	enrichment_overlap	min	1.86253944042103
scABC	enrichment_overlap	max	14.439013846073
scABC	recall_overlap	min	0.00218818380743982
scABC	recall_overlap	max	0.276595744680851
scABC	precision_linking_intersectPoPS	min	0
scABC	precision_linking_intersectPoPS	max	1
scABC	precision_linking	min	0
scABC	precision_linking	max	1
scABC	recall_linking_intersectPoPS	min	0
scABC	recall_linking_intersectPoPS	max	0.444444444444444
scABC	recall_linking	min	0
scABC	recall_linking	max	0.444444444444444
ABC_distanceToTSS	enrichment_overlap	min	1.54277143402444
ABC_distanceToTSS	enrichment_overlap	max	10.0578813108069
ABC_distanceToTSS	recall_overlap	min	0.00437636761487965
ABC_distanceToTSS	recall_overlap	max	0.420212765957447
ABC_distanceToTSS	precision_linking_intersectPoPS	min	0
ABC_distanceToTSS	precision_linking_intersectPoPS	max	1
ABC_distanceToTSS	precision_linking	min	0
ABC_distanceToTSS	precision_linking	max	1
ABC_distanceToTSS	recall_linking_intersectPoPS	min	0
ABC_distanceToTSS	recall_linking_intersectPoPS	max	0.555555555555556
ABC_distanceToTSS	recall_linking	min	0
ABC_distanceToTSS	recall_linking	max	0.555555555555556
STARE	enrichment_overlap	min	1.55109979232431
STARE	enrichment_overlap	max	9.95592714578568
STARE	recall_overlap	min	0.00656455142231947
STARE	recall_overlap	max	0.394160583941606
STARE	precision_linking_intersectPoPS	min	0
STARE	precision_linking_intersectPoPS	max	1
STARE	precision_linking	min	0
STARE	precision_linking	max	1
STARE	recall_linking_intersectPoPS	min	0
STARE	recall_linking_intersectPoPS	max	0.555555555555556
STARE	recall_linking	min	0
STARE	recall_linking	max	0.555555555555556
SnapATAC	enrichment_overlap	min	2.02530631458315
SnapATAC	enrichment_overlap	max	65.7048623341429
SnapATAC	recall_overlap	min	0.00104931794333683
SnapATAC	recall_overlap	max	0.180851063829787
SnapATAC	precision_linking_intersectPoPS	min	0
SnapATAC	precision_linking_intersectPoPS	max	1
SnapATAC	precision_linking	min	0
SnapATAC	precision_linking	max	1
SnapATAC	recall_linking_intersectPoPS	min	0
SnapATAC	recall_linking_intersectPoPS	max	0.222222222222222
SnapATAC	recall_linking	min	0
SnapATAC	recall_linking	max	0.235294117647059
Signac	enrichment_overlap	min	1.54658594668208
Signac	enrichment_overlap	max	23.2815050099518
Signac	recall_overlap	min	0.00104712041884817
Signac	recall_overlap	max	0.372093023255814
Signac	precision_linking_intersectPoPS	min	0
Signac	precision_linking_intersectPoPS	max	1
Signac	precision_linking	min	0
Signac	precision_linking	max	1
Signac	recall_linking_intersectPoPS	min	0
Signac	recall_linking_intersectPoPS	max	0.222222222222222
Signac	recall_linking	min	0
Signac	recall_linking	max	0.222222222222222
Cicero	enrichment_overlap	min	2.15551119467267
Cicero	enrichment_overlap	max	37.7751422874119
Cicero	recall_overlap	min	0.000911161731207289
Cicero	recall_overlap	max	0.0952380952380952
Cicero	precision_linking_intersectPoPS	min	0
Cicero	precision_linking_intersectPoPS	max	1
Cicero	precision_linking	min	0
Cicero	precision_linking	max	1
Cicero	recall_linking_intersectPoPS	min	0
Cicero	recall_linking_intersectPoPS	max	0.222222222222222
Cicero	recall_linking	min	0
Cicero	recall_linking	max	0.222222222222222
FigR	enrichment_overlap	min	1.57267694693265
FigR	enrichment_overlap	max	25.8076226487036
FigR	recall_overlap	min	0.000979431929480901
FigR	recall_overlap	max	0.356382978723404
FigR	precision_linking_intersectPoPS	min	0
FigR	precision_linking_intersectPoPS	max	1
FigR	precision_linking	min	0
FigR	precision_linking	max	1
FigR	recall_linking_intersectPoPS	min	0
FigR	recall_linking_intersectPoPS	max	0.222222222222222
FigR	recall_linking	min	0
FigR	recall_linking	max	0.222222222222222
SCENT	enrichment_overlap	min	1.88767674189978
SCENT	enrichment_overlap	max	28.1346557083278
SCENT	recall_overlap	min	0.00218818380743982
SCENT	recall_overlap	max	0.255813953488372
SCENT	precision_linking_intersectPoPS	min	0
SCENT	precision_linking_intersectPoPS	max	1
SCENT	precision_linking	min	0
SCENT	precision_linking	max	1
SCENT	recall_linking_intersectPoPS	min	0
SCENT	recall_linking_intersectPoPS	max	0.176470588235294
SCENT	recall_linking	min	0
SCENT	recall_linking	max	0.222222222222222
ScenicPlus	enrichment_overlap	min	1.55408493813951
ScenicPlus	enrichment_overlap	max	25.1515034217942
ScenicPlus	recall_overlap	min	0.000709219858156028
ScenicPlus	recall_overlap	max	0.392405063291139
ScenicPlus	precision_linking_intersectPoPS	min	0
ScenicPlus	precision_linking_intersectPoPS	max	1
ScenicPlus	precision_linking	min	0
ScenicPlus	precision_linking	max	1
ScenicPlus	recall_linking_intersectPoPS	min	0
ScenicPlus	recall_linking_intersectPoPS	max	0.307692307692308
ScenicPlus	recall_linking	min	0
ScenicPlus	recall_linking	max	0.307692307692308
DIRECTNET	enrichment_overlap	min	1.52209030928983
DIRECTNET	enrichment_overlap	max	20.8969145068953
DIRECTNET	recall_overlap	min	0.00101419878296146
DIRECTNET	recall_overlap	max	0.395348837209302
DIRECTNET	precision_linking_intersectPoPS	min	0
DIRECTNET	precision_linking_intersectPoPS	max	1
DIRECTNET	precision_linking	min	0
DIRECTNET	precision_linking	max	0.5
DIRECTNET	recall_linking_intersectPoPS	min	0
DIRECTNET	recall_linking_intersectPoPS	max	0.222222222222222
DIRECTNET	recall_linking	min	0
DIRECTNET	recall_linking	max	0.222222222222222
ArchR	enrichment_overlap	min	1.96403873867275
ArchR	enrichment_overlap	max	39.6496122047157
ArchR	recall_overlap	min	0.00104712041884817
ArchR	recall_overlap	max	0.223404255319149
ArchR	precision_linking_intersectPoPS	min	0
ArchR	precision_linking_intersectPoPS	max	1
ArchR	precision_linking	min	0
ArchR	precision_linking	max	1
ArchR	recall_linking_intersectPoPS	min	0
ArchR	recall_linking_intersectPoPS	max	0.166666666666667
ArchR	recall_linking	min	0
ArchR	recall_linking	max	0.333333333333333
DNase_ENCODE_rE2G	enrichment_overlap	min	2.18788997451447
DNase_ENCODE_rE2G	enrichment_overlap	max	10.8774341393056
DNase_ENCODE_rE2G	recall_overlap	min	0.0087527352297593
DNase_ENCODE_rE2G	recall_overlap	max	0.128305582761998
DNase_ENCODE_rE2G	precision_linking_intersectPoPS	min	0
DNase_ENCODE_rE2G	precision_linking_intersectPoPS	max	1
DNase_ENCODE_rE2G	precision_linking	min	0
DNase_ENCODE_rE2G	precision_linking	max	1
DNase_ENCODE_rE2G	recall_linking_intersectPoPS	min	0
DNase_ENCODE_rE2G	recall_linking_intersectPoPS	max	0.277777777777778
DNase_ENCODE_rE2G	recall_linking	min	0
DNase_ENCODE_rE2G	recall_linking	max	0.388888888888889
