method	pred_name_long	intersectPoPS	nCredibleSetsTotal	recall	precision	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	precision_adjust	SE_precision	CI_precision_low	CI_precision_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	FALSE	1215	0.163786008230453	0.30521472392638	0.164889253486464	0.01062836252139	0.142954800473893	0.184617215987012	0.30640243902439	0.0179989830498758	0.269937365390277	0.340492082462484
ABC_distanceToTSS	In element (ABC) & distance to TSS	TRUE	1215	0.0683127572016461	0.477011494252874	0.0697292863002461	0.0072947503195808	0.0540153092990557	0.0826102051042365	0.477528089887641	0.0374387149598133	0.403632961304179	0.550390027201568
ArchR	ArchR (high-confidence)	FALSE	1215	0.0106995884773663	0.108333333333333	0.0123051681706317	0.00315757238021221	0.0045108603335719	0.0168883166211606	0.120967741935484	0.0292837270877412	0.0509382829082606	0.165728383758406
ArchR	ArchR (high-confidence)	TRUE	1215	0.0065843621399177	0.32	0.00820344544708778	0.00258349480153703	0.00152080537465866	0.0116479189051767	0.344827586206897	0.0882632273954608	0.147007253145628	0.492992746854372
Cicero	Cicero (co-accessibility)	FALSE	1180	0.00508474576271186	0.272727272727273	0.00675675675675676	0.00238079006072542	0.000418482988939105	0.00975100853648462	0.307692307692308	0.0905151392945465	0.0953208596543354	0.45013368580021
Cicero	Cicero (co-accessibility)	TRUE	1180	0.00423728813559322	0.714285714285714	0.00591216216216216	0.00222797184251111	-0.000129456434297899	0.00860403270548434	0.636363636363636	0.145040733675903	0.430011099989679	0.99856032858175
DIRECTNET	DIRECTNET (high-confidence)	FALSE	1215	0.00740740740740741	0.0782608695652174	0.00902378999179655	0.0027084713829283	0.00209890104371055	0.0127159137711043	0.092436974789916	0.0265514215672226	0.0262210395551211	0.130300699575314
DIRECTNET	DIRECTNET (high-confidence)	TRUE	1215	0.00493827160493827	0.428571428571429	0.00656275635767022	0.00231265849717973	0.000405544241925482	0.00947099896795106	0.444444444444444	0.117121394821051	0.199017712903072	0.658125144239785
FigR	FigR (p-value)	FALSE	1215	0.0148148148148148	0.15	0.0164068908941756	0.00363847194816813	0.007683540837646	0.0219460887919836	0.161290322580645	0.0330292825142641	0.0852637958368439	0.214736204163156
FigR	FigR (p-value)	TRUE	1215	0.00987654320987654	0.48	0.0114848236259229	0.00305177128896771	0.00389518139444646	0.0158579050253066	0.482758620689655	0.0927924519149901	0.298130136209455	0.661869863790545
SCENT	SCENT (FDR)	FALSE	1215	0.0213991769547325	0.104838709677419	0.0229696472518458	0.00429071173393574	0.0129895364881751	0.02980881742129	0.111111111111111	0.01979712903055	0.0660370497802491	0.14364036957459
SCENT	SCENT (FDR)	TRUE	1215	0.00905349794238683	0.261904761904762	0.0106644790812141	0.00294198037679399	0.00328732236064704	0.0148196735241266	0.282608695652174	0.0663883536135719	0.131785979829251	0.392023543980272
STARE	STARE (gABC, power law)	FALSE	1215	0.162962962962963	0.303680981595092	0.164068908941756	0.0106070967800065	0.142173435293619	0.183752490632307	0.304878048780488	0.0179738726431764	0.268452838551757	0.338909124638428
STARE	STARE (gABC, power law)	TRUE	1215	0.0559670781893004	0.53968253968254	0.0574241181296144	0.00666351647666786	0.0429068258846422	0.0690273304939587	0.538461538461538	0.0437229661583696	0.453987100714872	0.625377978650208
ScenicPlus	SCENIC+ (importance)	FALSE	1215	0.00823045267489712	0.0833333333333333	0.00984413453650533	0.00282773495011447	0.0026881940148476	0.0137727113349466	0.0967741935483871	0.0265501577984871	0.0312959802644433	0.135370686402223
ScenicPlus	SCENIC+ (importance)	TRUE	1215	0.00493827160493827	0.4	0.00656275635767022	0.00231265849717973	0.000405544241925482	0.00947099896795106	0.421052631578947	0.113268965652415	0.177996906755163	0.622003093244838
