method	pred_name_long	intersectPoPS	nCredibleSetsTotal	recall	precision	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	precision_adjust	SE_precision	CI_precision_low	CI_precision_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	FALSE	66	0.257575757575758	0.386363636363636	0.271428571428571	0.0531514147158604	0.153400899005319	0.361750616146196	0.395833333333333	0.0705852477439449	0.248019092945667	0.524708179781605
ABC_distanceToTSS	In element (ABC) & distance to TSS	TRUE	66	0.0909090909090909	0.545454545454545	0.114285714285714	0.0380271500370681	0.0163772464017364	0.165440935416445	0.533333333333333	0.128812237743906	0.292987198708478	0.797921892200612
ArchR	ArchR (high-confidence)	FALSE	66	0	0	0.0285714285714286	0.0199123443553477	-0.0390274777842409	0.0390274777842409	0.166666666666667	0.107582870727984	-0.210858551980277	0.210858551980277
ArchR	ArchR (high-confidence)	TRUE	66	0	0	0.0285714285714286	0.0199123443553477	-0.0390274777842409	0.0390274777842409	0.4	0.219089023002066	-0.429406594492118	0.429406594492118
Cicero	Cicero (co-accessibility)	FALSE	66	0.0303030303030303	0.5	0.0571428571428571	0.0277430946415778	-0.0240724360141484	0.084678496620209	0.5	0.176776695296637	0.153524043912581	0.846475956087419
Cicero	Cicero (co-accessibility)	TRUE	66	0.0303030303030303	1	0.0571428571428571	0.0277430946415778	-0.0240724360141484	0.084678496620209	0.666666666666667	0.192450089729875	0.622804755307943	1.37719524469206
DIRECTNET	DIRECTNET (high-confidence)	FALSE	66	0	0	0.0285714285714286	0.0199123443553477	-0.0390274777842409	0.0390274777842409	0.181818181818182	0.116291299830333	-0.227926759382802	0.227926759382802
DIRECTNET	DIRECTNET (high-confidence)	TRUE	66	0	0	0.0285714285714286	0.0199123443553477	-0.0390274777842409	0.0390274777842409	0.4	0.219089023002066	-0.429406594492118	0.429406594492118
FigR	FigR (p-value)	FALSE	66	0.0151515151515152	0.125	0.0428571428571429	0.0242075573097285	-0.032294425329242	0.0625974556322723	0.25	0.125	-0.119995498067507	0.369995498067507
FigR	FigR (p-value)	TRUE	66	0.0151515151515152	0.333333333333333	0.0428571428571429	0.0242075573097285	-0.032294425329242	0.0625974556322723	0.428571428571429	0.187043905916565	-0.0332659857908322	0.699932652457499
