method	pred_name_long	hex	nVariantsTotal	nVariantsOverlappingEnhancers	nCommonVariantsTotal	nCommonVariantsOverlappingEnhancers	recall	enrichment	SE_log_enr	CI_enr_low	CI_enr_high	p_enr	p_adjust_enr	recall_adjust	SE_recall	CI_recall_low	CI_recall_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	#96a0b3	2692	472	29239830	1190216	0.175334323922734	4.30740791979412	0.041800005049436	3.96858579384851	4.67515733596191	1.4882856091631e-156	1.4882856091631e-156	0.175816023738872	0.00733130632959366	0.1609652275571	0.189703420288368
ArchR	ArchR (high-confidence)	#dcbca1	2692	124	29239830	196155	0.0460624071322437	6.86628917915726	0.0877150695314102	5.78174438880761	8.15427385255529	1.30449429191536e-61	1.30449429191536e-61	0.0467359050445104	0.0040651071969042	0.0380949434330169	0.0540298708314705
Cicero	Cicero (co-accessibility)	#888364	2692	27	29239830	45119	0.0100297176820208	6.49986125513159	0.191504676950208	4.46575619966732	9.46047980387021	1.13146757424075e-14	1.13146757424075e-14	0.0107566765578635	0.00198669260397907	0.00613587172986974	0.0139235636341719
DIRECTNET	DIRECTNET (high-confidence)	#e0dcca	2692	218	29239830	587955	0.0809806835066865	4.02728341287907	0.0649299727492261	3.5460405728633	4.57383703158102	9.03555283580862e-66	9.03555283580862e-66	0.0816023738872404	0.00527238151582098	0.0706470056229227	0.0913143613904503
FigR	FigR (p-value)	#bc9678	2692	160	29239830	363216	0.0594353640416048	4.78470095085193	0.0766742846035235	4.11708212093503	5.56057968158383	5.90004194843382e-58	5.90004194843382e-58	0.0600890207715134	0.00457700072004944	0.050464607473094	0.0684061206101155
SCENT	SCENT (FDR)	#a5a083	2692	167	29239830	222625	0.062035661218425	8.14783689147373	0.0749481226799543	7.03471275420548	9.43709406903257	2.20536259594607e-93	2.20536259594607e-93	0.0626854599406528	0.00466837937287616	0.052885805781418	0.0711855166554319
STARE	STARE (gABC, power law)	#96ced3	2692	467	29239830	1156655	0.173476968796434	4.38543651868797	0.0420704939912174	4.03833515218306	4.76237180290632	1.01316662681058e-157	1.01316662681058e-157	0.173961424332344	0.00730073690379977	0.159167787404384	0.187786150188484
ScenicPlus	SCENIC+ (importance)	#c5c1a5	2692	197	29239830	441871	0.0731797919762259	4.84250986559473	0.0685928339947947	4.23335011669967	5.53932492044004	5.6081074872552e-72	5.6081074872552e-72	0.073813056379822	0.00503565510752109	0.0633100893269193	0.0830494946255324
Signac	Signac (p-value)	#916953	2692	197	29239830	437378	0.0731797919762259	4.8922549301067	0.0685928572427084	4.27683734477368	5.59622832755167	1.09164617005797e-72	1.09164617005797e-72	0.073813056379822	0.00503565510752109	0.0633100893269193	0.0830494946255324
SnapATAC	SnapATAC (p-value)	#5e5948	2692	133	29239830	223466	0.049405646359584	6.46457492680924	0.084546300014253	5.47739463914908	7.62967281664097	6.03024491691661e-63	6.03024491691661e-63	0.0500741839762611	0.00420041152760667	0.041172991045228	0.0576383016739399
scABC	ABC (A=scATAC, C=power law)	#0096a0	2692	316	29239830	623788	0.117384843982169	5.50237080965834	0.0528512229925094	4.9609267203141	6.10290903975765	1.87854019642907e-130	1.87854019642907e-130	0.117952522255193	0.00621211738096663	0.10520931764774	0.129560370316599
scE2G_ATAC	scE2G (scATAC)	#006479	2692	499	29239830	1072066	0.185364041604755	5.05567107308315	0.0404055640364564	4.67073827333172	5.47232760721089	1.33986441841314e-194	1.33986441841314e-194	0.185830860534125	0.00749128454553443	0.170681393697566	0.200046689511944
scE2G_multiome	scE2G (Multiome)	#792374	2692	415	29239830	734325	0.154160475482912	6.13846198323566	0.0451473964044727	5.61862486770026	6.70639460844668	8.88080979545636e-190	8.88080979545636e-190	0.154673590504451	0.0069640255896142	0.140511236139853	0.167809714825972
