method	pred_name_long	intersectPoPS	nCredibleSetsTotal	recall	precision	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	precision_adjust	SE_precision	CI_precision_low	CI_precision_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	FALSE	76	0.184210526315789	0.318181818181818	0.2	0.0447213595499958	0.0965582722581313	0.271862780373448	0.333333333333333	0.0680413817439772	0.184823160505282	0.451540475858355
ABC_distanceToTSS	In element (ABC) & distance to TSS	TRUE	76	0.0526315789473684	0.8	0.075	0.0294480474734744	-0.00508553351566707	0.110348691410404	0.666666666666667	0.157134840263677	0.492021372366738	1.10797862763326
ArchR	ArchR (high-confidence)	FALSE	76	0.0657894736842105	0.119047619047619	0.0875	0.0315918798902503	0.00387052689540478	0.127708420473016	0.152173913043478	0.0529595853360626	0.0152487391527607	0.222846498942477
ArchR	ArchR (high-confidence)	TRUE	76	0.0394736842105263	0.3	0.0625	0.0270632938682637	-0.0135693970742942	0.0925167654953468	0.357142857142857	0.128060208142971	0.0490066041870744	0.550993395812926
Cicero	Cicero (co-accessibility)	FALSE	76	0.0657894736842105	0.178571428571429	0.0875	0.0315918798902503	0.00387052689540478	0.127708420473016	0.21875	0.0730792458354286	0.0353387387166399	0.321804118426217
Cicero	Cicero (co-accessibility)	TRUE	76	0.0394736842105263	0.375	0.0625	0.0270632938682637	-0.0135693970742942	0.0925167654953468	0.416666666666667	0.142318760638328	0.096060354824501	0.653939645175499
DIRECTNET	DIRECTNET (high-confidence)	FALSE	76	0.0394736842105263	0.0714285714285714	0.0625	0.0270632938682637	-0.0135693970742942	0.0925167654953468	0.108695652173913	0.0458923379444621	-0.0185187581089151	0.161375900966058
DIRECTNET	DIRECTNET (high-confidence)	TRUE	76	0.0394736842105263	0.333333333333333	0.0625	0.0270632938682637	-0.0135693970742942	0.0925167654953468	0.384615384615385	0.134932002970312	0.0688714671496699	0.597795199516997
DNase_ENCODE_rE2G	ENCODE-rE2G (A=DNase, C=average Hi-C)	FALSE	76	0.144736842105263	0.275	0.1625	0.0412452648797411	0.063897608408156	0.22557607580237	0.295454545454545	0.0687817954616418	0.140190158103182	0.409809841896818
DNase_ENCODE_rE2G	ENCODE-rE2G (A=DNase, C=average Hi-C)	TRUE	76	0.0657894736842105	0.714285714285714	0.0875	0.0315918798902503	0.00387052689540478	0.127708420473016	0.636363636363636	0.145040733675903	0.430011099989679	0.99856032858175
FigR	FigR (p-value)	FALSE	76	0.0526315789473684	0.0952380952380952	0.075	0.0294480474734744	-0.00508553351566707	0.110348691410404	0.130434782608696	0.0496556731061009	-0.00208523567795674	0.192561426154147
FigR	FigR (p-value)	TRUE	76	0.0394736842105263	0.428571428571429	0.0625	0.0270632938682637	-0.0135693970742942	0.0925167654953468	0.454545454545455	0.150131422517231	0.13431924748989	0.722823609652967
SCENT	SCENT (FDR)	FALSE	76	0.0657894736842105	0.185185185185185	0.0875	0.0315918798902503	0.00387052689540478	0.127708420473016	0.225806451612903	0.0750951864835326	0.0380013242651422	0.332369046105228
SCENT	SCENT (FDR)	TRUE	76	0.0394736842105263	0.5	0.0625	0.0270632938682637	-0.0135693970742942	0.0925167654953468	0.5	0.158113883008419	0.190102483847719	0.809897516152281
STARE	STARE (gABC, power law)	FALSE	76	0.157894736842105	0.272727272727273	0.175	0.0424816136699161	0.0746323040439253	0.241157169640285	0.291666666666667	0.0656057070405944	0.144142449747422	0.401312095707124
STARE	STARE (gABC, power law)	TRUE	76	0.0789473684210526	1	0.1	0.0335410196624968	0.013208177877809	0.144686558964296	0.8	0.126491106406735	0.752081987078175	1.24791801292182
ScenicPlus	SCENIC+ (importance)	FALSE	76	0.0131578947368421	0.0238095238095238	0.0375	0.021240806834958	-0.0284733216622479	0.0547891111359321	0.0652173913043478	0.0364047545795288	-0.0475424840323723	0.0951615316514199
ScenicPlus	SCENIC+ (importance)	TRUE	76	0.0131578947368421	0.111111111111111	0.0375	0.021240806834958	-0.0284733216622479	0.0547891111359321	0.230769230769231	0.116854542355808	-0.117919583336182	0.340141805558404
Signac	Signac (p-value)	FALSE	76	0.0263157894736842	0.0476190476190476	0.05	0.0243669858620224	-0.0214426252276764	0.0740742041750448	0.0869565217391304	0.0415449167785178	-0.0338074930075611	0.129045588245656
Signac	Signac (p-value)	TRUE	76	0.0263157894736842	0.666666666666667	0.05	0.0243669858620224	-0.0214426252276764	0.0740742041750448	0.571428571428571	0.187043905916565	0.300067347542501	1.03326598579083
