method	pred_name_long	hex	nVariantsTotal	nVariantsOverlappingEnhancers	nCommonVariantsTotal	nCommonVariantsOverlappingEnhancers	recall	enrichment	SE_log_enr	CI_enr_low	CI_enr_high	p_enr	p_adjust_enr	recall_adjust	SE_recall	CI_recall_low	CI_recall_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	#96a0b3	3614	452	19493220	490137	0.125069175428888	4.97412142289585	0.0439984395412533	4.56315102767056	5.42210498396365	1.97734559235442e-169	1.97734559235442e-169	0.125483692647872	0.0055073581496619	0.114274951805587	0.135863399052188
ArchR	ArchR (high-confidence)	#dcbca1	3614	145	19493220	123026	0.0401217487548423	6.35720965700638	0.0813705377474181	5.42005641743255	7.4564010981788	3.05393272229677e-67	3.05393272229677e-67	0.0406301824212272	0.00328233671338998	0.0336884870114644	0.0465550104982202
Cicero	Cicero (co-accessibility)	#888364	3614	51	19493220	38398	0.0141117874930825	7.16402360008086	0.139062466871632	5.45490035169015	9.40864742407503	1.91123251904638e-27	1.91123251904638e-27	0.0146489773355445	0.00199739913796756	0.0101969571199147	0.0180266178662502
DIRECTNET	DIRECTNET (high-confidence)	#e0dcca	3614	504	19493220	632384	0.139457664637521	4.29877880760015	0.0413225327715538	3.96434366072308	4.66142716630716	7.23518460840292e-164	7.23518460840292e-164	0.139856274184632	0.0057662332862733	0.128156055069969	0.150759274205072
DNase_ENCODE_rE2G	ENCODE-rE2G (A=DNase, C=average Hi-C)	#DC6464	3614	253	19493220	197626	0.070005534034311	6.90513027713111	0.0606339412492069	6.13140738099528	7.77648934108387	2.60163986409211e-124	2.60163986409211e-124	0.0704809286898839	0.00425530486666502	0.0616652897524096	0.0783457783162125
FigR	FigR (p-value)	#bc9678	3614	370	19493220	419860	0.102379634753735	4.75327190914641	0.0492567818914512	4.31583874861001	5.23504124188073	5.83193902942907e-132	5.83193902942907e-132	0.102819237147595	0.00504943613805762	0.0924829217809075	0.112276347726563
SCENT	SCENT (FDR)	#a5a083	3614	255	19493220	190924	0.0705589374654123	7.2040230195236	0.0603779195686049	6.40001974088101	8.10902931038175	2.21325185176591e-129	2.21325185176591e-129	0.0710337202874516	0.00427068927256367	0.0621885403020259	0.0789293346287986
STARE	STARE (gABC, power law)	#96ced3	3614	490	19493220	573734	0.135583840619812	4.60660451297453	0.0420030560623745	4.24255872599455	5.00188836725711	6.49630990644555e-171	6.49630990644555e-171	0.135986733001658	0.00569867900108731	0.124414635018226	0.146753046221398
ScenicPlus	SCENIC+ (importance)	#c5c1a5	3614	520	19493220	665269	0.143884892086331	4.21600864629963	0.0405770012319307	3.8936982037281	4.56499912824637	7.78561434750602e-166	7.78561434750602e-166	0.144278606965174	0.00584161436700158	0.132435538315436	0.155334245857226
Signac	Signac (p-value)	#916953	3614	521	19493220	651761	0.144161593801882	4.31166280819306	0.0405315222473141	3.98239464607909	4.66815517388731	3.34334166678408e-170	3.34334166678408e-170	0.144555002763958	0.00584626271317043	0.132703129439908	0.155620058163855
SnapATAC	SnapATAC (p-value)	#5e5948	3614	47	19493220	24231	0.0130049806308799	10.4621744267047	0.144954619975535	7.87474247563275	13.8997680334935	1.66055214415157e-32	1.66055214415157e-32	0.0135433941404091	0.00192162424787428	0.00923866631322745	0.0167712949485324
scABC	ABC (A=scATAC, C=power law)	#0096a0	3614	322	19493220	273492	0.0890979524073049	6.35048187085957	0.0531909000873465	5.72177142265788	7.0482752653168	2.34674149748269e-148	2.34674149748269e-148	0.0895522388059701	0.0047471336477091	0.0797937414279968	0.098402163386613
scE2G_ATAC	scE2G (scATAC)	#006479	3614	424	19493220	413223	0.11732152739347	5.53447979472811	0.0456289930609191	5.06101164926779	6.05224186802361	6.4343053357251e-175	6.4343053357251e-175	0.117744610281924	0.00535837861687061	0.106819298288874	0.127823756498066
scE2G_multiome	scE2G (Multiome)	#792374	3614	333	19493220	244417	0.0921416712783619	7.34866179274269	0.0522180351987121	6.63376661186405	8.14059844184686	8.03174067737042e-172	8.03174067737042e-172	0.0925925925925926	0.00481897863768255	0.0826966467062362	0.101586695850488
