method	pred_name_long	intersectPoPS	nCredibleSetsTotal	recall	precision	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	precision_adjust	SE_precision	CI_precision_low	CI_precision_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	FALSE	4633	0.156054392402331	0.316549912434326	0.156351089066207	0.00533350593254195	0.145600912863218	0.166507871941444	0.316870629370629	0.00972667628093818	0.297485977234407	0.335613847634245
ABC_distanceToTSS	In element (ABC) & distance to TSS	TRUE	4633	0.0589251025253615	0.458053691275168	0.0593055855078715	0.00346859452056905	0.0521267821880732	0.0657234228626498	0.458333333333333	0.0203414146053845	0.418185251254017	0.497922131296318
ArchR	ArchR (high-confidence)	FALSE	3657	0.0155865463494668	0.0568862275449102	0.016115815350997	0.00208112548123881	0.0115076153589301	0.0196654773400034	0.058648111332008	0.00740805203541658	0.042366712359895	0.0714057427299253
ArchR	ArchR (high-confidence)	TRUE	3657	0.00875034181022696	0.30188679245283	0.00928708003277793	0.00158530796993232	0.00564319528475532	0.0118574883356986	0.309090909090909	0.0440612919185273	0.215528247180211	0.388245337725449
Cicero	Cicero (co-accessibility)	FALSE	905	0.0165745856353591	0.172413793103448	0.0187018701870187	0.00449325496676951	0.00776796772713515	0.0253812035435831	0.186813186813187	0.0408581061194606	0.09233337663279	0.252494209574107
Cicero	Cicero (co-accessibility)	TRUE	905	0.0132596685082873	0.5	0.0154015401540154	0.00408441357232744	0.00525436500855893	0.0212649720080157	0.5	0.0944911182523068	0.314800811366563	0.685199188633437
DIRECTNET	DIRECTNET (high-confidence)	FALSE	3727	0.0101958679903408	0.0629139072847682	0.0107209863307424	0.00168602552310178	0.00689131868804595	0.0135004172926356	0.0657894736842105	0.0100542295070877	0.0432079795585765	0.08261983501096
DIRECTNET	DIRECTNET (high-confidence)	TRUE	3727	0.00670780788838208	0.352112676056338	0.00723666577325114	0.00138764858616896	0.003988066636293	0.00942754914047116	0.36	0.0554256258422041	0.243480445585026	0.460744906527651
FigR	FigR (p-value)	FALSE	3727	0.00643949557284679	0.130434782608696	0.00696864111498258	0.00136189274576835	0.00377023484033446	0.00910875630535912	0.138297872340426	0.0251771986982287	0.0810883799285586	0.179781185288833
FigR	FigR (p-value)	TRUE	3727	0.00456130936409981	0.447368421052632	0.00509246850710265	0.00116531385676908	0.00227733617414695	0.00684528255405268	0.452380952380952	0.0768009837337565	0.296841258957222	0.597895583148041
ScenicPlus	SCENIC+ (importance)	FALSE	3698	0.00621957815035154	0.105504587155963	0.00675310642895732	0.00134605311574805	0.00358136252220743	0.00885779377849565	0.112612612612613	0.021216495801932	0.0639210195060314	0.147088154805895
ScenicPlus	SCENIC+ (importance)	TRUE	3698	0.00594916170903191	0.564102564102564	0.00648298217179903	0.00131903664668561	0.00336389738723964	0.00853442603082418	0.558139534883721	0.0757320543611219	0.415670465079536	0.712534663125593
Signac	Signac (p-value)	FALSE	3714	0.00350026925148088	0.0590909090909091	0.00403442711135019	0.00103958117694697	0.00146272758565906	0.00553781091730271	0.0669642857142857	0.016701164169359	0.0263572288190747	0.0918245893627435
Signac	Signac (p-value)	TRUE	3714	0.00323101777059774	0.48	0.00376546530392684	0.00100446643416659	0.00126229973595185	0.00519973580524362	0.482758620689655	0.0927924519149901	0.298130136209455	0.661869863790545
SnapATAC	SnapATAC (p-value)	FALSE	3670	0.00653950953678474	0.158940397350993	0.00707675557974959	0.00138294644055163	0.00382898432075568	0.0092500347528138	0.167741935483871	0.0300112429001679	0.100119442135381	0.217761352566606
SnapATAC	SnapATAC (p-value)	TRUE	3670	0.00463215258855586	0.5	0.00517147523135547	0.00118334604379258	0.00231283696147445	0.00695146821563726	0.5	0.0811107105653813	0.3410259285314	0.6589740714686
scABC	ABC (A=scATAC, C=power law)	FALSE	4633	0.147204834880207	0.321546440358322	0.147509165408669	0.0052075783667031	0.136998168834799	0.157411500925615	0.321882352941176	0.0101349506817043	0.301682302037091	0.341410578679552
scABC	ABC (A=scATAC, C=power law)	TRUE	4633	0.057630045327002	0.514450867052023	0.058011645460427	0.00343290520393223	0.0509016747649547	0.0643584158890492	0.51434034416826	0.0218544793737613	0.471616874578578	0.557284859525469
scE2G_ATAC	scE2G (scATAC)	FALSE	4633	0.173105978847399	0.359480053787539	0.173387966357559	0.00555957751950397	0.162209407139913	0.184002550554885	0.359731543624161	0.0101515311139707	0.339583418416219	0.37937668915886
scE2G_ATAC	scE2G (scATAC)	TRUE	4633	0.0718756745089575	0.592526690391459	0.0722449859823162	0.00380191114508592	0.0644240655921676	0.0793272834257473	0.591872791519435	0.0206587360424965	0.552036311782046	0.633017069000872
scE2G_multiome	scE2G (Multiome)	FALSE	4633	0.143103820418735	0.313031161473088	0.143411688591762	0.00514706672940781	0.133015755003071	0.153191885834399	0.313383600377003	0.0100698390516334	0.293294639601771	0.332767683344404
scE2G_multiome	scE2G (Multiome)	TRUE	4633	0.0662637599827326	0.50327868852459	0.0666379124433901	0.00366241219907483	0.0590855639760058	0.0734419559894594	0.503257328990228	0.020177929609731	0.463730673206933	0.542826703842247
PoPS	Polygenic priority score (PoPS)		113	0.460176991150443	0.230088495575221	0.461538461538462	0.0460880530396368	0.369846067075183	0.550507915225702	0.234782608695652	0.0279486902041796	0.175310069359962	0.284866921790481
distanceToTSS	Distance to TSS		113	0.63716814159292	0.31858407079646	0.632478632478633	0.0445729414619358	0.549806781642514	0.724529501543327	0.321739130434783	0.0308025311200128	0.258212219168561	0.37895592242436
