method	pred_name_long	hex	nVariantsTotal	nVariantsOverlappingEnhancers	nCommonVariantsTotal	nCommonVariantsOverlappingEnhancers	recall	enrichment	SE_log_enr	CI_enr_low	CI_enr_high	p_enr	p_adjust_enr	recall_adjust	SE_recall	CI_recall_low	CI_recall_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	#96a0b3	6017	2131	9746610	1111714	0.354163204254612	3.10501678329143	0.0174096302464015	3.00085387254069	3.21279530227798	0	0	0.354260089686099	0.00616390043589069	0.342082181395976	0.366244227113248
ArchR	ArchR (high-confidence)	#dcbca1	6017	465	9746610	157142	0.0772810370616586	4.79329605475005	0.0445522132530783	4.39249565992534	5.23066813203703	1.2801151544183e-164	1.2801151544183e-164	0.077561866799535	0.00344713615235883	0.0705247743532294	0.0840372997700879
Cicero	Cicero (co-accessibility)	#888364	6017	131	9746610	38551	0.0217716470001662	5.50439034962231	0.0864399100366934	4.64655882823057	6.52059174134098	1.12007091815167e-53	1.12007091815167e-53	0.022089353927919	0.00189411690571373	0.0180592460824588	0.0254840479178736
DIRECTNET	DIRECTNET (high-confidence)	#e0dcca	6017	1297	9746610	755738	0.215555924879508	2.77998397988438	0.0245941920552924	2.64915688930589	2.91727189114824	1.80168504704213e-246	1.80168504704213e-246	0.215744892874938	0.0053010832684324	0.205165992594333	0.225945857164683
FigR	FigR (p-value)	#bc9678	6017	1003	9746610	555531	0.166694365963105	2.92459822087274	0.028825527802171	2.76394806114296	3.0945859199666	6.11783784752797e-201	6.11783784752797e-201	0.166915794718485	0.00480572432072418	0.157275319374857	0.176113412551352
ScenicPlus	SCENIC+ (importance)	#c5c1a5	6017	1218	9746610	662834	0.202426458367957	2.97656991553499	0.0255909016483374	2.83095569751782	3.12967400720413	3.72016703339327e-255	3.72016703339327e-255	0.20262414881249	0.00518015586669672	0.192273539434928	0.212579377300987
Signac	Signac (p-value)	#916953	6017	1323	9746610	752711	0.219877015123816	2.84711597728203	0.0242841853903683	2.71477863331467	2.98590437121472	1.29160653429676e-261	1.29160653429676e-261	0.220063112439794	0.00533911213743083	0.209412547625031	0.230341482622601
SnapATAC	SnapATAC (p-value)	#5e5948	6017	309	9746610	124598	0.0513544955958119	4.0171771643132	0.0554159567087799	3.60371831868625	4.47807263009461	1.38774375311544e-90	1.38774375311544e-90	0.0516525494103969	0.0028523006955028	0.0457640889595478	0.0569449022320759
scABC	ABC (A=scATAC, C=power law)	#0096a0	6017	1485	9746610	599710	0.246800731261426	4.01105613599894	0.022522774759817	3.83784401631605	4.19208577986403	0	0	0.246968942036207	0.00555767697969963	0.235907884543507	0.257693577979345
scE2G_ATAC	scE2G (scATAC)	#006479	6017	2260	9746610	1084335	0.375602459697524	3.37612517322828	0.0166225553183778	3.26790479366965	3.48792939359356	0	0	0.375685102142501	0.00624136415396146	0.36336961074136	0.387835308653687
scE2G_multiome	scE2G (Multiome)	#792374	6017	1847	9746610	745548	0.306963603124481	4.01296029745784	0.0193719056402779	3.86345152108977	4.16825480042013	0	0	0.307091845208437	0.00594480569915311	0.295311998059052	0.318615208189909
