method	pred_name_long	intersectPoPS	nCredibleSetsTotal	recall	precision	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	precision_adjust	SE_precision	CI_precision_low	CI_precision_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	FALSE	565	0.136283185840708	0.287313432835821	0.13884007029877	0.0144958333009864	0.107871874644878	0.164694497036538	0.290441176470588	0.0275257299070402	0.233363993569845	0.341262872101797
ABC_distanceToTSS	In element (ABC) & distance to TSS	TRUE	565	0.0619469026548673	0.492957746478873	0.0650263620386643	0.0103368515327946	0.0416870459370521	0.0822067593726824	0.493333333333333	0.0577298946884605	0.379809232058201	0.606106260899546
ArchR	ArchR (high-confidence)	FALSE	412	0.00242718446601942	0.142857142857143	0.00721153846153846	0.00414854358554237	-0.00570381154993829	0.0105581804819771	0.272727272727273	0.134281626522908	-0.120330008913216	0.406044294627502
ArchR	ArchR (high-confidence)	TRUE	412	0		0.00480769230769231	0.00339136998723303	-0.0066469630332268	0.0066469630332268	0.5	0.25		
Cicero	Cicero (co-accessibility)	FALSE	94	0		0.0204081632653061	0.0142827390249748	-0.0279936540895353	0.0279936540895353	0.5	0.25		
Cicero	Cicero (co-accessibility)	TRUE	94	0		0.0204081632653061	0.0142827390249748	-0.0279936540895353	0.0279936540895353	0.5	0.25		
DIRECTNET	DIRECTNET (high-confidence)	FALSE	412	0.00242718446601942	0.5	0.00721153846153846	0.00414854358554237	-0.00570381154993829	0.0105581804819771	0.5	0.204124145231932	0.0999240269703909	0.900075973029609
DIRECTNET	DIRECTNET (high-confidence)	TRUE	412	0		0.00480769230769231	0.00339136998723303	-0.0066469630332268	0.0066469630332268	0.5	0.25		
FigR	FigR (p-value)	FALSE	412	0.00242718446601942	0.5	0.00721153846153846	0.00414854358554237	-0.00570381154993829	0.0105581804819771	0.5	0.204124145231932	0.0999240269703909	0.900075973029609
FigR	FigR (p-value)	TRUE	412	0		0.00480769230769231	0.00339136998723303	-0.0066469630332268	0.0066469630332268	0.5	0.25		
ScenicPlus	SCENIC+ (importance)	FALSE	412	0	0	0.00480769230769231	0.00339136998723303	-0.0066469630332268	0.0066469630332268	0.333333333333333	0.192450089729875	-0.377195244692057	0.377195244692057
ScenicPlus	SCENIC+ (importance)	TRUE	412	0		0.00480769230769231	0.00339136998723303	-0.0066469630332268	0.0066469630332268	0.5	0.25		
Signac	Signac (p-value)	FALSE	412	0.00242718446601942	0.5	0.00721153846153846	0.00414854358554237	-0.00570381154993829	0.0105581804819771	0.5	0.204124145231932	0.0999240269703909	0.900075973029609
Signac	Signac (p-value)	TRUE	412	0		0.00480769230769231	0.00339136998723303	-0.0066469630332268	0.0066469630332268	0.5	0.25		
SnapATAC	SnapATAC (p-value)	FALSE	412	0	0	0.00480769230769231	0.00339136998723303	-0.0066469630332268	0.0066469630332268	0.333333333333333	0.192450089729875	-0.377195244692057	0.377195244692057
SnapATAC	SnapATAC (p-value)	TRUE	412	0		0.00480769230769231	0.00339136998723303	-0.0066469630332268	0.0066469630332268	0.5	0.25		
scABC	ABC (A=scATAC, C=power law)	FALSE	565	0.134513274336283	0.283582089552239	0.137082601054482	0.0144184855927533	0.106253561862877	0.162772986809689	0.286764705882353	0.0274217274672626	0.229836491322531	0.337327687781946
scABC	ABC (A=scATAC, C=power law)	TRUE	565	0.0601769911504425	0.53968253968254	0.0632688927943761	0.0102057859463143	0.0401740182617415	0.0801799640391435	0.537313432835821	0.0609143891206372	0.420292530865832	0.659072548499247
scE2G_ATAC	scE2G (scATAC)	FALSE	565	0.141592920353982	0.300751879699248	0.144112478031634	0.0147232269727364	0.11273592575121	0.170449914956754	0.303703703703704	0.0279859597113318	0.245900406592249	0.355603352806247
scE2G_ATAC	scE2G (scATAC)	TRUE	565	0.063716814159292	0.571428571428571	0.0667838312829526	0.0104657572996942	0.0432043067809542	0.0842293215376299	0.567164179104478	0.0605311037654445	0.452789788103843	0.6900673547533
scE2G_multiome	scE2G (Multiome)	FALSE	565	0.130973451327434	0.278195488721805	0.133567662565905	0.0142613899895265	0.103021640578482	0.158925262076386	0.281481481481482	0.0273691944335687	0.224552853346136	0.331838124097473
scE2G_multiome	scE2G (Multiome)	TRUE	565	0.063716814159292	0.507042253521127	0.0667838312829526	0.0104657572996942	0.0432043067809542	0.0842293215376299	0.506666666666667	0.0577298946884605	0.393893739100454	0.6201907679418
PoPS	Polygenic priority score (PoPS)		113	0.460176991150443	0.230088495575221	0.461538461538462	0.0460880530396368	0.369846067075183	0.550507915225702	0.234782608695652	0.0279486902041796	0.175310069359962	0.284866921790481
distanceToTSS	Distance to TSS		113	0.63716814159292	0.31858407079646	0.632478632478633	0.0445729414619358	0.549806781642514	0.724529501543327	0.321739130434783	0.0308025311200128	0.258212219168561	0.37895592242436
