method	pred_name_long	intersectPoPS	nCredibleSetsTotal	recall	precision	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	precision_adjust	SE_precision	CI_precision_low	CI_precision_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	FALSE	645	0.254263565891473	0.384976525821596	0.2557781201849	0.0171261823642116	0.220696865264953	0.287830266517993	0.386046511627907	0.023477579729855	0.338961315106913	0.43099173653628
ABC_distanceToTSS	In element (ABC) & distance to TSS	TRUE	645	0.12093023255814	0.702702702702703	0.12326656394453	0.012904289020618	0.0956382908316327	0.146222174284646	0.695652173913044	0.042907405547406	0.618605733159733	0.786799672245673
ArchR	ArchR (high-confidence)	FALSE	554	0.00902527075812274	0.054945054945055	0.0125448028673835	0.00471165541539368	-0.00020940416361198	0.0182599456798575	0.0736842105263158	0.0268043295099542	0.00240953447580048	0.107480575414309
ArchR	ArchR (high-confidence)	TRUE	554	0.00541516245487365	0.375	0.00896057347670251	0.00398929607243339	-0.00240371417076289	0.0132340390805102	0.416666666666667	0.142318760638328	0.096060354824501	0.653939645175499
Cicero	Cicero (co-accessibility)	FALSE	126	0.00793650793650794	0.5	0.0230769230769231	0.0131688381294119	-0.0178739405153772	0.0337469563883931	0.5	0.204124145231932	0.0999240269703909	0.900075973029609
Cicero	Cicero (co-accessibility)	TRUE	126	0.00793650793650794	1	0.0230769230769231	0.0131688381294119	-0.0178739405153772	0.0337469563883931	0.6	0.219089023002066	0.570593405507882	1.42940659449212
DIRECTNET	DIRECTNET (high-confidence)	FALSE	554	0.0036101083032491	0.0714285714285714	0.00716845878136201	0.00357135958470512	-0.00338962785861485	0.010609844465113	0.125	0.0584633966683428	-0.0431575804552595	0.186014723312402
DIRECTNET	DIRECTNET (high-confidence)	TRUE	554	0.0036101083032491	0.666666666666667	0.00716845878136201	0.00357135958470512	-0.00338962785861485	0.010609844465113	0.571428571428571	0.187043905916565	0.300067347542501	1.03326598579083
FigR	FigR (p-value)	FALSE	554	0.00180505415162455	0.0769230769230769	0.00537634408602151	0.00309567828315188	-0.00426236379107592	0.00787247209432501	0.176470588235294	0.0924594409403971	-0.10429409735081	0.258140251196964
FigR	FigR (p-value)	TRUE	554	0.00180505415162455	0.5	0.00537634408602151	0.00309567828315188	-0.00426236379107592	0.00787247209432501	0.5	0.204124145231932	0.0999240269703909	0.900075973029609
ScenicPlus	SCENIC+ (importance)	FALSE	527	0	0	0.00376647834274953	0.00265828201025253	-0.0052101370008457	0.0052101370008457	0.142857142857143	0.0935219529582824	-0.183299659562083	0.183299659562083
ScenicPlus	SCENIC+ (importance)	TRUE	527	0		0.00376647834274953	0.00265828201025253	-0.0052101370008457	0.0052101370008457	0.5	0.25		
Signac	Signac (p-value)	FALSE	554	0.00180505415162455	0.0714285714285714	0.00537634408602151	0.00309567828315188	-0.00426236379107592	0.00787247209432501	0.166666666666667	0.0878410461157883	-0.100736715322696	0.243593858179839
Signac	Signac (p-value)	TRUE	554	0.00180505415162455	0.5	0.00537634408602151	0.00309567828315188	-0.00426236379107592	0.00787247209432501	0.5	0.204124145231932	0.0999240269703909	0.900075973029609
SnapATAC	SnapATAC (p-value)	FALSE	554	0.0072202166064982	0.285714285714286	0.010752688172043	0.00436610188195149	-0.00133718583495927	0.0157776190479557	0.333333333333333	0.111111111111111	0.0679405096542797	0.503488061774292
SnapATAC	SnapATAC (p-value)	TRUE	554	0.00541516245487365	1	0.00896057347670251	0.00398929607243339	-0.00240371417076289	0.0132340390805102	0.714285714285714	0.170746944190628	0.665342138916099	1.3346578610839
scABC	ABC (A=scATAC, C=power law)	FALSE	645	0.224806201550388	0.34037558685446	0.226502311248074	0.0164302238621162	0.192603554522709	0.257008848578066	0.341860465116279	0.0228743731649665	0.295542639282196	0.385208534426724
scABC	ABC (A=scATAC, C=power law)	TRUE	645	0.106976744186047	0.71875	0.10939907550077	0.0122525377252762	0.0829622115252868	0.130991276846806	0.71	0.0453762052181537	0.62981427201732	0.80768572798268
scE2G_ATAC	scE2G (scATAC)	FALSE	645	0.257364341085271	0.389671361502347	0.258859784283513	0.0171933353431554	0.223666023038567	0.291062659131976	0.390697674418605	0.0235289530510864	0.343555460928284	0.435787262076411
scE2G_ATAC	scE2G (scATAC)	TRUE	645	0.127131782945736	0.780952380952381	0.129429892141757	0.013176401558495	0.101306510445249	0.152957055446224	0.770642201834862	0.0402689124279293	0.702026762897042	0.85987799900772
scE2G_multiome	scE2G (Multiome)	FALSE	645	0.241860465116279	0.366197183098592	0.243451463790447	0.0168462113250219	0.208842497643285	0.274878432589273	0.367441860465116	0.0232493230530633	0.320629347249651	0.411765018947532
scE2G_multiome	scE2G (Multiome)	TRUE	645	0.128682170542636	0.71551724137931	0.130970724191063	0.0132428655441773	0.102726631023942	0.15463771006133	0.708333333333333	0.0414926923508046	0.634193058750133	0.796841424008488
PoPS	Polygenic priority score (PoPS)		159	0.484276729559749	0.242138364779874	0.484662576687117	0.0391445930141845	0.407554737062469	0.560998722057028	0.245341614906832	0.0239790997829968	0.195140192823508	0.28913653673624
distanceToTSS	Distance to TSS		159	0.60377358490566	0.30188679245283	0.601226993865031	0.0383520258631812	0.528604995479677	0.678942174331644	0.304347826086957	0.0256420793312865	0.25162924047479	0.352144344430871
