method	pred_name_long	hex	nVariantsTotal	nVariantsOverlappingEnhancers	nCommonVariantsTotal	nCommonVariantsOverlappingEnhancers	recall	enrichment	SE_log_enr	CI_enr_low	CI_enr_high	p_enr	p_adjust_enr	recall_adjust	SE_recall	CI_recall_low	CI_recall_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	#96a0b3	12035	2111	87719490	3641008	0.175405068550062	4.22587458105736	0.019764325533052	4.06530542141795	4.39278581155115	0	0	0.175512916355179	0.00346697940871063	0.168609913773848	0.182200223326277
ArchR	ArchR (high-confidence)	#dcbca1	11170	92	77972880	62474	0.00823634735899731	10.2796639283768	0.103842963849395	8.38663274555073	12.5999902089945	3.15901479070687e-60	3.15901479070687e-60	0.00841238589582961	0.000864014053434767	0.00654291093212871	0.00992978378586592
Cicero	Cicero (co-accessibility)	#888364	872	1	9746610	1093	0.00114678899082569	10.2262626220234	1.00034125150312	1.43954393688209	72.6455403932265	0.00447972358160544	0.00447972358160544	0.00342465753424658	0.00197383838303729	-0.00272186315123017	0.00501544113288155
DIRECTNET	DIRECTNET (high-confidence)	#e0dcca	12035	201	87719490	379663	0.0167012879102617	3.85876015790668	0.0699456950344336	3.36441764638492	4.42573768219514	2.45390541671031e-56	2.45390541671031e-56	0.0168618656034554	0.00117345077335483	0.0144013666568556	0.0190012091636679
FigR	FigR (p-value)	#bc9678	12035	156	87719490	272412	0.0129621936019942	4.1739608095392	0.0795471408624667	3.57139361605981	4.87819342041333	2.90798849265588e-48	2.90798849265588e-48	0.0131240136223939	0.0010372165067958	0.010929286604504	0.0149951005994844
ScenicPlus	SCENIC+ (importance)	#c5c1a5	12035	156	87719490	187097	0.0129621936019942	6.07725945390997	0.0795488147733633	5.19990852808601	7.1026408004397	7.02748216273186e-69	7.02748216273186e-69	0.0131240136223939	0.0010372165067958	0.010929286604504	0.0149951005994844
Signac	Signac (p-value)	#916953	12035	210	87719490	336521	0.0174491067719152	4.54838404434776	0.0684048152546745	3.97768917158975	5.20095877843794	2.58178692173815e-70	2.58178692173815e-70	0.0176094359996677	0.0011987251223904	0.0150996487046667	0.0197985648391638
SnapATAC	SnapATAC (p-value)	#5e5948	11170	152	77972880	121756	0.0136078782452999	8.71452295965193	0.0805651482144792	7.44160201837273	10.2051830004888	6.5341225429326e-88	6.5341225429326e-88	0.0137819939144442	0.00110290513090545	0.0114462239103608	0.015769532580239
scABC	ABC (A=scATAC, C=power law)	#0096a0	12035	1384	87719490	1782481	0.114997922725384	5.65928003301585	0.0252879450525414	5.38562420787624	5.94684093354548	0	0	0.115125841016696	0.00290892120133945	0.109296541936894	0.120699303513875
scE2G_ATAC	scE2G (scATAC)	#006479	12035	2148	87719490	3101344	0.178479434981305	5.04817427929575	0.0195568537722168	4.85833564810975	5.24543082239662	0	0	0.178586261317385	0.00349067806313932	0.171637831695927	0.185321038266682
scE2G_multiome	scE2G (Multiome)	#792374	12035	1744	87719490	2088535	0.144910677191525	6.08631921360915	0.0221432655742595	5.8278228852179	6.3562812905497	0	0	0.145028656865188	0.00320927907452384	0.13862060578912	0.15120074859393
