method	metric	min_max	value
scE2G_multiome	enrichment_overlap	min	1.68486681280233
scE2G_multiome	enrichment_overlap	max	14.9869871898816
scE2G_multiome	recall_overlap	min	0.0032258064516129
scE2G_multiome	recall_overlap	max	0.335766423357664
scE2G_multiome	precision_linking_intersectPoPS	min	0
scE2G_multiome	precision_linking_intersectPoPS	max	1
scE2G_multiome	precision_linking	min	0
scE2G_multiome	precision_linking	max	1
scE2G_multiome	recall_linking_intersectPoPS	min	0
scE2G_multiome	recall_linking_intersectPoPS	max	0.333333333333333
scE2G_multiome	recall_linking	min	0
scE2G_multiome	recall_linking	max	0.5
scE2G_ATAC	enrichment_overlap	min	1.73395748371796
scE2G_ATAC	enrichment_overlap	max	14.2093414085043
scE2G_ATAC	recall_overlap	min	0.00218818380743982
scE2G_ATAC	recall_overlap	max	0.394160583941606
scE2G_ATAC	precision_linking_intersectPoPS	min	0
scE2G_ATAC	precision_linking_intersectPoPS	max	1
scE2G_ATAC	precision_linking	min	0
scE2G_ATAC	precision_linking	max	1
scE2G_ATAC	recall_linking_intersectPoPS	min	0
scE2G_ATAC	recall_linking_intersectPoPS	max	0.555555555555556
scE2G_ATAC	recall_linking	min	0
scE2G_ATAC	recall_linking	max	0.555555555555556
scABC	enrichment_overlap	min	1.9299177405429
scABC	enrichment_overlap	max	14.4877224351731
scABC	recall_overlap	min	0.00218818380743982
scABC	recall_overlap	max	0.276595744680851
scABC	precision_linking_intersectPoPS	min	0
scABC	precision_linking_intersectPoPS	max	1
scABC	precision_linking	min	0
scABC	precision_linking	max	1
scABC	recall_linking_intersectPoPS	min	0
scABC	recall_linking_intersectPoPS	max	0.444444444444444
scABC	recall_linking	min	0
scABC	recall_linking	max	0.444444444444444
Kendall	enrichment_overlap	min	1.56714561748961
Kendall	enrichment_overlap	max	9.70990391504552
Kendall	recall_overlap	min	0.0126582278481013
Kendall	recall_overlap	max	0.423357664233577
Kendall	precision_linking_intersectPoPS	min	0
Kendall	precision_linking_intersectPoPS	max	1
Kendall	precision_linking	min	0
Kendall	precision_linking	max	0.5
Kendall	recall_linking_intersectPoPS	min	0
Kendall	recall_linking_intersectPoPS	max	0.222222222222222
Kendall	recall_linking	min	0
Kendall	recall_linking	max	0.222222222222222
ABC_distanceToTSS	enrichment_overlap	min	1.54489480362313
ABC_distanceToTSS	enrichment_overlap	max	10.0808340028646
ABC_distanceToTSS	recall_overlap	min	0.00437636761487965
ABC_distanceToTSS	recall_overlap	max	0.409574468085106
ABC_distanceToTSS	precision_linking_intersectPoPS	min	0
ABC_distanceToTSS	precision_linking_intersectPoPS	max	1
ABC_distanceToTSS	precision_linking	min	0
ABC_distanceToTSS	precision_linking	max	1
ABC_distanceToTSS	recall_linking_intersectPoPS	min	0
ABC_distanceToTSS	recall_linking_intersectPoPS	max	0.555555555555556
ABC_distanceToTSS	recall_linking	min	0
ABC_distanceToTSS	recall_linking	max	0.555555555555556
SnapATAC	enrichment_overlap	min	2.02497882662138
SnapATAC	enrichment_overlap	max	65.5244196971047
SnapATAC	recall_overlap	min	0.00104931794333683
SnapATAC	recall_overlap	max	0.196808510638298
