method	pred_name_long	hex	nVariantsTotal	nVariantsOverlappingEnhancers	nCommonVariantsTotal	nCommonVariantsOverlappingEnhancers	recall	enrichment	SE_log_enr	CI_enr_low	CI_enr_high	p_enr	p_adjust_enr	recall_adjust	SE_recall	CI_recall_low	CI_recall_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	#96a0b3	17282	3544	19493220	995156	0.205068857771091	4.01691027304321	0.0149777145560826	3.90070473159128	4.13657768325819	0	0	0.205137105171815	0.00307129101333251	0.199049237998918	0.211088477543265
ArchR	ArchR (high-confidence)	#dcbca1	17282	850	19493220	210853	0.0491841222080778	4.54703947636005	0.0334502727387058	4.25849165851231	4.85513878094566	1.86240553963003e-279	1.86240553963003e-279	0.0492884415133634	0.00164645428118126	0.0459571311147707	0.0524111133013848
Cicero	Cicero (co-accessibility)	#888364	17282	157	19493220	50882	0.00908459669019789	3.48036716114342	0.0794649485024181	2.97840927362699	4.06692111914318	3.58882317770838e-39	3.58882317770838e-39	0.00919819507115585	0.000726101690751594	0.00766146352721113	0.0105077298531847
DIRECTNET	DIRECTNET (high-confidence)	#e0dcca	17282	1772	19493220	607064	0.102534428885546	3.29244722111721	0.0225064934974887	3.15036779960479	3.44093432684346	0	0	0.102626402869374	0.00230817611580503	0.0980104868285922	0.107058370942499
FigR	FigR (p-value)	#bc9678	17282	954	19493220	316546	0.0552019442194191	3.39939106195265	0.0314730038290309	3.19603302847197	3.6156884140864	4.41984801717305e-223	4.41984801717305e-223	0.0553048709938679	0.00173852233909565	0.0517945030484732	0.0586093853903649
SCENT	SCENT (FDR)	#a5a083	17282	995	19493220	176317	0.057574354820044	6.36529412855923	0.0307816085477329	5.99262530313968	6.76113844825953	0	0	0.0576767326159898	0.00177318083142899	0.0540989842523664	0.0610497253877216
STARE	STARE (gABC, power law)	#96ced3	17282	3675	19493220	1078565	0.212648998958454	3.84326741501617	0.0146379920476788	3.73457101626796	3.95512747220047	0	0	0.212715492305912	0.00311256306036573	0.206548487460527	0.218749510456381
ScenicPlus	SCENIC+ (importance)	#c5c1a5	17282	1479	19493220	463923	0.0855803726420553	3.59593516940002	0.0248671167737308	3.42487657524244	3.77553744155367	0	0	0.0856762698137221	0.00212879095536681	0.0814080190389218	0.0897527262451889
Signac	Signac (p-value)	#916953	17282	1466	19493220	479929	0.0848281448906377	3.44545482882901	0.0249873193506721	3.28078156340809	3.61839358947424	0	0	0.084924216128659	0.00212029871623042	0.0806724357703595	0.0889838540109158
SnapATAC	SnapATAC (p-value)	#5e5948	17282	1029	19493220	275539	0.0595417197083671	4.21232508448363	0.0302352438846984	3.96995509188491	4.46949202363532	1.11262783391535e-308	1.11262783391535e-308	0.059643642253847	0.00180127929317286	0.0560112771676505	0.0630721622490837
scABC	ABC (A=scATAC, C=power law)	#0096a0	17282	2342	19493220	540172	0.135516722601551	4.89040025649423	0.019214342982622	4.70965535327344	5.0780817012642	0	0	0.135601064445216	0.00260400255916888	0.13041297136993	0.140620473833172
scE2G_ATAC	scE2G (scATAC)	#006479	17282	3652	19493220	937049	0.211318134475177	4.39600371518907	0.0146965556726726	4.27118438303242	4.52447071606774	0	0	0.211384935786185	0.00310543395447972	0.205231595768028	0.217404673182325
scE2G_multiome	scE2G (Multiome)	#792374	17282	2771	19493220	583664	0.160340238398334	5.35504595443811	0.0174090419252362	5.17540807067076	5.54091905074208	0	0	0.160418836052297	0.00279133376774157	0.15486932474473	0.165811152051938
