method	pred_name_long	intersectPoPS	nCredibleSetsTotal	recall	precision	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	precision_adjust	SE_precision	CI_precision_low	CI_precision_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	FALSE	396	0.136363636363636	0.296703296703297	0.14	0.0173493515728975	0.102359532125634	0.170367740601639	0.301075268817204	0.0336353749492659	0.230779173196235	0.362627420210359
ABC_distanceToTSS	In element (ABC) & distance to TSS	TRUE	396	0.0505050505050505	0.512820512820513	0.055	0.011399013115178	0.0281633953400019	0.0728467056700991	0.511627906976744	0.0762286633173339	0.363415078128909	0.662225947512117
ArchR	ArchR (high-confidence)	FALSE	396	0.161616161616162	0.0497280497280497	0.165	0.0185590274529675	0.125241136220255	0.197991187012068	0.0511231603408211	0.00612986131195364	0.0377137423263951	0.0617423571297043
ArchR	ArchR (high-confidence)	TRUE	396	0.0757575757575758	0.247933884297521	0.08	0.0135646599662505	0.0491713307611924	0.102343820753959	0.256	0.0390347537458609	0.171427172810243	0.324440595784798
Cicero	Cicero (co-accessibility)	FALSE	396	0.053030303030303	0.168	0.0575	0.0116397755562554	0.0302167621519128	0.0758438439086932	0.178294573643411	0.0337001850169426	0.101948851094456	0.234051148905544
Cicero	Cicero (co-accessibility)	TRUE	396	0.0378787878787879	0.441176470588235	0.0425	0.0100863459686846	0.0181099130445553	0.0576476627130205	0.447368421052632	0.0806600920199775	0.283085595239393	0.599267345937078
DIRECTNET	DIRECTNET (high-confidence)	FALSE	396	0.0833333333333333	0.0656063618290259	0.0875	0.0141283181943216	0.055642338510341	0.111024328156326	0.0690335305719921	0.0112588253552577	0.0435394696244944	0.0876732540335573
DIRECTNET	DIRECTNET (high-confidence)	TRUE	396	0.053030303030303	0.328125	0.0575	0.0116397755562554	0.0302167621519128	0.0758438439086932	0.338235294117647	0.057372900439708	0.21567618144957	0.44057381855043
FigR	FigR (p-value)	FALSE	396	0.0429292929292929	0.102409638554217	0.0475	0.0106352891357029	0.0220845092581451	0.0637740766004407	0.111764705882353	0.024165283362877	0.0550465534867729	0.149772723621661
FigR	FigR (p-value)	TRUE	396	0.0353535353535354	0.388888888888889	0.04	0.00979795897113271	0.0161498886481141	0.0545571820589566	0.4	0.0774596669241483	0.23707073146309	0.540707046314688
SCENT	SCENT (FDR)	FALSE	396	0.0303030303030303	0.116504854368932	0.035	0.00918898797474455	0.0122929448181593	0.0483131157879013	0.130841121495327	0.0326009177127253	0.0526082297890365	0.180401478948828
SCENT	SCENT (FDR)	TRUE	396	0.0227272727272727	0.310344827586207	0.0275	0.00817675822071315	0.00670112110438315	0.0387534243501623	0.333333333333333	0.0820609939862218	0.149508234837654	0.47118142033476
STARE	STARE (gABC, power law)	FALSE	396	0.136363636363636	0.296703296703297	0.14	0.0173493515728975	0.102359532125634	0.170367740601639	0.301075268817204	0.0336353749492659	0.230779173196235	0.362627420210359
STARE	STARE (gABC, power law)	TRUE	396	0.0656565656565657	0.702702702702703	0.07	0.0127573508221731	0.040652617506964	0.0906605138061673	0.682926829268293	0.0726733042430718	0.56026564374876	0.845139761656645
ScenicPlus	SCENIC+ (importance)	FALSE	396	0.0328282828282828	0.0783132530120482	0.0375	0.00949917759598166	0.014210236857409	0.0514463287991567	0.0882352941176471	0.0217539485245673	0.035676297382358	0.120950208641738
ScenicPlus	SCENIC+ (importance)	TRUE	396	0.0303030303030303	0.48	0.035	0.00918898797474455	0.0122929448181593	0.0483131157879013	0.482758620689655	0.0927924519149901	0.298130136209455	0.661869863790545
Signac	Signac (p-value)	FALSE	396	0.0176767676767677	0.0419161676646707	0.0225	0.00741514497498195	0.00314335058565991	0.0322101847678754	0.0526315789473684	0.0170759390663961	0.00844794209233388	0.0753843932370074
Signac	Signac (p-value)	TRUE	396	0.0126262626262626	0.384615384615385	0.0175	0.00655624702097168	-0.000223745408589882	0.0254762706611151	0.411764705882353	0.119364624987269	0.150665018612208	0.618565750618561
SnapATAC	SnapATAC (p-value)	FALSE	396	0.053030303030303	0.126506024096386	0.0575	0.0116397755562554	0.0302167621519128	0.0758438439086932	0.135294117647059	0.0262330751462799	0.0750901416059441	0.177921906586827
SnapATAC	SnapATAC (p-value)	TRUE	396	0.0353535353535354	0.358974358974359	0.04	0.00979795897113271	0.0161498886481141	0.0545571820589566	0.372093023255814	0.0737121689016801	0.214501162704733	0.503447555243985
scABC	ABC (A=scATAC, C=power law)	FALSE	396	0.128787878787879	0.277173913043478	0.1325	0.0169516776455901	0.0955632011249894	0.162012556450768	0.281914893617021	0.0328146703030115	0.21285834108502	0.341489485001937
scABC	ABC (A=scATAC, C=power law)	TRUE	396	0.0580808080808081	0.621621621621622	0.0625	0.0121030729568982	0.034359220983027	0.0818023951785892	0.609756097560976	0.0761823228724908	0.472307012532938	0.770936230710306
scE2G_ATAC	scE2G (scATAC)	FALSE	396	0.159090909090909	0.346153846153846	0.1625	0.0184454432042171	0.122938504731764	0.195243313450054	0.349462365591398	0.0349606861097093	0.277632160504006	0.414675531803686
scE2G_ATAC	scE2G (scATAC)	TRUE	396	0.0707070707070707	0.682926829268293	0.075	0.0131695671910659	0.0448951933206012	0.0965189480935402	0.666666666666667	0.0702728368926307	0.545194599867279	0.820659058669306
scE2G_multiome	scE2G (Multiome)	FALSE	396	0.123737373737374	0.269230769230769	0.1275	0.0166766116162727	0.091051815585317	0.15642293188943	0.274193548387097	0.0327101515275752	0.205120050307874	0.333341488153665
scE2G_multiome	scE2G (Multiome)	TRUE	396	0.0606060606060606	0.558139534883721	0.065	0.0123262930356211	0.0364469701933565	0.0847651510187647	0.553191489361702	0.0725186205668943	0.416005650364082	0.700273419403359
PoPS	Polygenic priority score (PoPS)		198	0.454545454545455	0.227272727272727	0.455445544554456	0.0350399277557542	0.385868458123291	0.523222450967618	0.23	0.0210416254125008	0.186031899288043	0.268513555257412
distanceToTSS	Distance to TSS		198	0.621212121212121	0.310606060606061	0.618811881188119	0.0341722295398683	0.554235782042544	0.688188460381699	0.3125	0.0231756202721739	0.265182679553223	0.356029441658898
