method	pred_name_long	hex	nVariantsTotal	nVariantsOverlappingEnhancers	nCommonVariantsTotal	nCommonVariantsOverlappingEnhancers	recall	enrichment	SE_log_enr	CI_enr_low	CI_enr_high	p_enr	p_adjust_enr	recall_adjust	SE_recall	CI_recall_low	CI_recall_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	#96a0b3	8641	1316	9746610	403635	0.152297187825483	3.67753364755716	0.0253825063491067	3.49905707390748	3.86511378444369	0	0	0.152458068247542	0.00386610196953466	0.144719767204636	0.15987460844633
ArchR	ArchR (high-confidence)	#dcbca1	8641	492	9746610	117495	0.0569378544149983	4.72318874181681	0.0437896027520495	4.33472472698497	5.14646564566092	5.9733823519141e-170	5.9733823519141e-170	0.0571428571428571	0.00249644167866831	0.0520449186353037	0.0618307901946929
Cicero	Cicero (co-accessibility)	#888364	8641	172	9746610	32976	0.019905103575975	5.88328728665192	0.0755168182621342	5.073878036973	6.82181736436254	1.07687367629409e-73	1.07687367629409e-73	0.0201272411798728	0.00151040866552193	0.0169447569896148	0.0228654501623352
DIRECTNET	DIRECTNET (high-confidence)	#e0dcca	8641	1463	9746610	535239	0.169309107742159	3.08308969004652	0.0238303127415342	2.94240032574723	3.23050604423013	1.11253696749129e-308	1.11253696749129e-308	0.169462116830538	0.00403490708240737	0.161400835179675	0.177217380304644
FigR	FigR (p-value)	#bc9678	8641	1142	9746610	379510	0.132160629556764	3.39416119112607	0.0275693493165692	3.2156249577858	3.58261001907353	1.77253258719299e-276	1.77253258719299e-276	0.132330827067669	0.00364439211681845	0.125017752262258	0.13930350685127
SCENT	SCENT (FDR)	#a5a083	8641	338	9746610	70186	0.0391158430737183	5.43195034993779	0.053332552352204	4.89281776753493	6.03048917946005	2.10591108379216e-133	2.10591108379216e-133	0.0393290919606709	0.0020905558794363	0.0350184288423547	0.0432132573050819
STARE	STARE (gABC, power law)	#96ced3	8641	1446	9746610	495655	0.167341742853836	3.29062493935627	0.0239984893934256	3.13943021422547	3.44910119118059	0	0	0.167495662232504	0.00401617414413528	0.15947018617569	0.175213299531982
ScenicPlus	SCENIC+ (importance)	#c5c1a5	8641	1524	9746610	565960	0.176368475870848	3.03730784968473	0.0232490433581764	2.90201191326733	3.17891147571821	0	0	0.176518218623482	0.0041005231383087	0.16833159820199	0.184405353539707
Signac	Signac (p-value)	#916953	8641	1529	9746610	564381	0.176947112602708	3.05579829435201	0.0232028522051836	2.91994304603705	3.19797443598704	0	0	0.177096587622903	0.00410579280535024	0.168899906576238	0.184994318629178
SnapATAC	SnapATAC (p-value)	#5e5948	8641	126	9746610	24358	0.0145816456428654	5.8346996156995	0.0884761290082001	4.90577340929157	6.93952140980764	3.19674161359073e-54	3.19674161359073e-54	0.0148062463851938	0.00129897505768313	0.0120357013129906	0.0171275899727402
scABC	ABC (A=scATAC, C=power law)	#0096a0	8641	879	9746610	223367	0.101724337460942	4.43873734589349	0.0319719998572817	4.16912418515271	4.72578612457618	3.71261211391961e-288	3.71261211391961e-288	0.101908617698091	0.00325374280789277	0.095347118742516	0.108101556179368
scE2G_ATAC	scE2G (scATAC)	#006479	8641	1249	9746610	359871	0.144543455618563	3.9147602612226	0.0261735219001856	3.71900043286721	4.12082444718416	0	0	0.144707923655292	0.00378373647476008	0.137127468401042	0.151959442836083
scE2G_multiome	scE2G (Multiome)	#792374	8641	901	9746610	194468	0.104270339081125	5.22596174996134	0.0315351929334085	4.91273594469213	5.55915817978499	0	0	0.104453441295547	0.00328944752151005	0.0978231404099306	0.110717537752319
