method	pred_name_long	intersectPoPS	nCredibleSetsTotal	recall	precision	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	precision_adjust	SE_precision	CI_precision_low	CI_precision_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	FALSE	76	0.197368421052632	0.340909090909091	0.2125	0.0457361659411893	0.107727183016953	0.28700965908831	0.354166666666667	0.0690308866391356	0.205611039275518	0.476207142542664
ABC_distanceToTSS	In element (ABC) & distance to TSS	TRUE	76	0.0526315789473684	0.8	0.075	0.0294480474734744	-0.00508553351566707	0.110348691410404	0.666666666666667	0.157134840263677	0.492021372366738	1.10797862763326
ArchR	ArchR (high-confidence)	FALSE	76	0.171052631578947	0.0407523510971787	0.1875	0.0436382501367779	0.0855232329625125	0.256582030195382	0.0464396284829721	0.0117089298553316	0.0178032702832229	0.0637014319111345
ArchR	ArchR (high-confidence)	TRUE	76	0.0394736842105263	0.103448275862069	0.0625	0.0270632938682637	-0.0135693970742942	0.0925167654953468	0.151515151515152	0.0624155940053863	-0.0188840404621623	0.2257805921863
Cicero	Cicero (co-accessibility)	FALSE	76	0.0657894736842105	0.111111111111111	0.0875	0.0315918798902503	0.00387052689540478	0.127708420473016	0.142857142857143	0.0499895865874118	0.0131333217977374	0.209088900424485
Cicero	Cicero (co-accessibility)	TRUE	76	0.0394736842105263	0.3	0.0625	0.0270632938682637	-0.0135693970742942	0.0925167654953468	0.357142857142857	0.128060208142971	0.0490066041870744	0.550993395812926
DIRECTNET	DIRECTNET (high-confidence)	FALSE	76	0.118421052631579	0.0652173913043478	0.1375	0.0385022320781536	0.0429580644339951	0.193884040829163	0.0774647887323944	0.0224336259241772	0.0212482924503165	0.109186490158379
DIRECTNET	DIRECTNET (high-confidence)	TRUE	76	0.0789473684210526	0.285714285714286	0.1	0.0335410196624968	0.013208177877809	0.144686558964296	0.32	0.0932952303175248	0.102858994362568	0.468569577066004
FigR	FigR (p-value)	FALSE	76	0.0526315789473684	0.0952380952380952	0.075	0.0294480474734744	-0.00508553351566707	0.110348691410404	0.130434782608696	0.0496556731061009	-0.00208523567795674	0.192561426154147
FigR	FigR (p-value)	TRUE	76	0.0394736842105263	0.375	0.0625	0.0270632938682637	-0.0135693970742942	0.0925167654953468	0.416666666666667	0.142318760638328	0.096060354824501	0.653939645175499
SCENT	SCENT (FDR)	FALSE	76	0.0657894736842105	0.142857142857143	0.0875	0.0315918798902503	0.00387052689540478	0.127708420473016	0.17948717948718	0.0614507373861824	0.0224159107567964	0.263298374957489
SCENT	SCENT (FDR)	TRUE	76	0.0394736842105263	0.333333333333333	0.0625	0.0270632938682637	-0.0135693970742942	0.0925167654953468	0.384615384615385	0.134932002970312	0.0688714671496699	0.597795199516997
STARE	STARE (gABC, power law)	FALSE	76	0.184210526315789	0.318181818181818	0.2	0.0447213595499958	0.0965582722581313	0.271862780373448	0.333333333333333	0.0680413817439772	0.184823160505282	0.451540475858355
