method	pred_name_long	hex	nVariantsTotal	nVariantsOverlappingEnhancers	nCommonVariantsTotal	nCommonVariantsOverlappingEnhancers	recall	enrichment	SE_log_enr	CI_enr_low	CI_enr_high	p_enr	p_adjust_enr	recall_adjust	SE_recall	CI_recall_low	CI_recall_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	#96a0b3	3614	449	19493220	488008	0.124239070282236	4.96266358257874	0.0441661210313313	4.55114387586379	5.41139337836884	6.75464628698384e-168	6.75464628698384e-168	0.12465450525152	0.00549173356298497	0.113475470286095	0.135002670278376
ArchR	ArchR (high-confidence)	#dcbca1	3614	144	19493220	123152	0.0398450470392916	6.30690746270674	0.0816643160822456	5.37407430616914	7.40166203088857	2.29593946071825e-66	2.29593946071825e-66	0.0403537866224433	0.00327162442884994	0.0334327809878043	0.0462573130907789
Cicero	Cicero (co-accessibility)	#888364	3614	51	19493220	38379	0.0141117874930825	7.16757023882605	0.139062479764553	5.45760072985967	9.41330552955746	1.86905249745458e-27	1.86905249745458e-27	0.0146489773355445	0.00199739913796756	0.0101969571199147	0.0180266178662502
DIRECTNET	DIRECTNET (high-confidence)	#e0dcca	3614	511	19493220	632388	0.141394576646375	4.35845650039952	0.0409923271075782	4.02198071411252	4.72308158992912	1.08912616917072e-168	1.08912616917072e-168	0.141791044776119	0.00579944776343502	0.130027867899821	0.152761285392929
FigR	FigR (p-value)	#bc9678	3614	380	19493220	428799	0.105146651909242	4.77997107719531	0.0485293581006423	4.34627302336009	5.25694621024058	2.32803753568505e-136	2.32803753568505e-136	0.105583195135434	0.00510896696067945	0.095133260668105	0.115160043150379
SCENT	SCENT (FDR)	#a5a083	3614	106	19493220	73398	0.0293303818483675	7.7896344049461	0.0957071493679226	6.45730056732653	9.39686847933767	7.50280832293596e-58	7.50280832293596e-58	0.0298507462686567	0.00282919311277831	0.0237852652420132	0.0348754984547217
STARE	STARE (gABC, power law)	#96ced3	3614	506	19493220	595390	0.140011068068622	4.58399797157598	0.0412276257661442	4.22815985200599	4.96978310634196	7.17716752306369e-176	7.17716752306369e-176	0.1404090657822	0.00577576090647353	0.12869078470862	0.151331351428625
ScenicPlus	SCENIC+ (importance)	#c5c1a5	3614	525	19493220	671278	0.145268400664084	4.21844436015055	0.040350666259766	3.89767636773136	4.56561067178691	1.29565776040049e-167	1.29565776040049e-167	0.145660585959093	0.00586478325284574	0.133773636711373	0.156763164616795
Signac	Signac (p-value)	#916953	3614	524	19493220	666932	0.144991698948533	4.23784596597184	0.0403956956023965	3.91525712727082	4.58701378926359	4.16837400688828e-168	4.16837400688828e-168	0.14538419016031	0.00586016401011672	0.133505988545207	0.15647740935186
SnapATAC	SnapATAC (p-value)	#5e5948	3614	47	19493220	24652	0.0130049806308799	10.2835043214944	0.144953915187376	7.74027050577694	13.6623727880399	3.51763240294104e-32	3.51763240294104e-32	0.0135433941404091	0.00192162424787428	0.00923866631322745	0.0167712949485324
scABC	ABC (A=scATAC, C=power law)	#0096a0	3614	320	19493220	271760	0.0885445489762036	6.3512598358622	0.0533730792714334	5.7204294397813	7.05165616100644	1.94510260772606e-147	1.94510260772606e-147	0.0889994472084024	0.00473389579276179	0.0792662837158248	0.0978228142365825
scE2G_ATAC	scE2G (scATAC)	#006479	3614	427	19493220	418972	0.118151632540122	5.49715915732734	0.0454470124011814	5.02867703414607	6.00928605989098	3.85656773867852e-175	3.85656773867852e-175	0.118573797678275	0.00537468556634709	0.107617442401854	0.128685822678389
scE2G_multiome	scE2G (Multiome)	#792374	3614	322	19493220	226162	0.0890979524073049	7.67947748881388	0.0531916652825539	6.9191834305611	8.5233142166339	1.71613748336702e-171	1.71613748336702e-171	0.0895522388059701	0.0047471336477091	0.0797937414279968	0.098402163386613
