method	metric	min_max	value
scE2G_multiome	enrichment_overlap	min	1.74850705728745
scE2G_multiome	enrichment_overlap	max	21.1957785418548
scE2G_multiome	recall_overlap	min	0.00218818380743982
scE2G_multiome	recall_overlap	max	0.409574468085106
scE2G_multiome	precision_linking_intersectPoPS	min	0
scE2G_multiome	precision_linking_intersectPoPS	max	1
scE2G_multiome	precision_linking	min	0
scE2G_multiome	precision_linking	max	0.5
scE2G_multiome	recall_linking_intersectPoPS	min	0
scE2G_multiome	recall_linking_intersectPoPS	max	0.333333333333333
scE2G_multiome	recall_linking	min	0
scE2G_multiome	recall_linking	max	0.5
scE2G_ATAC	enrichment_overlap	min	1.6249091265951
scE2G_ATAC	enrichment_overlap	max	15.2736211243329
scE2G_ATAC	recall_overlap	min	0.00218818380743982
scE2G_ATAC	recall_overlap	max	0.49468085106383
scE2G_ATAC	precision_linking_intersectPoPS	min	0
scE2G_ATAC	precision_linking_intersectPoPS	max	1
scE2G_ATAC	precision_linking	min	0
scE2G_ATAC	precision_linking	max	0.5
scE2G_ATAC	recall_linking_intersectPoPS	min	0
scE2G_ATAC	recall_linking_intersectPoPS	max	0.444444444444444
scE2G_ATAC	recall_linking	min	0
scE2G_ATAC	recall_linking	max	0.444444444444444
scABC	enrichment_overlap	min	1.72408024291421
scABC	enrichment_overlap	max	15.8486080556547
scABC	recall_overlap	min	0.00218818380743982
scABC	recall_overlap	max	0.335766423357664
scABC	precision_linking_intersectPoPS	min	0
scABC	precision_linking_intersectPoPS	max	1
scABC	precision_linking	min	0
scABC	precision_linking	max	0.5
scABC	recall_linking_intersectPoPS	min	0
scABC	recall_linking_intersectPoPS	max	0.444444444444444
scABC	recall_linking	min	0
scABC	recall_linking	max	0.444444444444444
Kendall	enrichment_overlap	min	1.44464605045529
Kendall	enrichment_overlap	max	12.2778598685972
Kendall	recall_overlap	min	0.0126582278481013
Kendall	recall_overlap	max	0.620253164556962
Kendall	precision_linking_intersectPoPS	min	0
Kendall	precision_linking_intersectPoPS	max	1
Kendall	precision_linking	min	0
Kendall	precision_linking	max	0.5
Kendall	recall_linking_intersectPoPS	min	0
Kendall	recall_linking_intersectPoPS	max	0.222222222222222
Kendall	recall_linking	min	0
Kendall	recall_linking	max	0.222222222222222
ABC_distanceToTSS	enrichment_overlap	min	1.48655962817003
ABC_distanceToTSS	enrichment_overlap	max	11.19367194005
ABC_distanceToTSS	recall_overlap	min	0.00218818380743982
ABC_distanceToTSS	recall_overlap	max	0.50531914893617
ABC_distanceToTSS	precision_linking_intersectPoPS	min	0
ABC_distanceToTSS	precision_linking_intersectPoPS	max	1
ABC_distanceToTSS	precision_linking	min	0
ABC_distanceToTSS	precision_linking	max	0.5
ABC_distanceToTSS	recall_linking_intersectPoPS	min	0
ABC_distanceToTSS	recall_linking_intersectPoPS	max	0.444444444444444
ABC_distanceToTSS	recall_linking	min	0
ABC_distanceToTSS	recall_linking	max	0.444444444444444
SnapATAC	enrichment_overlap	min	2.07776016630556
SnapATAC	enrichment_overlap	max	31.9346789413377
