method	pred_name_long	intersectPoPS	nCredibleSetsTotal	recall	precision	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	precision_adjust	SE_precision	CI_precision_low	CI_precision_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	FALSE	645	0.258914728682171	0.392018779342723	0.26040061633282	0.0172264951335433	0.225151418640571	0.29267803872377	0.393023255813954	0.0235537967217134	0.345854186068987	0.438183372616459
ABC_distanceToTSS	In element (ABC) & distance to TSS	TRUE	645	0.12093023255814	0.702702702702703	0.12326656394453	0.012904289020618	0.0956382908316327	0.146222174284646	0.695652173913044	0.042907405547406	0.618605733159733	0.786799672245673
ArchR	ArchR (high-confidence)	FALSE	554	0.00902527075812274	0.0543478260869565	0.0125448028673835	0.00471165541539368	-0.00020940416361198	0.0182599456798575	0.0729166666666667	0.026536104804918	0.00233801637933695	0.106357635794576
ArchR	ArchR (high-confidence)	TRUE	554	0.00541516245487365	0.375	0.00896057347670251	0.00398929607243339	-0.00240371417076289	0.0132340390805102	0.416666666666667	0.142318760638328	0.096060354824501	0.653939645175499
Cicero	Cicero (co-accessibility)	FALSE	126	0.00793650793650794	0.5	0.0230769230769231	0.0131688381294119	-0.0178739405153772	0.0337469563883931	0.5	0.204124145231932	0.0999240269703909	0.900075973029609
Cicero	Cicero (co-accessibility)	TRUE	126	0.00793650793650794	1	0.0230769230769231	0.0131688381294119	-0.0178739405153772	0.0337469563883931	0.6	0.219089023002066	0.570593405507882	1.42940659449212
DIRECTNET	DIRECTNET (high-confidence)	FALSE	554	0.00541516245487365	0.103448275862069	0.00896057347670251	0.00398929607243339	-0.00240371417076289	0.0132340390805102	0.151515151515152	0.0624155940053863	-0.0188840404621623	0.2257805921863
DIRECTNET	DIRECTNET (high-confidence)	TRUE	554	0.00541516245487365	1	0.00896057347670251	0.00398929607243339	-0.00240371417076289	0.0132340390805102	0.714285714285714	0.170746944190628	0.665342138916099	1.3346578610839
FigR	FigR (p-value)	FALSE	554	0.00541516245487365	0.25	0.00896057347670251	0.00398929607243339	-0.00240371417076289	0.0132340390805102	0.3125	0.11587810136087	0.0228830947358135	0.477116905264187
FigR	FigR (p-value)	TRUE	554	0.0036101083032491	0.666666666666667	0.00716845878136201	0.00357135958470512	-0.00338962785861485	0.010609844465113	0.571428571428571	0.187043905916565	0.300067347542501	1.03326598579083
Kendall	Kendall correlation (access. at E x expr. at G)	FALSE	645	0.0310077519379845	0.0458715596330275	0.0338983050847458	0.00710359291859033	0.0170849656567137	0.0449305382192553	0.05	0.0103901176824204	0.0255073031803507	0.0662358160857043
Kendall	Kendall correlation (access. at E x expr. at G)	TRUE	645	0.0201550387596899	0.619047619047619	0.0231124807395994	0.00589825050106246	0.00859468020581217	0.0317153973135677	0.6	0.0979795897113271	0.427011151993407	0.811084086101831
ScenicPlus	SCENIC+ (importance)	FALSE	527	0.00379506641366224	0.142857142857143	0.00753295668549906	0.0037522651662333	-0.00355923817259922	0.0111493709999237	0.222222222222222	0.0979907892986885	-0.0492012749849396	0.334915560699225
ScenicPlus	SCENIC+ (importance)	TRUE	527	0.00189753320683112	1	0.00564971751412429	0.00325263856563746	-0.00447752123654432	0.00827258765020656	0.6	0.219089023002066	0.570593405507882	1.42940659449212
Signac	Signac (p-value)	FALSE	554	0.0036101083032491	0.125	0.00716845878136201	0.00357135958470512	-0.00338962785861485	0.010609844465113	0.2	0.0894427190999916	-0.0503045081153163	0.300304508115316
Signac	Signac (p-value)	TRUE	554	0.00180505415162455	0.5	0.00537634408602151	0.00309567828315188	-0.00426236379107592	0.00787247209432501	0.5	0.204124145231932	0.0999240269703909	0.900075973029609
SnapATAC	SnapATAC (p-value)	FALSE	554	0.0072202166064982	0.285714285714286	0.010752688172043	0.00436610188195149	-0.00133718583495927	0.0157776190479557	0.333333333333333	0.111111111111111	0.0679405096542797	0.503488061774292
SnapATAC	SnapATAC (p-value)	TRUE	554	0.00541516245487365	1	0.00896057347670251	0.00398929607243339	-0.00240371417076289	0.0132340390805102	0.714285714285714	0.170746944190628	0.665342138916099	1.3346578610839
scABC	ABC (A=scATAC, C=power law)	FALSE	645	0.224806201550388	0.34037558685446	0.226502311248074	0.0164302238621162	0.192603554522709	0.257008848578066	0.341860465116279	0.0228743731649665	0.295542639282196	0.385208534426724
scABC	ABC (A=scATAC, C=power law)	TRUE	645	0.106976744186047	0.71875	0.10939907550077	0.0122525377252762	0.0829622115252868	0.130991276846806	0.71	0.0453762052181537	0.62981427201732	0.80768572798268
scE2G_ATAC	scE2G (scATAC)	FALSE	645	0.262015503875969	0.396713615023474	0.263482280431433	0.0172919893069361	0.228123827613322	0.295907180138616	0.397674418604651	0.0236018069564503	0.350454923418765	0.442972306628184
scE2G_ATAC	scE2G (scATAC)	TRUE	645	0.127131782945736	0.780952380952381	0.129429892141757	0.013176401558495	0.101306510445249	0.152957055446224	0.770642201834862	0.0402689124279293	0.702026762897042	0.85987799900772
scE2G_multiome	scE2G (Multiome)	FALSE	645	0.258914728682171	0.392018779342723	0.26040061633282	0.0172264951335433	0.225151418640571	0.29267803872377	0.393023255813954	0.0235537967217134	0.345854186068987	0.438183372616459
scE2G_multiome	scE2G (Multiome)	TRUE	645	0.128682170542636	0.734513274336283	0.130970724191063	0.0132428655441773	0.102726631023942	0.15463771006133	0.726495726495727	0.0412102889276113	0.653742592245675	0.815283956426891
PoPS	Polygenic priority score (PoPS)		159	0.484276729559749	0.242138364779874	0.484662576687117	0.0391445930141845	0.407554737062469	0.560998722057028	0.245341614906832	0.0239790997829968	0.195140192823508	0.28913653673624
distanceToTSS	Distance to TSS		159	0.610062893081761	0.305031446540881	0.607361963190184	0.038249536575239	0.535095178968945	0.685030607194577	0.307453416149068	0.0257149817998552	0.254631008350061	0.3554318847317
