method	pred_name_long	hex	nVariantsTotal	nVariantsOverlappingEnhancers	nCommonVariantsTotal	nCommonVariantsOverlappingEnhancers	recall	enrichment	SE_log_enr	CI_enr_low	CI_enr_high	p_enr	p_adjust_enr	recall_adjust	SE_recall	CI_recall_low	CI_recall_high
ABC_distanceToTSS	In element (ABC) & distance to TSS	#96a0b3	12035	2106	87719490	3628729	0.174989613626921	4.23013117338071	0.0197927582998403	4.06917350744984	4.39745557943079	0	0	0.175097599468394	0.00346374707890604	0.16820079410071	0.181778433153133
ArchR	ArchR (high-confidence)	#dcbca1	11170	93	77972880	62588	0.00832587287376902	10.3724721429291	0.103278555471648	8.4717164482302	12.6996906722859	3.48713519950908e-61	3.48713519950908e-61	0.00850187936280651	0.000868558516998161	0.00662352946198711	0.0100282162855509
Cicero	Cicero (co-accessibility)	#888364	1858	3	19493220	3353	0.00161463939720129	9.38697315547634	0.57718216372575	3.02849755519942	29.0953726775689	0.000336675701648909	0.000336675701648909	0.00268528464017186	0.00119928234147428	-0.00073591079938316	0.00396518959378574
DIRECTNET	DIRECTNET (high-confidence)	#e0dcca	12035	192	87719490	378714	0.0159534690486082	3.69521636030012	0.0715934270481813	3.2114372199988	4.25187323121165	3.21784884463181e-51	3.21784884463181e-51	0.0161142952072431	0.00114757948486252	0.0137042545888807	0.0182026835083358
FigR	FigR (p-value)	#bc9678	12035	146	87719490	222279	0.0121312837557125	4.78745191446959	0.0822615484475735	4.07458392918139	5.62503957010483	3.72589006493391e-52	3.72589006493391e-52	0.0122933798488247	0.00100427910200315	0.0101629328853601	0.0140996346260649
Kendall	Kendall correlation (access. at E x expr. at G)	#d3a9ce	12035	2820	87719490	5530980	0.234316576651433	3.71618241295569	0.0164780013096783	3.59808089704043	3.83816043094541	0	0	0.234404850901238	0.00386089220817894	0.226749366975211	0.241883786327655
ScenicPlus	SCENIC+ (importance)	#c5c1a5	12035	154	87719490	191370	0.0127960116327378	5.86538963504118	0.0800702845464168	5.01349882639606	6.8620332350968	4.97113540852075e-66	4.97113540852075e-66	0.01295788686768	0.00103071768107709	0.0107758420995981	0.0148161811658776
Signac	Signac (p-value)	#916953	12035	228	87719490	378070	0.0189447444952223	4.39554401381015	0.0655989286885093	3.86522450096853	4.99862483343489	1.66633916887429e-73	1.66633916887429e-73	0.0191045767920924	0.00124762726670865	0.0164994399863432	0.0213900490041014
SnapATAC	SnapATAC (p-value)	#5e5948	11170	152	77972880	123117	0.0136078782452999	8.61818804450548	0.0805650574220306	7.35933994965978	10.0923677501663	2.95346505628102e-87	2.95346505628102e-87	0.0137819939144442	0.00110290513090545	0.0114462239103608	0.015769532580239
scABC	ABC (A=scATAC, C=power law)	#0096a0	12035	1379	87719490	1771841	0.114582467802243	5.67269616097281	0.0253396961644895	5.39784406299672	5.96154341606722	0	0	0.114710524129911	0.00290435082947215	0.108890044778009	0.120274890826478
scE2G_ATAC	scE2G (scATAC)	#006479	12035	2163	87719490	3145084	0.179725799750727	5.01272954680254	0.019474131708339	4.82500605483828	5.20775667922542	0	0	0.179832211977739	0.00350017606041978	0.172865580732755	0.186586018768699
scE2G_multiome	scE2G (Multiome)	#792374	12035	1646	87719490	1911445	0.136767760697964	6.27650715394242	0.0229012198257531	6.00101171399724	6.56465008418554	0	0	0.13688844588421	0.00313272053874682	0.130627741268392	0.142907780127537
