Biosample	GTExTissue	nVariantsOverlappingEnhancers	nVariantsGTExTissue	nCommonVariantsOverlappingEnhancers	nCommonVariants	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	method	distance_min	distance_max	tissue.biosample	pred_name_long	hex	count	cat	pairs
BMMC5_B	B	0	161	17840	9746610	0	0	NA	Inf	1	Cicero	0	10	B.BMMC5_B	Cicero (co-accessibility)	#888364	162-1444 variants	0-10 Kb	3-11 biosample pairs
PBMC5_B	B	0	161	86107	9746610	0	0	NA	Inf	1	SCENT	0	10	B.PBMC5_B	SCENT (FDR)	#a5a083	162-1444 variants	0-10 Kb	3-11 biosample pairs
PBMC5_NK	NK	0	224	63531	9746610	0	0	NA	Inf	1	SCENT	0	10	NK.PBMC5_NK	SCENT (FDR)	#a5a083	162-1444 variants	0-10 Kb	3-11 biosample pairs
PBMC5_DC	dendritic	0	21	35996	9746610	0	0	NA	Inf	1	SnapATAC	10	100	dendritic.PBMC5_DC	SnapATAC (p-value)	#5e5948	21-2634 variants	10-100 Kb	3-13 biosample pairs
PBMC5_DC	dendritic	0	21	35996	9746610	0	0	NA	Inf	1	Signac	10	100	dendritic.PBMC5_DC	Signac (p-value)	#916953	21-2634 variants	10-100 Kb	3-13 biosample pairs
PBMC5_B	B	0	270	12470	9746610	0	0	NA	Inf	1	Cicero	10	100	B.PBMC5_B	Cicero (co-accessibility)	#888364	21-2634 variants	10-100 Kb	3-13 biosample pairs
PBMC5_DC	dendritic	0	21	13862	9746610	0	0	NA	Inf	1	Cicero	10	100	dendritic.PBMC5_DC	Cicero (co-accessibility)	#888364	21-2634 variants	10-100 Kb	3-13 biosample pairs
PBMC5_DC	dendritic	0	21	35996	9746610	0	0	NA	Inf	1	FigR	10	100	dendritic.PBMC5_DC	FigR (p-value)	#bc9678	21-2634 variants	10-100 Kb	3-13 biosample pairs
PBMC5_B	B	0	270	86107	9746610	0	0	NA	Inf	1	SCENT	10	100	B.PBMC5_B	SCENT (FDR)	#a5a083	21-2634 variants	10-100 Kb	3-13 biosample pairs
PBMC5_NK	NK	0	363	63531	9746610	0	0	NA	Inf	1	SCENT	10	100	NK.PBMC5_NK	SCENT (FDR)	#a5a083	21-2634 variants	10-100 Kb	3-13 biosample pairs
PBMC5_DC	dendritic	0	21	34055	9746610	0	0	NA	Inf	1	ScenicPlus	10	100	dendritic.PBMC5_DC	SCENIC+ (importance)	#c5c1a5	21-2634 variants	10-100 Kb	3-13 biosample pairs
PBMC5_DC	dendritic	0	21	35483	9746610	0	0	NA	Inf	1	DIRECTNET	10	100	dendritic.PBMC5_DC	DIRECTNET (high-confidence)	#e0dcca	21-2634 variants	10-100 Kb	3-13 biosample pairs
PBMC5_DC	dendritic	0	21	35980	9746610	0	0	NA	Inf	1	ArchR	10	100	dendritic.PBMC5_DC	ArchR (high-confidence)	#dcbca1	21-2634 variants	10-100 Kb	3-13 biosample pairs
K562	blood	0	241	428447	9746610	0	0	NA	Inf	1	SnapATAC	100	250	blood.K562	SnapATAC (p-value)	#5e5948	47-650 variants	100-250 Kb	3-11 biosample pairs
K562	spleen	0	46	428447	9746610	0	0	NA	Inf	1	SnapATAC	100	250	spleen.K562	SnapATAC (p-value)	#5e5948	47-650 variants	100-250 Kb	3-11 biosample pairs
K562	blood	0	241	264810	9746610	0	0	NA	Inf	1	Cicero	100	250	blood.K562	Cicero (co-accessibility)	#888364	47-650 variants	100-250 Kb	3-11 biosample pairs
K562	spleen	0	46	264810	9746610	0	0	NA	Inf	1	Cicero	100	250	spleen.K562	Cicero (co-accessibility)	#888364	47-650 variants	100-250 Kb	3-11 biosample pairs
BMMC5_B	B	0	51	17840	9746610	0	0	NA	Inf	1	Cicero	100	250	B.BMMC5_B	Cicero (co-accessibility)	#888364	47-650 variants	100-250 Kb	3-11 biosample pairs
PBMC5_B	B	0	51	12470	9746610	0	0	NA	Inf	1	Cicero	100	250	B.PBMC5_B	Cicero (co-accessibility)	#888364	47-650 variants	100-250 Kb	3-11 biosample pairs
PBMC5_B	B	0	51	86107	9746610	0	0	NA	Inf	1	SCENT	100	250	B.PBMC5_B	SCENT (FDR)	#a5a083	47-650 variants	100-250 Kb	3-11 biosample pairs
