GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	Biosample	distance_min	distance_max	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	tissue.biosample	pred_name_long	hex	count	cat	pairs
blood	227	195	K562	0	10	1001	0.226773226773227	0.194805194805195	0.859030837004405	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	162-1444 variants	0-10 Kb	3-11 biosample pairs
spleen	48	37	K562	0	10	268	0.17910447761194	0.138059701492537	0.770833333333333	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	162-1444 variants	0-10 Kb	3-11 biosample pairs
LCL	224	204	GM12878	0	10	866	0.258660508083141	0.235565819861432	0.910714285714286	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	162-1444 variants	0-10 Kb	3-11 biosample pairs
B	47	45	BMMC5_B	0	10	162	0.290123456790123	0.277777777777778	0.957446808510638	scE2G_multiome	B.BMMC5_B	scE2G (Multiome)	#792374	162-1444 variants	0-10 Kb	3-11 biosample pairs
T	321	301	BMMC5_T	0	10	1410	0.227659574468085	0.213475177304965	0.937694704049844	scE2G_multiome	T.BMMC5_T	scE2G (Multiome)	#792374	162-1444 variants	0-10 Kb	3-11 biosample pairs
myeloid	496	457	BMMC5_Myeloid	0	10	1444	0.343490304709141	0.316481994459834	0.921370967741936	scE2G_multiome	myeloid.BMMC5_Myeloid	scE2G (Multiome)	#792374	162-1444 variants	0-10 Kb	3-11 biosample pairs
blood	223	204	BMMC5_Erythroid	0	10	1001	0.222777222777223	0.203796203796204	0.914798206278027	scE2G_multiome	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	162-1444 variants	0-10 Kb	3-11 biosample pairs
B	44	42	PBMC5_B	0	10	162	0.271604938271605	0.259259259259259	0.954545454545455	scE2G_multiome	B.PBMC5_B	scE2G (Multiome)	#792374	162-1444 variants	0-10 Kb	3-11 biosample pairs
myeloid	460	426	PBMC5_Mono	0	10	1444	0.318559556786704	0.295013850415512	0.926086956521739	scE2G_multiome	myeloid.PBMC5_Mono	scE2G (Multiome)	#792374	162-1444 variants	0-10 Kb	3-11 biosample pairs
NK	72	66	PBMC5_NK	0	10	226	0.31858407079646	0.292035398230089	0.916666666666667	scE2G_multiome	NK.PBMC5_NK	scE2G (Multiome)	#792374	162-1444 variants	0-10 Kb	3-11 biosample pairs
T	299	287	PBMC5_T	0	10	1410	0.212056737588653	0.20354609929078	0.959866220735786	scE2G_multiome	T.PBMC5_T	scE2G (Multiome)	#792374	162-1444 variants	0-10 Kb	3-11 biosample pairs
blood	108	70	K562	10	100	1474	0.073270013568521	0.0474898236092266	0.648148148148148	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
spleen	20	13	K562	10	100	269	0.0743494423791822	0.0483271375464684	0.65	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
LCL	140	94	GM12878	10	100	1165	0.120171673819742	0.08068669527897	0.671428571428571	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
B	37	29	BMMC5_B	10	100	276	0.134057971014493	0.105072463768116	0.783783783783784	scE2G_multiome	B.BMMC5_B	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
T	337	241	BMMC5_T	10	100	2634	0.127942293090357	0.0914958238420653	0.71513353115727	scE2G_multiome	T.BMMC5_T	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
myeloid	454	311	BMMC5_Myeloid	10	100	2223	0.204228520017994	0.139901034637877	0.685022026431718	scE2G_multiome	myeloid.BMMC5_Myeloid	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
dendritic	8	6	BMMC5_Dendritic	10	100	21	0.380952380952381	0.285714285714286	0.75	scE2G_multiome	dendritic.BMMC5_Dendritic	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
