tissue	var_count	distance_bin	distance_min	distance_max	distance_label	hex
brain	1216	n_bin1	0	10	0-10 Kb	#003648
brain	1874	n_bin2	10	100	10-100 Kb	#006479
brain	382	n_bin3	100	250	100-250 Kb	#0096a0
brain	283	n_bin4	250	1000	250-1000 Kb	#49bcbc
brain	2	n_bin5	1000	30000	> 1000Kb	#96ced3
vagina	43	n_bin1	0	10	0-10 Kb	#003648
vagina	66	n_bin2	10	100	10-100 Kb	#006479
vagina	13	n_bin3	100	250	100-250 Kb	#0096a0
vagina	16	n_bin4	250	1000	250-1000 Kb	#49bcbc
vagina	0	n_bin5	1000	30000	> 1000Kb	#96ced3
artery_aorta	297	n_bin1	0	10	0-10 Kb	#003648
artery_aorta	347	n_bin2	10	100	10-100 Kb	#006479
artery_aorta	67	n_bin3	100	250	100-250 Kb	#0096a0
artery_aorta	43	n_bin4	250	1000	250-1000 Kb	#49bcbc
artery_aorta	0	n_bin5	1000	30000	> 1000Kb	#96ced3
esophagus_muscularis	408	n_bin1	0	10	0-10 Kb	#003648
esophagus_muscularis	479	n_bin2	10	100	10-100 Kb	#006479
esophagus_muscularis	87	n_bin3	100	250	100-250 Kb	#0096a0
esophagus_muscularis	43	n_bin4	250	1000	250-1000 Kb	#49bcbc
esophagus_muscularis	1	n_bin5	1000	30000	> 1000Kb	#96ced3
thyroid	549	n_bin1	0	10	0-10 Kb	#003648
thyroid	770	n_bin2	10	100	10-100 Kb	#006479
thyroid	157	n_bin3	100	250	100-250 Kb	#0096a0
thyroid	78	n_bin4	250	1000	250-1000 Kb	#49bcbc
thyroid	2	n_bin5	1000	30000	> 1000Kb	#96ced3
brain_cortex	389	n_bin1	0	10	0-10 Kb	#003648
brain_cortex	503	n_bin2	10	100	10-100 Kb	#006479
brain_cortex	84	n_bin3	100	250	100-250 Kb	#0096a0
brain_cortex	68	n_bin4	250	1000	250-1000 Kb	#49bcbc
brain_cortex	0	n_bin5	1000	30000	> 1000Kb	#96ced3
adipsoe_visceral	289	n_bin1	0	10	0-10 Kb	#003648
adipsoe_visceral	343	n_bin2	10	100	10-100 Kb	#006479
adipsoe_visceral	60	n_bin3	100	250	100-250 Kb	#0096a0
adipsoe_visceral	45	n_bin4	250	1000	250-1000 Kb	#49bcbc
adipsoe_visceral	0	n_bin5	1000	30000	> 1000Kb	#96ced3
esophagus_mucosa	401	n_bin1	0	10	0-10 Kb	#003648
esophagus_mucosa	495	n_bin2	10	100	10-100 Kb	#006479
esophagus_mucosa	70	n_bin3	100	250	100-250 Kb	#0096a0
esophagus_mucosa	56	n_bin4	250	1000	250-1000 Kb	#49bcbc
esophagus_mucosa	0	n_bin5	1000	30000	> 1000Kb	#96ced3
minor_salivary_gland	82	n_bin1	0	10	0-10 Kb	#003648
minor_salivary_gland	87	n_bin2	10	100	10-100 Kb	#006479
