Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
PBMC5_Mono	0.993561811975039	myeloid	51	43	4346	0.0117349286700414	0.00989415554532904	0.843137254901961	scE2G_multiome	24.519736836471	18.4449122136897	32.5953025725744	0.145252570438474	2.90816343962587e-44	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC5_Mono)	0.01	scE2G (Multiome) (PBMC5_Mono) (0.01)
PBMC5_Mono	0.995323318657609	myeloid	59	42	4346	0.0135757017947538	0.00966405890473999	0.711864406779661	scE2G_ATAC	23.4242139205418	17.8734573576484	30.6988058782321	0.13798900858457	3.74495369747764e-48	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC5_Mono)	0.01	scE2G (scATAC) (PBMC5_Mono) (0.01)
BMMC5_Myeloid	0.856545167755102	myeloid	55	44	4346	0.0126553152323976	0.0101242521859181	0.8	STARE	22.9301059920331	17.4965744509435	30.0510115440066	0.137984986102526	1.10067963780133e-47	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (BMMC5_Myeloid)	0.01	STARE (gABC, power law) (BMMC5_Myeloid) (0.01)
PBMC5_Mono	0.836457436333174	myeloid	58	45	4346	0.0133456051541648	0.0103543488265071	0.775862068965517	STARE	22.769594013598	17.5064367697107	29.6150734934875	0.134113393610578	2.22744922620521e-50	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (PBMC5_Mono)	0.01	STARE (gABC, power law) (PBMC5_Mono) (0.01)
PBMC5_Mono	-1.5544866341766e-41	myeloid	159	41	4346	0.0365853658536585	0.00943396226415094	0.257861635220126	SnapATAC	20.4885950627384	17.3206226012289	24.2359952820105	0.0857008316536797	7.23961057481888e-118	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (PBMC5_Mono)	0.009	SnapATAC (p-value) (PBMC5_Mono) (0.009)
PBMC5_Mono	0.0363422556903308	myeloid	136	42	4346	0.0312931431201104	0.00966405890473999	0.308823529411765	ScenicPlus	18.2352833919423	15.2625148597007	21.7870752914023	0.0907968481042487	2.00601747976966e-99	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (PBMC5_Mono)	0.01	SCENIC+ (importance) (PBMC5_Mono) (0.01)
PBMC5_Mono	-0.000149735320524686	myeloid	100	41	4346	0.0230096640589047	0.00943396226415094	0.41	Signac	18.1046967066243	14.6855318662779	22.3199299707713	0.106792068876848	1.28516421024858e-71	Signac (p-value)	#916953	Signac (p-value) (PBMC5_Mono)	0.009	Signac (p-value) (PBMC5_Mono) (0.009)
BMMC5_Myeloid	-0.000485485447701754	myeloid	141	44	4346	0.0324436263230557	0.0101242521859181	0.312056737588653	Signac	16.6453566917329	13.9426957193268	19.8719031794517	0.0903973413632348	8.32908245745971e-96	Signac (p-value)	#916953	Signac (p-value) (BMMC5_Myeloid)	0.01	Signac (p-value) (BMMC5_Myeloid) (0.01)
BMMC5_Myeloid	0.995323318657609	myeloid	57	43	4346	0.0131155085135757	0.00989415554532904	0.754385964912281	scE2G_ATAC	16.5036380222117	12.5942174930186	21.6265971362789	0.137932668884927	1.61787138360857e-40	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC5_Myeloid)	0.01	scE2G (scATAC) (BMMC5_Myeloid) (0.01)
BMMC5_Myeloid	0.0363422556903308	myeloid	108	46	4346	0.0248504371836171	0.0105844454670962	0.425925925925926	ScenicPlus	13.1537004841188	10.8042521505471	16.0140502105132	0.100391309196554	2.41144277711126e-68	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (BMMC5_Myeloid)	0.011	SCENIC+ (importance) (BMMC5_Myeloid) (0.011)
PBMC5_Mono	0.0660883349903639	myeloid	90	43	4346	0.0207086976530143	0.00989415554532904	0.477777777777778	Cicero	9.0252328411335	7.26403204406187	11.2134455551117	0.110761857120182	6.23507133935649e-44	Cicero (co-accessibility)	#888364	Cicero (co-accessibility) (PBMC5_Mono)	0.01	Cicero (co-accessibility) (PBMC5_Mono) (0.01)
BMMC5_Myeloid	-0.0141059879162533	myeloid	102	45	4346	0.0234698573400828	0.0103543488265071	0.441176470588235	FigR	8.99368709624165	7.33096764945668	11.0335240111308	0.104295476696532	1.3785953757505e-49	FigR (p-value)	#bc9678	FigR (p-value) (BMMC5_Myeloid)	0.01	FigR (p-value) (BMMC5_Myeloid) (0.01)
BMMC5_Myeloid	0.032598782941022	myeloid	99	43	4346	0.0227795674183157	0.00989415554532904	0.434343434343434	Cicero	7.22042805135747	5.86464861374703	8.88963426088713	0.106109944760917	1.7616400805649e-40	Cicero (co-accessibility)	#888364	Cicero (co-accessibility) (BMMC5_Myeloid)	0.01	Cicero (co-accessibility) (BMMC5_Myeloid) (0.01)
