Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
GM12878	0.985738484938101	LCL	82	71	2404	0.0341098169717138	0.0295341098169717	0.865853658536585	scE2G_multiome	38.4760931011069	31.0584307097928	47.6653104001894	0.109270782385305	2.02953918413199e-93	scE2G (Multiome)	#792374	scE2G (Multiome) (GM12878)	0.03	scE2G (Multiome) (GM12878) (0.03)
GM12878	0.999975579065053	LCL	85	76	2404	0.0353577371048253	0.0316139767054908	0.894117647058824	DNase_ENCODE_rE2G	36.8674228277973	29.8006241526118	45.6100133676048	0.10857289959281	7.13332210872084e-94	ENCODE-rE2G (A=DNase, C=average Hi-C)	#DC6464	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	0.032	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878) (0.032)
GM12878	-237.5	LCL	81	74	2404	0.03369384359401	0.0307820299500832	0.91358024691358	ABC_distanceToTSS	30.8636421875282	24.8095305487624	38.3951001091105	0.11140561201692	1.47758437474449e-82	In element (ABC) & distance to TSS	#96a0b3	In element (ABC) & distance to TSS (GM12878)	0.031	In element (ABC) & distance to TSS (GM12878) (0.031)
GM12878	0.987209470327943	LCL	84	72	2404	0.0349417637271215	0.0299500831946755	0.857142857142857	scE2G_ATAC	30.0754461971414	24.3439307121442	37.1563850822954	0.107872661525381	4.53655181208386e-87	scE2G (scATAC)	#006479	scE2G (scATAC) (GM12878)	0.03	scE2G (scATAC) (GM12878) (0.03)
GM12878	0.632443481749641	LCL	83	73	2404	0.0345257903494176	0.0303660565723794	0.879518072289157	STARE	29.8957516491836	24.1334559636935	37.0338988338112	0.109245524203376	1.02569610973139e-84	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (GM12878)	0.03	STARE (gABC, power law) (GM12878) (0.03)
GM12878	-0.124815829394306	LCL	291	71	2404	0.121048252911814	0.0295341098169717	0.243986254295533	SCENT	16.7074997646832	14.9277140922489	18.6994838367002	0.0574695329781468	4.67293929431355e-223	SCENT (FDR)	#a5a083	SCENT (FDR) (GM12878)	0.03	SCENT (FDR) (GM12878) (0.03)
GM12878	0.0773421102931598	LCL	275	75	2404	0.114392678868552	0.031198003327787	0.272727272727273	Cicero	11.8868782235405	10.5921434174491	13.3398754465986	0.0588391333097166	6.36176384466419e-178	Cicero (co-accessibility)	#888364	Cicero (co-accessibility) (GM12878)	0.031	Cicero (co-accessibility) (GM12878) (0.031)
GM12878	-0.00270321959975483	LCL	187	75	2404	0.0777870216306156	0.031198003327787	0.401069518716578	SnapATAC	11.7763456814925	10.193989229435	13.6043225560376	0.0736210777759799	6.35885112063421e-116	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (GM12878)	0.031	SnapATAC (p-value) (GM12878) (0.031)
GM12878	1	LCL	199	70	2404	0.0827787021630616	0.0291181364392679	0.351758793969849	ArchR	11.5546189362622	10.0705680442083	13.257367228556	0.0701381001479167	1.89355597599051e-127	ArchR (high-confidence)	#dcbca1	ArchR (high-confidence) (GM12878)	0.029	ArchR (high-confidence) (GM12878) (0.029)
GM12878	0.0204010401552347	LCL	370	77	2404	0.153910149750416	0.0320299500831947	0.208108108108108	ScenicPlus	10.5278317573625	9.54611131235443	11.6105121640357	0.0499440375384683	3.60506241059659e-223	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (GM12878)	0.032	SCENIC+ (importance) (GM12878) (0.032)
GM12878	-0.0265590969557269	LCL	274	68	2404	0.113976705490849	0.0282861896838602	0.248175182481752	FigR	9.82895378917691	8.74946967895403	11.0416215078906	0.0593579313703201	7.93408165771778e-156	FigR (p-value)	#bc9678	FigR (p-value) (GM12878)	0.028	FigR (p-value) (GM12878) (0.028)
GM12878	-0.0127936758172008	LCL	455	76	2404	0.189267886855241	0.0316139767054908	0.167032967032967	Signac	8.59692583301217	7.8859428827695	9.37200977448067	0.0440430978291579	8.5554266957625e-245	Signac (p-value)	#916953	Signac (p-value) (GM12878)	0.032	Signac (p-value) (GM12878) (0.032)
