Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
BMMC5_Dendritic	-2.95525896769947e-08	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	Signac	170.112749803648	24.6186126518109	1175.46622366755	0.986221531558562	1	Signac (p-value)	#916953	Signac (p-value) (BMMC5_Dendritic)	0.029	Signac (p-value) (BMMC5_Dendritic) (0.029)
BMMC5_Dendritic	-1.5544866341766e-41	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	SnapATAC	112.925616962113	16.3491050315453	779.993457847926	0.986016173013442	1	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (BMMC5_Dendritic)	0.029	SnapATAC (p-value) (BMMC5_Dendritic) (0.029)
BMMC5_Dendritic	0.0381247448930956	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	ScenicPlus	76.3781051641721	11.0606870614709	527.418858887192	0.98588493118547	1	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (BMMC5_Dendritic)	0.029	SCENIC+ (importance) (BMMC5_Dendritic) (0.029)
BMMC5_Dendritic	0.973107693253847	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	scE2G_multiome	33.7667723327963	8.79017385619167	129.712441690987	0.68666708783301	1	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC5_Dendritic)	0.029	scE2G (Multiome) (BMMC5_Dendritic) (0.029)
PBMC5_DC	-2261.85714285714	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	ABC_distanceToTSS	20.4415012426464	5.32158579388549	78.5207622760172	0.686643162361069	1	In element (ABC) & distance to TSS	#96a0b3	In element (ABC) & distance to TSS (PBMC5_DC)	0.029	In element (ABC) & distance to TSS (PBMC5_DC) (0.029)
PBMC5_DC	-0.557154274346814	dendritic	6	1	35	0.171428571428571	0.0285714285714286	0.166666666666667	SCENT	19.8534610507662	9.5831827203218	41.13037674409	0.371623456149292	0.00128428026519218	SCENT (FDR)	#a5a083	SCENT (FDR) (PBMC5_DC)	0.029	SCENT (FDR) (PBMC5_DC) (0.029)
BMMC5_Dendritic	0.0989255166666667	dendritic	3	1	35	0.0857142857142857	0.0285714285714286	0.333333333333333	scABC	18.8489624630142	6.38793424050208	55.6178840538898	0.552074907032855	1	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC5_Dendritic)	0.029	ABC (A=scATAC, C=power law) (BMMC5_Dendritic) (0.029)
BMMC5_Dendritic	0.896526232845293	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	scE2G_ATAC	17.1358421899312	4.46106741852043	65.8221586921485	0.686637227063214	1	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC5_Dendritic)	0.029	scE2G (scATAC) (BMMC5_Dendritic) (0.029)
BMMC5_Dendritic	-8661.31632653061	dendritic	4	1	35	0.114285714285714	0.0285714285714286	0.25	ABC_distanceToTSS	16.5490244352804	6.57986161606891	41.6224877876882	0.470576728311594	0.285880310524474	In element (ABC) & distance to TSS	#96a0b3	In element (ABC) & distance to TSS (BMMC5_Dendritic)	0.029	In element (ABC) & distance to TSS (BMMC5_Dendritic) (0.029)
PBMC5_DC	0	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	DIRECTNET	15.6962247514907	4.08630464731621	60.2919979574012	0.686634642235754	0.389582088225705	DIRECTNET (high-confidence)	#e0dcca	DIRECTNET (high-confidence) (PBMC5_DC)	0.029	DIRECTNET (high-confidence) (PBMC5_DC) (0.029)
PBMC5_DC	0	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	ArchR	15.4794091955848	4.02986265789483	59.4591253810938	0.686634252944274	0.40568698208972	ArchR (high-confidence)	#dcbca1	ArchR (high-confidence) (PBMC5_DC)	0.029	ArchR (high-confidence) (PBMC5_DC) (0.029)
