Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
PBMC5_NK	0.918292209418908	NK	36	34	701	0.0513552068473609	0.0485021398002853	0.944444444444444	scE2G_multiome	32.7917614594078	23.7458239464969	45.283735870085	0.164681917718861	2.79907254719991e-37	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC5_NK)	0.049	scE2G (Multiome) (PBMC5_NK) (0.049)
PBMC5_NK	0.957634783652941	NK	39	35	701	0.0556348074179743	0.0499286733238231	0.897435897435897	scE2G_ATAC	30.7125019385627	22.4489226462565	42.0179529409849	0.159914763451457	1.80190136754493e-38	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC5_NK)	0.05	scE2G (scATAC) (PBMC5_NK) (0.05)
PBMC5_NK	-842.102040816327	NK	38	36	701	0.0542082738944365	0.0513552068473609	0.947368421052632	ABC_distanceToTSS	27.6458879023955	20.1154714398503	37.995386794549	0.162241631701981	9.71544949908766e-36	In element (ABC) & distance to TSS	#96a0b3	In element (ABC) & distance to TSS (PBMC5_NK)	0.051	In element (ABC) & distance to TSS (PBMC5_NK) (0.051)
PBMC5_NK	-0.939611946501838	NK	127	35	701	0.181169757489301	0.0499286733238231	0.275590551181102	SCENT	27.5115095149189	23.3882145090497	32.3617331069291	0.0828444829506856	7.30304185176006e-126	SCENT (FDR)	#a5a083	SCENT (FDR) (PBMC5_NK)	0.05	SCENT (FDR) (PBMC5_NK) (0.05)
PBMC5_NK	0.469408979591837	NK	38	35	701	0.0542082738944365	0.0499286733238231	0.921052631578947	scABC	26.8892151457787	19.5649636403758	36.9553403955158	0.162240167429897	2.59360961720938e-35	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC5_NK)	0.05	ABC (A=scATAC, C=power law) (PBMC5_NK) (0.05)
PBMC5_NK	0.265138924285713	NK	43	34	701	0.0613409415121255	0.0485021398002853	0.790697674418605	STARE	25.200982016616	18.8003407978486	33.7807437338839	0.149496606961105	2.20473522397477e-40	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (PBMC5_NK)	0.049	STARE (gABC, power law) (PBMC5_NK) (0.049)
PBMC5_NK	0	NK	41	37	701	0.0584878744650499	0.0527817403708987	0.902439024390244	ScenicPlus	13.2048430177097	9.6950290537052	17.985286909039	0.157640841647435	6.11259383975636e-26	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (PBMC5_NK)	0.053	SCENIC+ (importance) (PBMC5_NK) (0.053)
PBMC5_NK	0	NK	41	34	701	0.0584878744650499	0.0485021398002853	0.829268292682927	ArchR	10.9208892501162	8.01821023880108	14.8743695240319	0.157636654484146	1.17597254276575e-24	ArchR (high-confidence)	#dcbca1	ArchR (high-confidence) (PBMC5_NK)	0.049	ArchR (high-confidence) (PBMC5_NK) (0.049)
PBMC5_NK	-0.996907015715598	NK	41	34	701	0.0584878744650499	0.0485021398002853	0.829268292682927	FigR	10.9204519685189	8.01788919551253	14.8737739183867	0.15763665368248	5.82940947962722e-23	FigR (p-value)	#bc9678	FigR (p-value) (PBMC5_NK)	0.049	FigR (p-value) (PBMC5_NK) (0.049)
PBMC5_NK	-0.999596523745205	NK	41	34	701	0.0584878744650499	0.0485021398002853	0.829268292682927	SnapATAC	10.9195775103708	8.01724718605529	14.872582850182	0.157636652079339	5.84613507986836e-23	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (PBMC5_NK)	0.049	SnapATAC (p-value) (PBMC5_NK) (0.049)
PBMC5_NK	-0.999094804598639	NK	41	34	701	0.0584878744650499	0.0485021398002853	0.829268292682927	Signac	10.9195775103708	8.01724718605529	14.872582850182	0.157636652079339	5.84613507986836e-23	Signac (p-value)	#916953	Signac (p-value) (PBMC5_NK)	0.049	Signac (p-value) (PBMC5_NK) (0.049)
