Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
BMMC5_Erythroid	-1177.14285714285	blood	167	146	2861	0.05837119888151	0.0510311080041943	0.874251497005988	ABC_distanceToTSS	19.7840053100471	17.0542385985017	22.9507089306443	0.0757539571158452	1.88795434418726e-145	In element (ABC) & distance to TSS	#96a0b3	In element (ABC) & distance to TSS (BMMC5_Erythroid)	0.051	In element (ABC) & distance to TSS (BMMC5_Erythroid) (0.051)
BMMC5_Erythroid	0.855294883784821	blood	167	143	2861	0.05837119888151	0.0499825235931492	0.856287425149701	scE2G_multiome	19.6366654799198	16.9190500868894	22.7907967167185	0.0760005267647313	4.84999192991416e-144	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC5_Erythroid)	0.05	scE2G (Multiome) (BMMC5_Erythroid) (0.05)
BMMC5_Erythroid	0.285742857142857	blood	159	142	2861	0.0555749737853897	0.0496329954561342	0.893081761006289	scABC	18.9932888773266	16.3073645702743	22.1216016127558	0.0777916742796121	1.49318442388776e-135	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC5_Erythroid)	0.05	ABC (A=scATAC, C=power law) (BMMC5_Erythroid) (0.05)
K562	-842.102040816327	blood	163	139	2861	0.0569730863334498	0.0485844110450891	0.852760736196319	ABC_distanceToTSS	18.7542535772272	16.126853823785	21.8097113722327	0.0770089468178654	2.19190643352633e-137	In element (ABC) & distance to TSS	#96a0b3	In element (ABC) & distance to TSS (K562)	0.049	In element (ABC) & distance to TSS (K562) (0.049)
BMMC5_Erythroid	0.937265266717058	blood	164	142	2861	0.0573226144704649	0.0496329954561342	0.865853658536585	scE2G_ATAC	18.6180885732012	16.0097725937484	21.6513520157633	0.0770087054533346	6.61569200677612e-137	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC5_Erythroid)	0.05	scE2G (scATAC) (BMMC5_Erythroid) (0.05)
K562	0.510223673469388	blood	169	146	2861	0.05907025515554	0.0510311080041943	0.863905325443787	scABC	18.2600435620727	15.7481797804269	21.1725542594582	0.075506730169899	6.97293361073717e-141	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (K562)	0.051	ABC (A=scATAC, C=power law) (K562) (0.051)
K562	0.815504356901638	blood	189	145	2861	0.0660608178958406	0.0506815798671793	0.767195767195767	scE2G_multiome	17.4872810826827	15.1960266869184	20.1240104380712	0.0716542911063338	1.54585727490179e-152	scE2G (Multiome)	#792374	scE2G (Multiome) (K562)	0.051	scE2G (Multiome) (K562) (0.051)
K562	0.94730861587892	blood	166	140	2861	0.0580216707444949	0.0489339391821042	0.843373493975904	scE2G_ATAC	17.2947488867186	14.8940897031603	20.082351121545	0.0762455096142639	1.27991588577685e-134	scE2G (scATAC)	#006479	scE2G (scATAC) (K562)	0.049	scE2G (scATAC) (K562) (0.049)
K562	0.775852529871953	blood	166	143	2861	0.0580216707444949	0.0499825235931492	0.86144578313253	DNase_ENCODE_rE2G	16.8055855657473	14.4512846415264	19.5434325192159	0.077005492631206	5.88254212373896e-131	ENCODE-rE2G (A=DNase, C=average Hi-C)	#DC6464	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562)	0.05	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562) (0.05)
BMMC5_Erythroid	0.204014177124223	blood	183	146	2861	0.0639636490737504	0.0510311080041943	0.797814207650273	STARE	14.8884026834796	12.9049286682673	17.1767345766511	0.072946881634565	9.53108852236616e-136	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (BMMC5_Erythroid)	0.051	STARE (gABC, power law) (BMMC5_Erythroid) (0.051)
K562	0.265138924285713	blood	180	142	2861	0.0629150646627053	0.0496329954561342	0.788888888888889	STARE	13.9278208494354	12.0670933637786	16.0754696898461	0.0731677468143786	3.3963715991207e-130	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (K562)	0.05	STARE (gABC, power law) (K562) (0.05)
K562	0.00959826295379257	blood	500	143	2861	0.174764068507515	0.0499825235931492	0.286	ScenicPlus	5.13327903811964	4.73209199030725	5.56847874833633	0.041519771981802	8.62064067152962e-184	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (K562)	0.05	SCENIC+ (importance) (K562) (0.05)
K562	-0.101999645280123	blood	528	141	2861	0.184550856343936	0.0492834673191192	0.267045454545455	SnapATAC	4.8457368195052	4.47940978562178	5.24202215195388	0.0401068689334543	5.9364652539996e-185	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (K562)	0.049	SnapATAC (p-value) (K562) (0.049)
K562	-0.150488112016136	blood	531	142	2861	0.185599440754981	0.0496329954561342	0.267419962335217	FigR	4.82693749989579	4.4632993891634	5.2202022755788	0.0399619295560323	1.93806643051874e-185	FigR (p-value)	#bc9678	FigR (p-value) (K562)	0.05	FigR (p-value) (K562) (0.05)
K562	-0.103683866357793	blood	571	138	2861	0.199580566235582	0.0482348829080741	0.241681260945709	Signac	4.58448648576977	4.25431519957327	4.94028189079968	0.0381355435006927	2.53056524697555e-191	Signac (p-value)	#916953	Signac (p-value) (K562)	0.048	Signac (p-value) (K562) (0.048)
K562	-0.067869873207004	blood	305	145	2861	0.106606081789584	0.0506815798671793	0.475409836065574	Cicero	3.92549075932347	3.52208536439695	4.37510057459166	0.0553265933649807	7.40570011916695e-81	Cicero (co-accessibility)	#888364	Cicero (co-accessibility) (K562)	0.051	Cicero (co-accessibility) (K562) (0.051)
