Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
PBMC5_B	0.653007793364557	B	45	40	540	0.0833333333333333	0.0740740740740741	0.888888888888889	scE2G_multiome	25.106380850189	18.8525138669283	33.4348174383513	0.146163790041969	1.65175566986455e-41	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC5_B)	0.074	scE2G (Multiome) (PBMC5_B) (0.074)
BMMC5_B	0.795853248163054	B	44	40	540	0.0814814814814815	0.0740740740740741	0.909090909090909	scE2G_multiome	23.3855111588543	17.4956847428103	31.2581153695992	0.148044753494462	3.28574828543335e-39	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC5_B)	0.074	scE2G (Multiome) (BMMC5_B) (0.074)
PBMC5_B	0.713200580422348	B	46	39	540	0.0851851851851852	0.0722222222222222	0.847826086956522	scE2G_ATAC	21.050072106275	15.9181164661909	27.8365557018323	0.142577173260035	3.63701091021923e-40	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC5_B)	0.072	scE2G (scATAC) (PBMC5_B) (0.072)
BMMC5_B	0.815048165101762	B	47	40	540	0.087037037037037	0.0740740740740741	0.851063829787234	scE2G_ATAC	19.8721510074777	15.0274112319566	26.2788034191955	0.142575760605907	4.58358316842636e-39	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC5_B)	0.074	scE2G (scATAC) (BMMC5_B) (0.074)
PBMC5_B	0.07875485	B	44	39	540	0.0814814814814815	0.0722222222222222	0.886363636363636	scABC	19.5340925901983	14.6684542679948	26.0137003089012	0.146156796498561	6.60760398113929e-37	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC5_B)	0.072	ABC (A=scATAC, C=power law) (PBMC5_B) (0.072)
BMMC5_B	0.0879916666666666	B	46	41	540	0.0851851851851852	0.0759259259259259	0.891304347826087	scABC	18.0981367888734	13.6859506571017	23.932758741813	0.142573633070786	2.73877716403836e-37	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC5_B)	0.076	ABC (A=scATAC, C=power law) (BMMC5_B) (0.076)
PBMC5_B	0.0900787894081633	B	54	41	540	0.1	0.0759259259259259	0.759259259259259	STARE	18.0074604529482	13.911781100314	23.3089228206137	0.131660633224841	2.11351579998237e-43	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (PBMC5_B)	0.076	STARE (gABC, power law) (PBMC5_B) (0.076)
PBMC5_B	-7664.63265306123	B	48	41	540	0.0888888888888889	0.0759259259259259	0.854166666666667	ABC_distanceToTSS	16.615952533819	12.6072165821349	21.8993523913408	0.140866790143452	1.6208868903491e-36	In element (ABC) & distance to TSS	#96a0b3	In element (ABC) & distance to TSS (PBMC5_B)	0.076	In element (ABC) & distance to TSS (PBMC5_B) (0.076)
BMMC5_B	0.12838776877551	B	51	40	540	0.0944444444444444	0.0740740740740741	0.784313725490196	STARE	16.4611666098854	12.6453754215788	21.4283876219292	0.134549665838205	9.78505033419218e-40	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (BMMC5_B)	0.074	STARE (gABC, power law) (BMMC5_B) (0.074)
BMMC5_B	-7664.63265306123	B	50	42	540	0.0925925925925926	0.0777777777777778	0.84	ABC_distanceToTSS	14.4141396433355	11.0066342066975	18.8765627853018	0.137610408108067	2.270922747999e-35	In element (ABC) & distance to TSS	#96a0b3	In element (ABC) & distance to TSS (BMMC5_B)	0.078	In element (ABC) & distance to TSS (BMMC5_B) (0.078)
