Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
BMMC5_T	0.523853093402748	T	486	390	5192	0.0936055469953775	0.075115562403698	0.802469135802469	scE2G_multiome	16.6010740738638	15.209608162519	18.1198396080355	0.0446641127583738	0	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC5_T)	0.075	scE2G (Multiome) (BMMC5_T) (0.075)
PBMC5_T	0.408129870852848	T	484	391	5192	0.0932203389830508	0.0753081664098613	0.807851239669422	scE2G_multiome	16.3594028271188	14.9834290972374	17.8617363971301	0.0448263159938985	0	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC5_T)	0.075	scE2G (Multiome) (PBMC5_T) (0.075)
BMMC5_T	0.570613961871169	T	497	388	5192	0.0957241910631741	0.0747303543913713	0.780684104627767	scE2G_ATAC	13.7579464970784	12.617977773416	15.0009054711806	0.0441303924310142	0	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC5_T)	0.075	scE2G (scATAC) (BMMC5_T) (0.075)
PBMC5_T	0.468766377191756	T	508	386	5192	0.0978428351309707	0.0743451463790447	0.759842519685039	scE2G_ATAC	13.6448134822238	12.5255967573671	14.8640371050721	0.043666717497993	0	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC5_T)	0.074	scE2G (scATAC) (PBMC5_T) (0.074)
PBMC5_T	0.0382480999999999	T	493	386	5192	0.0949537750385208	0.0743451463790447	0.782961460446248	scABC	13.4524961538583	12.3301985271883	14.6769455796297	0.0444463566503473	0	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC5_T)	0.074	ABC (A=scATAC, C=power law) (PBMC5_T) (0.074)
BMMC5_T	0.040854693877551	T	489	390	5192	0.0941833590138675	0.075115562403698	0.797546012269939	scABC	12.9904931633465	11.9042597104224	14.1758426590109	0.0445526043192034	0	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC5_T)	0.075	ABC (A=scATAC, C=power law) (BMMC5_T) (0.075)
PBMC5_T	0.0415804667959184	T	535	394	5192	0.103043143297381	0.0758859784283513	0.736448598130841	STARE	12.3776104252771	11.3843452853192	13.4575362921831	0.0426793753573547	0	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (PBMC5_T)	0.076	STARE (gABC, power law) (PBMC5_T) (0.076)
BMMC5_T	0.0477927011632653	T	536	398	5192	0.103235747303544	0.0766563944530046	0.742537313432836	STARE	11.0815366837119	10.1913471058488	12.0494821731641	0.0427259505399816	0	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (BMMC5_T)	0.077	STARE (gABC, power law) (BMMC5_T) (0.077)
PBMC5_T	-13452.0714285714	T	516	390	5192	0.0993836671802773	0.075115562403698	0.755813953488372	ABC_distanceToTSS	10.0900438721662	9.27423889938866	10.9776108257197	0.043015400968389	7.1177831204962e-306	In element (ABC) & distance to TSS	#96a0b3	In element (ABC) & distance to TSS (PBMC5_T)	0.075	In element (ABC) & distance to TSS (PBMC5_T) (0.075)
BMMC5_T	-12280	T	517	389	5192	0.0995762711864407	0.0749229583975347	0.752417794970986	ABC_distanceToTSS	10.0822863702702	9.27151298021762	10.9639601075929	0.0427729699293443	1.398641090983e-308	In element (ABC) & distance to TSS	#96a0b3	In element (ABC) & distance to TSS (BMMC5_T)	0.075	In element (ABC) & distance to TSS (BMMC5_T) (0.075)
