Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
K562	-3000.71428571429	spleen	53	47	621	0.0853462157809984	0.0756843800322061	0.886792452830189	ABC_distanceToTSS	19.1399357874961	14.7995184688751	24.7533149622348	0.131217914619145	1.66394450561683e-45	In element (ABC) & distance to TSS	#96a0b3	In element (ABC) & distance to TSS (K562)	0.076	In element (ABC) & distance to TSS (K562) (0.076)
K562	0.122484081632653	spleen	52	47	621	0.0837359098228663	0.0756843800322061	0.903846153846154	scABC	18.5553960285989	14.3089124977569	24.0621166585593	0.132593274731417	6.41095659736763e-44	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (K562)	0.076	ABC (A=scATAC, C=power law) (K562) (0.076)
K562	0.8337811530029	spleen	53	46	621	0.0853462157809984	0.0740740740740741	0.867924528301887	scE2G_ATAC	17.1250866182024	13.2059797704457	22.2072573772417	0.132591570180407	3.67568489227161e-42	scE2G (scATAC)	#006479	scE2G (scATAC) (K562)	0.074	scE2G (scATAC) (K562) (0.074)
K562	0.163211386207516	spleen	55	46	621	0.0885668276972625	0.0740740740740741	0.836363636363636	STARE	14.0348598727776	10.9086033886424	18.0570586931033	0.128569937006017	3.41772216310217e-40	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (K562)	0.074	STARE (gABC, power law) (K562) (0.074)
K562	0.244877922511709	spleen	62	47	621	0.0998389694041868	0.0756843800322061	0.758064516129032	scE2G_multiome	9.26222595073072	7.30082763903314	11.7505622381397	0.121408703505753	1.3671650863102e-34	scE2G (Multiome)	#792374	scE2G (Multiome) (K562)	0.076	scE2G (Multiome) (K562) (0.076)
K562	0.164541254571504	spleen	57	47	621	0.0917874396135266	0.0756843800322061	0.824561403508772	DNase_ENCODE_rE2G	7.85264827287828	6.11876121939078	10.0778707791571	0.127293754154843	1.32303723342878e-28	ENCODE-rE2G (A=DNase, C=average Hi-C)	#DC6464	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562)	0.076	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562) (0.076)
K562	0.00383029207279661	spleen	115	49	621	0.185185185185185	0.0789049919484702	0.426086956521739	ScenicPlus	4.38296430380784	3.70487731053845	5.18515850276883	0.0857541949019043	7.80007805710273e-35	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (K562)	0.079	SCENIC+ (importance) (K562) (0.079)
K562	-0.488280987289272	spleen	118	47	621	0.190016103059581	0.0756843800322061	0.398305084745763	FigR	4.35067593197814	3.68764414947301	5.13291963591412	0.0843604314726106	1.26402973405908e-35	FigR (p-value)	#bc9678	FigR (p-value) (K562)	0.076	FigR (p-value) (K562) (0.076)
K562	-0.48959829734459	spleen	118	47	621	0.190016103059581	0.0756843800322061	0.398305084745763	SnapATAC	4.34637919144704	3.6840022379735	5.12785032569236	0.0843604291369075	1.38574820937179e-35	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (K562)	0.076	SnapATAC (p-value) (K562) (0.076)
K562	-0.367014418015827	spleen	118	47	621	0.190016103059581	0.0756843800322061	0.398305084745763	Signac	4.26647236067663	3.61627330952804	5.03357596243003	0.0843603856996493	7.75674327812029e-35	Signac (p-value)	#916953	Signac (p-value) (K562)	0.076	Signac (p-value) (K562) (0.076)
