group1	group2	p	p_adjust	significant
scE2G (scATAC) (BMMC5_T)	scE2G (scATAC) (PBMC5_T)	0.583014183849513	1	FALSE
scE2G (scATAC) (BMMC5_T)	In element (ABC) & distance to TSS (PBMC5_T)	0.606084603102697	1	FALSE
scE2G (scATAC) (BMMC5_T)	STARE (gABC, power law) (BMMC5_T)	0.678738547488101	1	FALSE
scE2G (scATAC) (BMMC5_T)	STARE (gABC, power law) (PBMC5_T)	0.916123936734568	1	FALSE
scE2G (scATAC) (BMMC5_T)	SnapATAC (p-value) (BMMC5_T)	0.00441458727574435	0.675431853188886	FALSE
scE2G (scATAC) (BMMC5_T)	SnapATAC (p-value) (PBMC5_T)	0.00190452564246965	0.291392423297857	FALSE
scE2G (scATAC) (BMMC5_T)	Signac (p-value) (BMMC5_T)	0.00593939744553555	0.908727809166939	FALSE
scE2G (scATAC) (BMMC5_T)	Signac (p-value) (PBMC5_T)	1.45901993125989e-05	0.00223230049482763	TRUE
scE2G (scATAC) (BMMC5_T)	Cicero (co-accessibility) (BMMC5_T)	1.92117844572579e-11	2.93940302196047e-09	TRUE
scE2G (scATAC) (BMMC5_T)	Cicero (co-accessibility) (PBMC5_T)	6.85385916227207e-07	0.000104864045182763	TRUE
scE2G (scATAC) (BMMC5_T)	FigR (p-value) (BMMC5_T)	5.93387793475173e-05	0.00907883324017015	TRUE
scE2G (scATAC) (BMMC5_T)	FigR (p-value) (PBMC5_T)	4.40884289938404e-08	6.74552963605758e-06	TRUE
scE2G (scATAC) (BMMC5_T)	SCENT (FDR) (BMMC5_T)	0.254582293556252	1	FALSE
scE2G (scATAC) (BMMC5_T)	SCENT (FDR) (PBMC5_T)	0.513347161227991	1	FALSE
scE2G (scATAC) (BMMC5_T)	SCENIC+ (importance) (BMMC5_T)	0.00267587770256233	0.409409288492036	FALSE
scE2G (scATAC) (BMMC5_T)	SCENIC+ (importance) (PBMC5_T)	0.321389887989534	1	FALSE
scE2G (scATAC) (BMMC5_T)	ArchR (high-confidence) (PBMC5_T)	0.00107419613817279	0.164352009140437	FALSE
scE2G (scATAC) (PBMC5_T)	In element (ABC) & distance to TSS (PBMC5_T)	0.295775780651862	1	FALSE
scE2G (scATAC) (PBMC5_T)	STARE (gABC, power law) (BMMC5_T)	0.91403711930641	1	FALSE
scE2G (scATAC) (PBMC5_T)	STARE (gABC, power law) (PBMC5_T)	0.67758991467355	1	FALSE
scE2G (scATAC) (PBMC5_T)	SnapATAC (p-value) (BMMC5_T)	0.0287174837558253	1	FALSE
scE2G (scATAC) (PBMC5_T)	SnapATAC (p-value) (PBMC5_T)	0.0151342923153327	1	FALSE
scE2G (scATAC) (PBMC5_T)	Signac (p-value) (BMMC5_T)	0.0378500846320908	1	FALSE
scE2G (scATAC) (PBMC5_T)	Signac (p-value) (PBMC5_T)	0.000323866370202888	0.0495515546410419	TRUE
scE2G (scATAC) (PBMC5_T)	Cicero (co-accessibility) (BMMC5_T)	1.44904848803965e-09	2.21704418670066e-07	TRUE
scE2G (scATAC) (PBMC5_T)	Cicero (co-accessibility) (PBMC5_T)	1.55453080667779e-05	0.00237843213421703	TRUE
