group1	group2	p	p_adjust	significant
scE2G (Multiome) (K562)	scE2G (Multiome) (BMMC5_Erythroid)	0.532657092232546	1	FALSE
scE2G (Multiome) (K562)	In element (ABC) & distance to TSS (BMMC5_Erythroid)	0.502215524967829	1	FALSE
scE2G (Multiome) (K562)	STARE (gABC, power law) (K562)	0.0120680782178718	1	FALSE
scE2G (Multiome) (K562)	STARE (gABC, power law) (BMMC5_Erythroid)	0.10634087787421	1	FALSE
scE2G (Multiome) (K562)	SnapATAC (p-value) (BMMC5_Erythroid)	7.7775218937949e-31	9.33302627255389e-29	TRUE
scE2G (Multiome) (K562)	Signac (p-value) (K562)	1.39563328624191e-18	1.67475994349029e-16	TRUE
scE2G (Multiome) (K562)	Signac (p-value) (BMMC5_Erythroid)	1.07175005325544e-29	1.28610006390653e-27	TRUE
scE2G (Multiome) (K562)	Cicero (co-accessibility) (K562)	7.86411769634535e-08	9.43694123561442e-06	TRUE
scE2G (Multiome) (K562)	FigR (p-value) (K562)	6.50557976574423e-16	7.80669571889308e-14	TRUE
scE2G (Multiome) (K562)	FigR (p-value) (BMMC5_Erythroid)	3.8684225701227e-31	4.64210708414723e-29	TRUE
scE2G (Multiome) (K562)	SCENT (FDR) (K562)	1.43609314741061e-09	1.72331177689273e-07	TRUE
scE2G (Multiome) (K562)	SCENT (FDR) (BMMC5_Erythroid)	0.00106088454314066	0.127306145176879	FALSE
scE2G (Multiome) (K562)	SCENIC+ (importance) (K562)	2.31986968124851e-14	2.78384361749821e-12	TRUE
scE2G (Multiome) (K562)	SCENIC+ (importance) (BMMC5_Erythroid)	6.77814311588778e-27	8.13377173906533e-25	TRUE
scE2G (Multiome) (K562)	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562)	0.544692531322179	1	FALSE
scE2G (Multiome) (BMMC5_Erythroid)	In element (ABC) & distance to TSS (BMMC5_Erythroid)	0.983548936858191	1	FALSE
scE2G (Multiome) (BMMC5_Erythroid)	STARE (gABC, power law) (K562)	0.0723067737230209	1	FALSE
scE2G (Multiome) (BMMC5_Erythroid)	STARE (gABC, power law) (BMMC5_Erythroid)	0.342006430051385	1	FALSE
