group1	group2	p	p_adjust	significant
scE2G (Multiome) (K562)	scE2G (scATAC) (K562)	0.514284385752002	1	FALSE
scE2G (Multiome) (K562)	STARE (gABC, power law) (K562)	0.161952160224444	1	FALSE
scE2G (Multiome) (K562)	Cicero (co-accessibility) (K562)	0.481907819978773	1	FALSE
scE2G (Multiome) (K562)	FigR (p-value) (K562)	0.0207263893643353	0.580338902201387	FALSE
scE2G (Multiome) (K562)	SCENT (FDR) (K562)	0.0925514609970624	1	FALSE
scE2G (Multiome) (K562)	SCENIC+ (importance) (K562)	0.0332623705363978	0.931346375019137	FALSE
scE2G (Multiome) (K562)	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562)	0.000787923461182556	0.0220618569131116	TRUE
scE2G (scATAC) (K562)	STARE (gABC, power law) (K562)	0.503883732611827	1	FALSE
scE2G (scATAC) (K562)	Cicero (co-accessibility) (K562)	0.122864930433647	1	FALSE
scE2G (scATAC) (K562)	FigR (p-value) (K562)	0.00139543697863198	0.0390722354016955	TRUE
scE2G (scATAC) (K562)	SCENT (FDR) (K562)	0.0102830993131811	0.287926780769072	FALSE
scE2G (scATAC) (K562)	SCENIC+ (importance) (K562)	0.00292300946491669	0.0818442650176673	FALSE
scE2G (scATAC) (K562)	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562)	0.00682580419130456	0.191122517356528	FALSE
STARE (gABC, power law) (K562)	Cicero (co-accessibility) (K562)	0.0045890519562043	0.12849345477372	FALSE
STARE (gABC, power law) (K562)	FigR (p-value) (K562)	4.51509105336404e-07	1.26422549494193e-05	TRUE
STARE (gABC, power law) (K562)	SCENT (FDR) (K562)	2.06338122873828e-05	0.000577746744046719	TRUE
STARE (gABC, power law) (K562)	SCENIC+ (importance) (K562)	3.83020817993282e-06	0.000107245829038119	TRUE
STARE (gABC, power law) (K562)	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562)	0.0182770977867419	0.511758738028772	FALSE
Cicero (co-accessibility) (K562)	FigR (p-value) (K562)	0.00257471676723989	0.0720920694827169	FALSE
Cicero (co-accessibility) (K562)	SCENT (FDR) (K562)	0.0701454402282646	1	FALSE
Cicero (co-accessibility) (K562)	SCENIC+ (importance) (K562)	0.0135326962752538	0.378915495707106	FALSE
Cicero (co-accessibility) (K562)	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562)	5.1228128172651e-07	1.43438758883423e-05	TRUE
FigR (p-value) (K562)	SCENT (FDR) (K562)	0.11748435112281	1	FALSE
FigR (p-value) (K562)	SCENIC+ (importance) (K562)	0.852139404093698	1	FALSE
FigR (p-value) (K562)	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562)	7.37980253563421e-12	2.06634470997758e-10	TRUE
SCENT (FDR) (K562)	SCENIC+ (importance) (K562)	0.280786599690381	1	FALSE
SCENT (FDR) (K562)	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562)	4.74854103250586e-10	1.32959148910164e-08	TRUE
SCENIC+ (importance) (K562)	ENCODE-rE2G (A=DNase, C=average Hi-C) (K562)	9.00823833956211e-11	2.52230673507739e-09	TRUE
