group1	group2	p	p_adjust	significant
scE2G (Multiome) (PBMC5_NK)	scE2G (scATAC) (PBMC5_NK)	0.495523205631171	1	FALSE
scE2G (Multiome) (PBMC5_NK)	In element (ABC) & distance to TSS (PBMC5_NK)	0.512064675474054	1	FALSE
scE2G (Multiome) (PBMC5_NK)	STARE (gABC, power law) (PBMC5_NK)	0.143147670315199	1	FALSE
scE2G (Multiome) (PBMC5_NK)	SnapATAC (p-value) (PBMC5_NK)	0.0614986058011359	1	FALSE
scE2G (Multiome) (PBMC5_NK)	Signac (p-value) (PBMC5_NK)	3.40010614976984e-05	0.00122403821391714	TRUE
scE2G (Multiome) (PBMC5_NK)	FigR (p-value) (PBMC5_NK)	2.33682217667969e-05	0.000841255983604687	TRUE
scE2G (Multiome) (PBMC5_NK)	SCENT (FDR) (PBMC5_NK)	0.345268527433253	1	FALSE
scE2G (Multiome) (PBMC5_NK)	SCENIC+ (importance) (PBMC5_NK)	0.82351521277451	1	FALSE
scE2G (scATAC) (PBMC5_NK)	In element (ABC) & distance to TSS (PBMC5_NK)	0.990149064707336	1	FALSE
scE2G (scATAC) (PBMC5_NK)	STARE (gABC, power law) (PBMC5_NK)	0.424922483428384	1	FALSE
scE2G (scATAC) (PBMC5_NK)	SnapATAC (p-value) (PBMC5_NK)	0.227059364706754	1	FALSE
scE2G (scATAC) (PBMC5_NK)	Signac (p-value) (PBMC5_NK)	0.000385677378866673	0.0138843856392002	TRUE
scE2G (scATAC) (PBMC5_NK)	FigR (p-value) (PBMC5_NK)	0.000274431790304623	0.00987954445096642	TRUE
scE2G (scATAC) (PBMC5_NK)	SCENT (FDR) (PBMC5_NK)	0.933136718934894	1	FALSE
scE2G (scATAC) (PBMC5_NK)	SCENIC+ (importance) (PBMC5_NK)	0.601342789851765	1	FALSE
In element (ABC) & distance to TSS (PBMC5_NK)	STARE (gABC, power law) (PBMC5_NK)	0.461499168122967	1	FALSE
In element (ABC) & distance to TSS (PBMC5_NK)	SnapATAC (p-value) (PBMC5_NK)	0.263278717262151	1	FALSE
In element (ABC) & distance to TSS (PBMC5_NK)	Signac (p-value) (PBMC5_NK)	0.000990189472142272	0.0356468209971218	TRUE
In element (ABC) & distance to TSS (PBMC5_NK)	FigR (p-value) (PBMC5_NK)	0.000735894354112534	0.0264921967480512	TRUE
In element (ABC) & distance to TSS (PBMC5_NK)	SCENT (FDR) (PBMC5_NK)	0.951683506481332	1	FALSE
In element (ABC) & distance to TSS (PBMC5_NK)	SCENIC+ (importance) (PBMC5_NK)	0.616641050203897	1	FALSE
STARE (gABC, power law) (PBMC5_NK)	SnapATAC (p-value) (PBMC5_NK)	0.68591319502208	1	FALSE
STARE (gABC, power law) (PBMC5_NK)	Signac (p-value) (PBMC5_NK)	0.00569017408764063	0.204846267155063	FALSE
STARE (gABC, power law) (PBMC5_NK)	FigR (p-value) (PBMC5_NK)	0.00429269728405906	0.154537102226126	FALSE
STARE (gABC, power law) (PBMC5_NK)	SCENT (FDR) (PBMC5_NK)	0.335869066304708	1	FALSE
STARE (gABC, power law) (PBMC5_NK)	SCENIC+ (importance) (PBMC5_NK)	0.16444713382748	1	FALSE
SnapATAC (p-value) (PBMC5_NK)	Signac (p-value) (PBMC5_NK)	0.0167865325578351	0.604315172082065	FALSE
SnapATAC (p-value) (PBMC5_NK)	FigR (p-value) (PBMC5_NK)	0.0129934057591828	0.46776260733058	FALSE
SnapATAC (p-value) (PBMC5_NK)	SCENT (FDR) (PBMC5_NK)	0.128534892530234	1	FALSE
SnapATAC (p-value) (PBMC5_NK)	SCENIC+ (importance) (PBMC5_NK)	0.0651016625995039	1	FALSE
Signac (p-value) (PBMC5_NK)	FigR (p-value) (PBMC5_NK)	0.922311293907856	1	FALSE
Signac (p-value) (PBMC5_NK)	SCENT (FDR) (PBMC5_NK)	1.53322768232064e-06	5.51961965635429e-05	TRUE
Signac (p-value) (PBMC5_NK)	SCENIC+ (importance) (PBMC5_NK)	9.93232843181049e-06	0.000357563823545178	TRUE
FigR (p-value) (PBMC5_NK)	SCENT (FDR) (PBMC5_NK)	8.25335459047561e-07	2.97120765257122e-05	TRUE
FigR (p-value) (PBMC5_NK)	SCENIC+ (importance) (PBMC5_NK)	6.34256028079572e-06	0.000228332170108646	TRUE
SCENT (FDR) (PBMC5_NK)	SCENIC+ (importance) (PBMC5_NK)	0.419145355110957	1	FALSE
