group1	group2	p	p_adjust	significant
scE2G (Multiome) (BMMC5_Dendritic)	scE2G (Multiome) (PBMC5_DC)	0.467699421107804	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	scE2G (scATAC) (BMMC5_Dendritic)	0.484857733156936	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	scE2G (scATAC) (PBMC5_DC)	0.361312119963578	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	ABC (A=scATAC, C=power law) (BMMC5_Dendritic)	0.508156165992647	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	ABC (A=scATAC, C=power law) (PBMC5_DC)	0.289946054296381	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	In element (ABC) & distance to TSS (BMMC5_Dendritic)	0.391610779118774	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	In element (ABC) & distance to TSS (PBMC5_DC)	0.605254474842258	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	STARE (gABC, power law) (BMMC5_Dendritic)	0.317806520085085	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	STARE (gABC, power law) (PBMC5_DC)	0.252680751295268	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	SnapATAC (p-value) (BMMC5_Dendritic)	0.315022237066946	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	SnapATAC (p-value) (PBMC5_DC)	0.421593076638794	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	Signac (p-value) (BMMC5_Dendritic)	0.178447090623222	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	Signac (p-value) (PBMC5_DC)	0.421593076638794	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	Cicero (co-accessibility) (BMMC5_Dendritic)	0.512110735325369	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	FigR (p-value) (PBMC5_DC)	0.421593076638794	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	SCENT (FDR) (PBMC5_DC)	0.496367213908991	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	SCENIC+ (importance) (BMMC5_Dendritic)	0.496908669436417	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	DIRECTNET (high-confidence) (PBMC5_DC)	0.430183009106501	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	ArchR (high-confidence) (PBMC5_DC)	0.421857615395752	1	FALSE
scE2G (Multiome) (PBMC5_DC)	scE2G (scATAC) (BMMC5_Dendritic)	0.871643532108227	1	FALSE
scE2G (Multiome) (PBMC5_DC)	scE2G (scATAC) (PBMC5_DC)	0.872220735255996	1	FALSE
scE2G (Multiome) (PBMC5_DC)	ABC (A=scATAC, C=power law) (BMMC5_Dendritic)	0.797842110022923	1	FALSE
scE2G (Multiome) (PBMC5_DC)	ABC (A=scATAC, C=power law) (PBMC5_DC)	0.774790870177728	1	FALSE
scE2G (Multiome) (PBMC5_DC)	In element (ABC) & distance to TSS (BMMC5_Dendritic)	0.884083133778639	1	FALSE
scE2G (Multiome) (PBMC5_DC)	In element (ABC) & distance to TSS (PBMC5_DC)	0.757767891715636	1	FALSE
scE2G (Multiome) (PBMC5_DC)	STARE (gABC, power law) (BMMC5_Dendritic)	0.970196905339808	1	FALSE
scE2G (Multiome) (PBMC5_DC)	STARE (gABC, power law) (PBMC5_DC)	0.842702113528079	1	FALSE
scE2G (Multiome) (PBMC5_DC)	SnapATAC (p-value) (BMMC5_Dendritic)	0.13578981396524	1	FALSE
scE2G (Multiome) (PBMC5_DC)	SnapATAC (p-value) (PBMC5_DC)	0.938964602764071	1	FALSE
scE2G (Multiome) (PBMC5_DC)	Signac (p-value) (BMMC5_Dendritic)	0.0742038544680911	1	FALSE
scE2G (Multiome) (PBMC5_DC)	Signac (p-value) (PBMC5_DC)	0.938964602764071	1	FALSE
scE2G (Multiome) (PBMC5_DC)	Cicero (co-accessibility) (BMMC5_Dendritic)	0.951436884936433	1	FALSE
scE2G (Multiome) (PBMC5_DC)	FigR (p-value) (PBMC5_DC)	0.938964602764071	1	FALSE
scE2G (Multiome) (PBMC5_DC)	SCENT (FDR) (PBMC5_DC)	0.745941877036822	1	FALSE
scE2G (Multiome) (PBMC5_DC)	SCENIC+ (importance) (BMMC5_Dendritic)	0.225795494051555	1	FALSE
