group1	group2	p	p_adjust	significant
scE2G (Multiome) (BMMC5_Myeloid)	scE2G (Multiome) (PBMC5_Mono)	0.41042021353512	1	FALSE
scE2G (Multiome) (BMMC5_Myeloid)	scE2G (scATAC) (BMMC5_Myeloid)	0.0151023712280186	1	FALSE
scE2G (Multiome) (BMMC5_Myeloid)	scE2G (scATAC) (PBMC5_Mono)	0.973479132639098	1	FALSE
scE2G (Multiome) (BMMC5_Myeloid)	ABC (A=scATAC, C=power law) (BMMC5_Myeloid)	0.00467959547595484	0.982715049950517	FALSE
scE2G (Multiome) (BMMC5_Myeloid)	ABC (A=scATAC, C=power law) (PBMC5_Mono)	0.855677448013858	1	FALSE
scE2G (Multiome) (BMMC5_Myeloid)	In element (ABC) & distance to TSS (BMMC5_Myeloid)	0.00127183091151227	0.267084491417577	FALSE
scE2G (Multiome) (BMMC5_Myeloid)	In element (ABC) & distance to TSS (PBMC5_Mono)	0.123317823264119	1	FALSE
scE2G (Multiome) (BMMC5_Myeloid)	STARE (gABC, power law) (BMMC5_Myeloid)	3.59632520149855e-08	7.55228292314695e-06	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	STARE (gABC, power law) (PBMC5_Mono)	0.000112777319454015	0.0236832370853432	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	SnapATAC (p-value) (BMMC5_Myeloid)	2.01390748822167e-84	4.2292057252655e-82	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	SnapATAC (p-value) (PBMC5_Mono)	2.8049878601935e-57	5.89047450640636e-55	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	Signac (p-value) (BMMC5_Myeloid)	2.0272591810875e-84	4.25724428028375e-82	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	Signac (p-value) (PBMC5_Mono)	2.81152711918949e-57	5.90420695029794e-55	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	FigR (p-value) (BMMC5_Myeloid)	2.0227988013262e-84	4.24787748278502e-82	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	FigR (p-value) (PBMC5_Mono)	2.81152711918949e-57	5.90420695029794e-55	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	SCENT (FDR) (PBMC5_Mono)	1.03250055648627e-21	2.16825116862117e-19	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	SCENIC+ (importance) (BMMC5_Myeloid)	5.5082321116134e-85	1.15672874343881e-82	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	SCENIC+ (importance) (PBMC5_Mono)	1.79801787365355e-57	3.77583753467246e-55	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	ArchR (high-confidence) (BMMC5_Myeloid)	2.08155785476356e-84	4.37127149500347e-82	TRUE
scE2G (Multiome) (BMMC5_Myeloid)	ArchR (high-confidence) (PBMC5_Mono)	2.88447346137844e-57	6.05739426889472e-55	TRUE
scE2G (Multiome) (PBMC5_Mono)	scE2G (scATAC) (BMMC5_Myeloid)	0.00120051638189459	0.252108440197865	FALSE
scE2G (Multiome) (PBMC5_Mono)	scE2G (scATAC) (PBMC5_Mono)	0.388360956012567	1	FALSE
