group1	group2	p	p_adjust	significant
scE2G (Multiome) (GM12878)	scE2G (scATAC) (GM12878)	0.550412308724479	1	FALSE
scE2G (Multiome) (GM12878)	ABC (A=scATAC, C=power law) (GM12878)	0.429811234502166	1	FALSE
scE2G (Multiome) (GM12878)	In element (ABC) & distance to TSS (GM12878)	0.00839363951762733	0.553980208163404	FALSE
scE2G (Multiome) (GM12878)	STARE (gABC, power law) (GM12878)	2.01513328572495e-06	0.000132998796857847	TRUE
scE2G (Multiome) (GM12878)	SnapATAC (p-value) (GM12878)	2.10241034910647e-63	1.38759083041027e-61	TRUE
scE2G (Multiome) (GM12878)	Signac (p-value) (GM12878)	1.7418880935722e-69	1.14964614175765e-67	TRUE
scE2G (Multiome) (GM12878)	Cicero (co-accessibility) (GM12878)	1.05256016128963e-68	6.94689706451157e-67	TRUE
scE2G (Multiome) (GM12878)	FigR (p-value) (GM12878)	1.30350602806855e-64	8.60313978525244e-63	TRUE
scE2G (Multiome) (GM12878)	SCENIC+ (importance) (GM12878)	7.42326526710721e-60	4.89935507629076e-58	TRUE
scE2G (Multiome) (GM12878)	DIRECTNET (high-confidence) (GM12878)	1.26674442452745e-67	8.36051320188119e-66	TRUE
scE2G (Multiome) (GM12878)	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	0.970771002572664	1	FALSE
scE2G (scATAC) (GM12878)	ABC (A=scATAC, C=power law) (GM12878)	0.842610107855255	1	FALSE
scE2G (scATAC) (GM12878)	In element (ABC) & distance to TSS (GM12878)	0.0419461582726113	1	FALSE
scE2G (scATAC) (GM12878)	STARE (gABC, power law) (GM12878)	3.47236413225976e-05	0.00229176032729144	TRUE
scE2G (scATAC) (GM12878)	SnapATAC (p-value) (GM12878)	2.54272363258322e-58	1.67819759750492e-56	TRUE
scE2G (scATAC) (GM12878)	Signac (p-value) (GM12878)	3.95588770313447e-64	2.61088588406875e-62	TRUE
scE2G (scATAC) (GM12878)	Cicero (co-accessibility) (GM12878)	9.85441598209889e-64	6.50391454818527e-62	TRUE
scE2G (scATAC) (GM12878)	FigR (p-value) (GM12878)	1.6732168567449e-59	1.10432312545164e-57	TRUE
scE2G (scATAC) (GM12878)	SCENIC+ (importance) (GM12878)	5.99217373256379e-55	3.9548346634921e-53	TRUE
scE2G (scATAC) (GM12878)	DIRECTNET (high-confidence) (GM12878)	2.36677064924604e-62	1.56206862850239e-60	TRUE
scE2G (scATAC) (GM12878)	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	0.533853934307567	1	FALSE
ABC (A=scATAC, C=power law) (GM12878)	In element (ABC) & distance to TSS (GM12878)	0.0698618023215305	1	FALSE
ABC (A=scATAC, C=power law) (GM12878)	STARE (gABC, power law) (GM12878)	9.92287187024435e-05	0.00654909543436127	TRUE
ABC (A=scATAC, C=power law) (GM12878)	SnapATAC (p-value) (GM12878)	3.48863035831517e-55	2.30249603648801e-53	TRUE
ABC (A=scATAC, C=power law) (GM12878)	Signac (p-value) (GM12878)	9.76051600035e-61	6.441940560231e-59	TRUE
ABC (A=scATAC, C=power law) (GM12878)	Cicero (co-accessibility) (GM12878)	1.13281028661893e-60	7.47654789168497e-59	TRUE
ABC (A=scATAC, C=power law) (GM12878)	FigR (p-value) (GM12878)	2.43717225480328e-56	1.60853368817017e-54	TRUE
ABC (A=scATAC, C=power law) (GM12878)	SCENIC+ (importance) (GM12878)	5.70767434601677e-52	3.76706506837107e-50	TRUE
ABC (A=scATAC, C=power law) (GM12878)	DIRECTNET (high-confidence) (GM12878)	4.86124402010703e-59	3.20842105327064e-57	TRUE
ABC (A=scATAC, C=power law) (GM12878)	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	0.417534833559845	1	FALSE
In element (ABC) & distance to TSS (GM12878)	STARE (gABC, power law) (GM12878)	0.0367439499471105	1	FALSE
In element (ABC) & distance to TSS (GM12878)	SnapATAC (p-value) (GM12878)	1.31148038033558e-43	8.65577051021485e-42	TRUE
In element (ABC) & distance to TSS (GM12878)	Signac (p-value) (GM12878)	1.29138365411968e-48	8.5231321171899e-47	TRUE
In element (ABC) & distance to TSS (GM12878)	Cicero (co-accessibility) (GM12878)	3.46688758665024e-49	2.28814580718916e-47	TRUE
In element (ABC) & distance to TSS (GM12878)	FigR (p-value) (GM12878)	1.06259233772133e-44	7.0131094289608e-43	TRUE
In element (ABC) & distance to TSS (GM12878)	SCENIC+ (importance) (GM12878)	9.51411747930807e-41	6.27931753634333e-39	TRUE
In element (ABC) & distance to TSS (GM12878)	DIRECTNET (high-confidence) (GM12878)	4.37906879608243e-47	2.8901854054144e-45	TRUE
In element (ABC) & distance to TSS (GM12878)	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	0.0087702228306991	0.578834706826141	FALSE
STARE (gABC, power law) (GM12878)	SnapATAC (p-value) (GM12878)	1.55273056955414e-31	1.02480217590573e-29	TRUE
STARE (gABC, power law) (GM12878)	Signac (p-value) (GM12878)	7.84804782896785e-36	5.17971156711878e-34	TRUE
STARE (gABC, power law) (GM12878)	Cicero (co-accessibility) (GM12878)	4.72704480438075e-37	3.1198495708913e-35	TRUE
STARE (gABC, power law) (GM12878)	FigR (p-value) (GM12878)	1.58064831488711e-32	1.0432278878255e-30	TRUE
STARE (gABC, power law) (GM12878)	SCENIC+ (importance) (GM12878)	3.99767537216902e-29	2.63846574563155e-27	TRUE
STARE (gABC, power law) (GM12878)	DIRECTNET (high-confidence) (GM12878)	1.61636986462758e-34	1.0668041106542e-32	TRUE
STARE (gABC, power law) (GM12878)	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	2.68467906326843e-06	0.000177188818175716	TRUE
SnapATAC (p-value) (GM12878)	Signac (p-value) (GM12878)	0.357242772478274	1	FALSE
SnapATAC (p-value) (GM12878)	Cicero (co-accessibility) (GM12878)	0.0377436921906626	1	FALSE
SnapATAC (p-value) (GM12878)	FigR (p-value) (GM12878)	0.763664843272741	1	FALSE
SnapATAC (p-value) (GM12878)	SCENIC+ (importance) (GM12878)	0.609258308673201	1	FALSE
SnapATAC (p-value) (GM12878)	DIRECTNET (high-confidence) (GM12878)	0.515113771805534	1	FALSE
SnapATAC (p-value) (GM12878)	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	1.32224233200938e-60	8.7267993912619e-59	TRUE
Signac (p-value) (GM12878)	Cicero (co-accessibility) (GM12878)	0.212447923878552	1	FALSE
Signac (p-value) (GM12878)	FigR (p-value) (GM12878)	0.540700407228255	1	FALSE
Signac (p-value) (GM12878)	SCENIC+ (importance) (GM12878)	0.153148931718608	1	FALSE
Signac (p-value) (GM12878)	DIRECTNET (high-confidence) (GM12878)	0.787793550179835	1	FALSE
Signac (p-value) (GM12878)	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	2.23653895591762e-66	1.47611571090563e-64	TRUE
Cicero (co-accessibility) (GM12878)	FigR (p-value) (GM12878)	0.0733869608601935	1	FALSE
Cicero (co-accessibility) (GM12878)	SCENIC+ (importance) (GM12878)	0.0112865726470427	0.744913794704818	FALSE
Cicero (co-accessibility) (GM12878)	DIRECTNET (high-confidence) (GM12878)	0.136483637299299	1	FALSE
Cicero (co-accessibility) (GM12878)	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	5.03130055907786e-66	3.32065836899139e-64	TRUE
FigR (p-value) (GM12878)	SCENIC+ (importance) (GM12878)	0.420069307679414	1	FALSE
FigR (p-value) (GM12878)	DIRECTNET (high-confidence) (GM12878)	0.730377731888734	1	FALSE
FigR (p-value) (GM12878)	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	8.76211670387476e-62	5.78299702455735e-60	TRUE
SCENIC+ (importance) (GM12878)	DIRECTNET (high-confidence) (GM12878)	0.246283680855979	1	FALSE
SCENIC+ (importance) (GM12878)	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	3.00849564235401e-57	1.98560712395364e-55	TRUE
DIRECTNET (high-confidence) (GM12878)	ENCODE-rE2G (A=DNase, C=average Hi-C) (GM12878)	1.29911649547104e-64	8.57416887010888e-63	TRUE
