Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC5_B	-990095	B	137	126	540	0.253703703703704	0.233333333333333	0.91970802919708	ABC_distanceToTSS	6.92502077690555	5.97444683346024	8.02683731186521	0.075332781699544	5.29423130647974e-66	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-990095	B	114	106	540	0.211111111111111	0.196296296296296	0.929824561403509	ABC_distanceToTSS	7.35052723153754	6.22500923300971	8.67954545273051	0.0847960057332443	2.68948013049345e-56	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-969888.979591837	B	137	126	540	0.253703703703704	0.233333333333333	0.91970802919708	ABC_distanceToTSS	6.92627582122197	5.97552959612152	8.02829205009404	0.0753327822126621	5.1819154788196e-66	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-969888.979591837	B	114	106	540	0.211111111111111	0.196296296296296	0.929824561403509	ABC_distanceToTSS	7.35203849641536	6.22628908287807	8.68132997573379	0.0847960064746912	2.63532251900779e-56	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-949682.959183673	B	137	125	540	0.253703703703704	0.231481481481482	0.912408759124088	ABC_distanceToTSS	6.92786488904857	5.97690053042436	8.0301339593323	0.0753327828623438	5.04314380696266e-66	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-949682.959183673	B	114	106	540	0.211111111111111	0.196296296296296	0.929824561403509	ABC_distanceToTSS	7.35455865264214	6.22842333588026	8.68430581196341	0.0847960077111138	2.54744580932283e-56	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-929476.93877551	B	137	125	540	0.253703703703704	0.231481481481482	0.912408759124088	ABC_distanceToTSS	6.93002405021474	5.97876330056522	8.03263667120164	0.0753327837451051	4.86056494843353e-66	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-929476.93877551	B	114	106	540	0.211111111111111	0.196296296296296	0.929824561403509	ABC_distanceToTSS	7.356788440979	6.23031168406275	8.68693877768077	0.084796008805078	2.47216154661816e-56	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-909270.918367347	B	137	125	540	0.253703703703704	0.231481481481482	0.912408759124088	ABC_distanceToTSS	6.93198809223042	5.98045773582434	8.03491321792625	0.075332784548093	4.70027356803481e-66	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-909270.918367347	B	114	106	540	0.211111111111111	0.196296296296296	0.929824561403509	ABC_distanceToTSS	7.35907272069553	6.23224617953076	8.68963608760439	0.0847960099257764	2.3973638033256e-56	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-889064.897959184	B	137	125	540	0.253703703703704	0.231481481481482	0.912408759124088	ABC_distanceToTSS	6.93306878994031	5.98139008466668	8.03616586874437	0.0753327849899304	4.61435669538346e-66	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-889064.897959184	B	114	106	540	0.211111111111111	0.196296296296296	0.929824561403509	ABC_distanceToTSS	7.36069382572515	6.23361905006781	8.69155031144852	0.0847960107211124	2.345670289726e-56	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-868858.87755102	B	137	124	540	0.253703703703704	0.22962962962963	0.905109489051095	ABC_distanceToTSS	6.9344447108274	5.98257713099053	8.03776071660283	0.0753327855524681	4.50725437520948e-66	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-868858.87755102	B	114	105	540	0.211111111111111	0.194444444444444	0.921052631578947	ABC_distanceToTSS	7.36242201891009	6.23508261069772	8.69359098651405	0.0847960115689872	2.29179951879251e-56	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-848652.857142857	B	137	124	540	0.253703703703704	0.22962962962963	0.905109489051095	ABC_distanceToTSS	6.9368243767085	5.98463013683856	8.04051901839283	0.0753327865253816	4.32789605640388e-66	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-848652.857142857	B	114	105	540	0.211111111111111	0.194444444444444	0.921052631578947	ABC_distanceToTSS	7.36532188810066	6.23753843241793	8.69701519326847	0.0847960129917022	2.20419449761772e-56	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-828446.836734694	B	137	124	540	0.253703703703704	0.22962962962963	0.905109489051095	ABC_distanceToTSS	6.93999324250802	5.98736400802643	8.04419209212782	0.0753327878209551	4.10016331116056e-66	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-828446.836734694	B	114	105	540	0.211111111111111	0.194444444444444	0.921052631578947	ABC_distanceToTSS	7.36833058714578	6.24008641921908	8.70056790788205	0.0847960144678104	2.11686968885088e-56	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-808240.816326531	B	137	124	540	0.253703703703704	0.22962962962963	0.905109489051095	ABC_distanceToTSS	6.94306645926571	5.9900153600361	8.04775429782703	0.0753327890774231	3.89083673316507e-66	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-808240.816326531	B	114	105	540	0.211111111111111	0.194444444444444	0.921052631578947	ABC_distanceToTSS	7.37104851556363	6.24238816013538	8.70377727642212	0.0847960158012627	2.04098766526808e-56	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-788034.795918367	B	137	124	540	0.253703703703704	0.22962962962963	0.905109489051095	ABC_distanceToTSS	6.9463988503777	5.99289030916043	8.05161691592657	0.0753327904398531	3.67600013922213e-66	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_B)	#96A0B3
