Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
GM12878	-990095	LCL	550	499	2404	0.228785357737105	0.20757071547421	0.907272727272727	ABC_distanceToTSS	7.101129876477	6.57946947506165	7.66415069083085	0.0389291815174535	2.55301757558656e-264	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-969888.979591837	LCL	550	499	2404	0.228785357737105	0.20757071547421	0.907272727272727	ABC_distanceToTSS	7.10454680667924	6.58263537163496	7.66783855988663	0.0389291831025494	2.04959070894245e-264	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-949682.959183673	LCL	550	499	2404	0.228785357737105	0.20757071547421	0.907272727272727	ABC_distanceToTSS	7.10850612885899	6.58630381192947	7.6721118288685	0.038929184939258	1.58923831409787e-264	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-929476.93877551	LCL	550	499	2404	0.228785357737105	0.20757071547421	0.907272727272727	ABC_distanceToTSS	7.11261067218327	6.59010680429215	7.67654183405745	0.0389291868433339	1.22099887525794e-264	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-909270.918367347	LCL	550	499	2404	0.228785357737105	0.20757071547421	0.907272727272727	ABC_distanceToTSS	7.11749538440052	6.59463264837189	7.68181387017357	0.038929189109326	8.92396467837961e-265	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-889064.897959184	LCL	550	499	2404	0.228785357737105	0.20757071547421	0.907272727272727	ABC_distanceToTSS	7.12224561755406	6.59903389320492	7.68694076401113	0.038929191312934	6.5800149827209e-265	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-868858.87755102	LCL	550	499	2404	0.228785357737105	0.20757071547421	0.907272727272727	ABC_distanceToTSS	7.12679013360735	6.60324453444771	7.69184562884452	0.0389291934211109	4.91698200870677e-265	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-848652.857142857	LCL	550	499	2404	0.228785357737105	0.20757071547421	0.907272727272727	ABC_distanceToTSS	7.13103377214364	6.60717640289928	7.69642575868551	0.0389291953897124	3.7463708686786e-265	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-828446.836734694	LCL	550	499	2404	0.228785357737105	0.20757071547421	0.907272727272727	ABC_distanceToTSS	7.13594383065235	6.61172573098649	7.70172515105639	0.0389291976674625	2.73561352111454e-265	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-808240.816326531	LCL	550	499	2404	0.228785357737105	0.20757071547421	0.907272727272727	ABC_distanceToTSS	7.14218557384217	6.61750890796254	7.70846182161088	0.0389292005629742	1.83476576196766e-265	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-788034.795918367	LCL	550	499	2404	0.228785357737105	0.20757071547421	0.907272727272727	ABC_distanceToTSS	7.14841454076037	6.62328024724422	7.71518470289939	0.0389292034525589	1.23195019519806e-265	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-767828.775510204	LCL	549	499	2404	0.228369384359401	0.20757071547421	0.908925318761384	ABC_distanceToTSS	7.14042673256135	6.61524796266014	7.70729898725887	0.0389778893193406	7.51296961621656e-265	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-747622.755102041	LCL	549	499	2404	0.228369384359401	0.20757071547421	0.908925318761384	ABC_distanceToTSS	7.1488257273025	6.62302916021131	7.71636482991289	0.0389778932231848	4.3954898936361e-265	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-727416.734693878	LCL	549	499	2404	0.228369384359401	0.20757071547421	0.908925318761384	ABC_distanceToTSS	7.15607801101815	6.62974799421744	7.72419291720336	0.038977896594039	2.76808331820151e-265	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-707210.714285714	LCL	549	499	2404	0.228369384359401	0.20757071547421	0.908925318761384	ABC_distanceToTSS	7.16410832046204	6.63718762530959	7.73286080260831	0.0389779003265186	1.65963612579714e-265	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-687004.693877551	LCL	549	499	2404	0.228369384359401	0.20757071547421	0.908925318761384	ABC_distanceToTSS	7.17301750667501	6.6454414862842	7.74247734439622	0.0389779044674993	9.41424160833025e-266	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-666798.673469388	LCL	549	499	2404	0.228369384359401	0.20757071547421	0.908925318761384	ABC_distanceToTSS	7.18190093045517	6.65367147967741	7.75206607846735	0.0389779085965057	5.35223275036281e-266	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-646592.653061224	LCL	549	499	2404	0.228369384359401	0.20757071547421	0.908925318761384	ABC_distanceToTSS	7.19174382077229	6.66279036479452	7.76269045727533	0.0389779131714711	2.86486794780551e-266	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
GM12878	-626386.632653061	LCL	549	499	2404	0.228369384359401	0.20757071547421	0.908925318761384	ABC_distanceToTSS	7.20192711913434	6.67222461867635	7.77368227144791	0.0389779179046578	1.50185382062937e-266	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (GM12878)	#96a0b3
