Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
PBMC5_NK	-990095	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.28352765367	9.09409181700781	11.6285323627391	0.0627146250204428	3.24192089033823e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-969888.979591837	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.2855590031792	9.09588819849612	11.6308294142591	0.0627146257853859	3.13326489676473e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-949682.959183673	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.2890260992724	9.09895425246003	11.634750009089	0.0627146270909865	2.95619943428741e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-929476.93877551	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.2921764074376	9.10174016162733	11.6383123799125	0.0627146282772945	2.80404807378932e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-909270.918367347	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.2963265912064	9.10541028986218	11.6430054108401	0.0627146298401247	2.61555289545694e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-889064.897959184	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.2990419830434	9.10781158984168	11.6460759779874	0.0627146308626568	2.49917054526374e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-868858.87755102	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.3020785281311	9.11049689497025	11.6495097054886	0.0627146320061253	2.37517723399249e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-848652.857142857	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.3056767533164	9.11367891012812	11.6535785812925	0.062714633361105	2.23622772980465e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-828446.836734694	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.3083570645693	9.11604918729411	11.6566094793305	0.0627146343704269	2.1380609037954e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-808240.816326531	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.31179950808	9.1190934401596	11.6605021971327	0.0627146356667441	2.01830777806063e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-788034.795918367	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.3164865257929	9.12323830614583	11.6658022804436	0.0627146374317292	1.86602228272827e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-767828.775510204	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.3214987333756	9.12767074695356	11.6714700887553	0.0627146393191708	1.71592453566255e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-747622.755102041	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.3273591616868	9.132853293957	11.6780970657929	0.0627146415260259	1.55574007842008e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-727416.734693878	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.3321005373816	9.13704623019006	11.6834586172758	0.0627146433114805	1.43720677866793e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
PBMC5_NK	-707210.714285714	NK	194	176	701	0.276747503566334	0.251069900142653	0.907216494845361	ABC_distanceToTSS	10.3370072173307	9.1413853497453	11.689007094983	0.0627146451591836	1.32408798915021e-123	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_NK)	#96a0b3
