Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC5_T	-990095	T	1078	962	5192	0.207627118644068	0.185285053929122	0.89239332096475	ABC_distanceToTSS	5.66584898772128	5.36189096995107	5.98703795574477	0.0281331919155686	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-990095	T	1009	905	5192	0.194337442218798	0.174306625577812	0.896927651139742	ABC_distanceToTSS	6.26987608939833	5.91993113305019	6.6405073459282	0.0293024650190599	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-969888.979591837	T	1078	962	5192	0.207627118644068	0.185285053929122	0.89239332096475	ABC_distanceToTSS	5.66640463294612	5.3624168032864	5.98762510303107	0.0281331921984104	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-969888.979591837	T	1009	903	5192	0.194337442218798	0.173921417565485	0.894945490584737	ABC_distanceToTSS	6.27064536001918	5.92065746298288	6.64132209589437	0.0293024654371642	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-949682.959183673	T	1078	962	5192	0.207627118644068	0.185285053929122	0.89239332096475	ABC_distanceToTSS	5.66802316194585	5.36394849376506	5.98933539382375	0.0281331930222954	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-949682.959183673	T	1009	903	5192	0.194337442218798	0.173921417565485	0.894945490584737	ABC_distanceToTSS	6.27201341843058	5.92194915636705	6.64277103404009	0.029302466180714	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-929476.93877551	T	1078	961	5192	0.207627118644068	0.185092449922958	0.891465677179963	ABC_distanceToTSS	5.66977352120311	5.3656049414407	5.9911849889389	0.0281331939132863	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-929476.93877551	T	1009	902	5192	0.194337442218798	0.173728813559322	0.893954410307235	ABC_distanceToTSS	6.27432337109506	5.92413016745395	6.64521755132006	0.0293024674361903	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-909270.918367347	T	1078	960	5192	0.207627118644068	0.184899845916795	0.890538033395176	ABC_distanceToTSS	5.67080461229594	5.36658071166174	5.99227453729646	0.0281331944381459	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-909270.918367347	T	1009	900	5192	0.194337442218798	0.173343605546995	0.89197224975223	ABC_distanceToTSS	6.27532915970896	5.92507981293543	6.64628280225374	0.0293024679828439	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-889064.897959184	T	1078	960	5192	0.207627118644068	0.184899845916795	0.890538033395176	ABC_distanceToTSS	5.67224549445951	5.36794428653261	5.99379710965648	0.0281331951716027	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-889064.897959184	T	1009	900	5192	0.194337442218798	0.173343605546995	0.89197224975223	ABC_distanceToTSS	6.27676350108665	5.92643408935679	6.64780194203585	0.029302468762419	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-868858.87755102	T	1078	958	5192	0.207627118644068	0.184514637904468	0.888682745825603	ABC_distanceToTSS	5.67373626789803	5.36935507587014	5.99537240186051	0.0281331959304559	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-868858.87755102	T	1009	898	5192	0.194337442218798	0.172958397534669	0.889990089197225	ABC_distanceToTSS	6.27860555723914	5.92817332190228	6.64975290073747	0.0293024697635901	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-848652.857142857	T	1078	958	5192	0.207627118644068	0.184514637904468	0.888682745825603	ABC_distanceToTSS	5.67530980157337	5.37084418512528	5.99703514636283	0.0281331967314367	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-848652.857142857	T	1009	898	5192	0.194337442218798	0.172958397534669	0.889990089197225	ABC_distanceToTSS	6.27997709156639	5.9294682971547	6.65120552032014	0.0293024705090292	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-828446.836734694	T	1078	957	5192	0.207627118644068	0.184322033898305	0.887755102040816	ABC_distanceToTSS	5.67662174650973	5.37208574059497	5.99842147146712	0.0281331973992602	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-828446.836734694	T	1009	898	5192	0.194337442218798	0.172958397534669	0.889990089197225	ABC_distanceToTSS	6.28130633698293	5.93072334406069	6.65261335087124	0.0293024712314839	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-808240.816326531	T	1078	957	5192	0.207627118644068	0.184322033898305	0.887755102040816	ABC_distanceToTSS	5.67824611835854	5.37362296040647	6.00013793640165	0.0281331982261194	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-808240.816326531	T	1009	898	5192	0.194337442218798	0.172958397534669	0.889990089197225	ABC_distanceToTSS	6.2825932393968	5.93193841154803	6.65397633510052	0.0293024719309248	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-788034.795918367	T	1078	956	5192	0.207627118644068	0.184129429892142	0.88682745825603	ABC_distanceToTSS	5.68064335376165	5.37589157749831	6.00267108207811	0.0281331994463918	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-788034.795918367	T	1009	897	5192	0.194337442218798	0.172765793528505	0.888999008919723	ABC_distanceToTSS	6.28426700108282	5.9335187438078	6.65574904977122	0.0293024728406267	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-767828.775510204	T	1078	956	5192	0.207627118644068	0.184129429892142	0.88682745825603	ABC_distanceToTSS	5.68305905442239	5.37817766912465	6.00522373990463	0.0281332006760635	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-767828.775510204	T	1009	897	5192	0.194337442218798	0.172765793528505	0.888999008919723	ABC_distanceToTSS	6.28637119700298	5.93550548344218	6.65797764600677	0.0293024739842727	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-747622.755102041	T	1078	956	5192	0.207627118644068	0.184129429892142	0.88682745825603	ABC_distanceToTSS	5.6855590832951	5.38054356450911	6.00786550690973	0.0281332019486612	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-747622.755102041	T	1009	896	5192	0.194337442218798	0.172573189522342	0.88800792864222	ABC_distanceToTSS	6.28864875095284	5.93765590424529	6.66038984923082	0.0293024752221401	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-727416.734693878	T	1078	956	5192	0.207627118644068	0.184129429892142	0.88682745825603	ABC_distanceToTSS	5.68758374366935	5.38245959622586	6.01000495460001	0.0281332029792805	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-727416.734693878	T	1009	896	5192	0.194337442218798	0.172573189522342	0.88800792864222	ABC_distanceToTSS	6.29094946561685	5.93982819292001	6.6628265824452	0.0293024764725955	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-707210.714285714	T	1078	955	5192	0.207627118644068	0.183936825885978	0.885899814471243	ABC_distanceToTSS	5.6897416755909	5.3845017490924	6.01228522962458	0.0281332040777394	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-707210.714285714	T	1009	896	5192	0.194337442218798	0.172573189522342	0.88800792864222	ABC_distanceToTSS	6.2930366154989	5.94179883799867	6.66503712491026	0.0293024776069768	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-687004.693877551	T	1078	955	5192	0.207627118644068	0.183936825885978	0.885899814471243	ABC_distanceToTSS	5.69318787529994	5.387763050575	6.01592681029338	0.0281332058319694	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-687004.693877551	T	1009	896	5192	0.194337442218798	0.172573189522342	0.88800792864222	ABC_distanceToTSS	6.29587908633012	5.94448264196194	6.66804764301687	0.0293024791518807	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-666798.673469388	T	1078	955	5192	0.207627118644068	0.183936825885978	0.885899814471243	ABC_distanceToTSS	5.69723299773974	5.39159114088476	6.0202012694175	0.028133207891071	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-666798.673469388	T	1009	896	5192	0.194337442218798	0.172573189522342	0.88800792864222	ABC_distanceToTSS	6.29909071967554	5.94751500174932	6.67144914859937	0.0293024808974272	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-646592.653061224	T	1078	954	5192	0.207627118644068	0.183744221879815	0.884972170686456	ABC_distanceToTSS	5.70057248593978	5.39475145618155	6.02373008866194	0.0281332095909813	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-646592.653061224	T	1009	895	5192	0.194337442218798	0.172380585516179	0.887016848364718	ABC_distanceToTSS	6.30165806984265	5.94993904226754	6.67416828090377	0.0293024822928009	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-626386.632653061	T	1078	954	5192	0.207627118644068	0.183744221879815	0.884972170686456	ABC_distanceToTSS	5.70403182227604	5.39802518940389	6.02738555081301	0.0281332113518982	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-626386.632653061	T	1009	895	5192	0.194337442218798	0.172380585516179	0.887016848364718	ABC_distanceToTSS	6.30567509745199	5.95373183911476	6.6784227958339	0.0293024844760851	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-606180.612244898	T	1078	954	5192	0.207627118644068	0.183744221879815	0.884972170686456	ABC_distanceToTSS	5.70794310913651	5.40172662470779	6.03151858668921	0.028133213342873	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-606180.612244898	T	1009	894	5192	0.194337442218798	0.172187981510015	0.886025768087215	ABC_distanceToTSS	6.30948087442441	5.95732517732045	6.68245357098895	0.029302486544553	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-585974.591836735	T	1078	953	5192	0.207627118644068	0.183551617873652	0.88404452690167	ABC_distanceToTSS	5.71287299363901	5.40639200698009	6.03672796928397	0.0281332158523478	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-585974.591836735	T	1009	892	5192	0.194337442218798	0.171802773497689	0.88404360753221	ABC_distanceToTSS	6.31437458022612	5.96194571604071	6.68763659355894	0.0293024892043182	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-565768.571428571	T	1078	950	5192	0.207627118644068	0.182973805855162	0.88126159554731	ABC_distanceToTSS	5.71777811744787	5.41103395699436	6.04191118743701	0.0281332183492186	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-565768.571428571	T	1009	890	5192	0.194337442218798	0.171417565485362	0.882061446977205	ABC_distanceToTSS	6.32060010549794	5.96782373188334	6.69423017308406	0.0293024925879372	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-545562.551020408	T	1078	949	5192	0.207627118644068	0.182781201848998	0.880333951762523	ABC_distanceToTSS	5.72334189227701	5.41629921947991	6.04779039866974	0.0281332211813645	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_T)	#96A0B3
