Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
K562	-990095	blood	617	533	2861	0.215658860538273	0.186298497029011	0.863857374392221	ABC_distanceToTSS	4.25240085278988	3.9592519115244	4.5672549807132	0.0364438501675052	1.83807994542125e-191	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96A0B3
BMMC5_Erythroid	-990095	blood	607	526	2861	0.212163579168123	0.183851800069906	0.866556836902801	ABC_distanceToTSS	5.35431562819993	4.97973900802101	5.75706795079191	0.0370034419746533	3.24474282755378e-234	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Erythroid)	#646A77
K562	-969888.979591837	blood	617	533	2861	0.215658860538273	0.186298497029011	0.863857374392221	ABC_distanceToTSS	4.25425572433248	3.96097890640392	4.56924719764465	0.0364438510520736	1.49280862065427e-191	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96A0B3
BMMC5_Erythroid	-969888.979591837	blood	607	526	2861	0.212163579168123	0.183851800069906	0.866556836902801	ABC_distanceToTSS	5.35493185396284	4.98031212099204	5.75773053253417	0.0370034422756551	3.06711387455463e-234	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Erythroid)	#646A77
K562	-949682.959183673	blood	617	533	2861	0.215658860538273	0.186298497029011	0.863857374392221	ABC_distanceToTSS	4.25547305381227	3.96211231199237	4.57055466522504	0.036443851632605	1.30232032282434e-191	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96A0B3
BMMC5_Erythroid	-949682.959183673	blood	607	526	2861	0.212163579168123	0.183851800069906	0.866556836902801	ABC_distanceToTSS	5.35588448191435	4.9811981005593	5.75875482253758	0.037003442740976	2.81148893209463e-234	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Erythroid)	#646A77
K562	-929476.93877551	blood	617	533	2861	0.215658860538273	0.186298497029011	0.863857374392221	ABC_distanceToTSS	4.25694168266746	3.96347969212675	4.57213203984095	0.0364438523329784	1.10461164847256e-191	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96A0B3
BMMC5_Erythroid	-929476.93877551	blood	607	526	2861	0.212163579168123	0.183851800069906	0.866556836902801	ABC_distanceToTSS	5.35657114455064	4.98183672245092	5.7594931398146	0.0370034430763834	2.64057108315346e-234	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Erythroid)	#646A77
K562	-909270.918367347	blood	617	533	2861	0.215658860538273	0.186298497029011	0.863857374392221	ABC_distanceToTSS	4.2583507908264	3.96479165497681	4.57364548650864	0.036443853004967	9.43228382864961e-192	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96A0B3
BMMC5_Erythroid	-909270.918367347	blood	607	526	2861	0.212163579168123	0.183851800069906	0.866556836902801	ABC_distanceToTSS	5.35811327357436	4.98327096002277	5.76115127649462	0.0370034438296522	2.29369187560211e-234	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Erythroid)	#646A77
