Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC5_Dendritic	-990095	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4425370177421	7.62613439280215	17.1688101282318	0.20702250020726	1.58267802791142e-08	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Dendritic)	#96A0B3
PBMC5_DC	-990095	dendritic	12	10	35	0.342857142857143	0.285714285714286	0.833333333333333	ABC_distanceToTSS	13.3266927368191	8.42417105907256	21.0822807438503	0.234016502076796	1.25120460672431e-07	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_DC)	#646A77
BMMC5_Dendritic	-969888.979591837	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4445524063936	7.62747758585947	17.1718341100743	0.207022500724206	1.57869048752274e-08	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Dendritic)	#96A0B3
PBMC5_DC	-969888.979591837	dendritic	12	10	35	0.342857142857143	0.285714285714286	0.833333333333333	ABC_distanceToTSS	13.3292974441585	8.42581755374873	21.0864013161313	0.234016502856253	1.24816085253302e-07	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_DC)	#646A77
BMMC5_Dendritic	-949682.959183673	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4481146619136	7.62985171695621	17.1771790821387	0.207022501637922	1.5716685798001e-08	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Dendritic)	#96A0B3
PBMC5_DC	-949682.959183673	dendritic	12	10	35	0.342857142857143	0.285714285714286	0.833333333333333	ABC_distanceToTSS	13.3332330143074	8.42830531702837	21.092627275218	0.23401650403397	1.24357701985059e-07	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_DC)	#646A77
BMMC5_Dendritic	-929476.93877551	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4531593806092	7.63321386304894	17.1847484101856	0.20702250293189	1.56178137175785e-08	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Dendritic)	#96A0B3
PBMC5_DC	-929476.93877551	dendritic	12	10	35	0.342857142857143	0.285714285714286	0.833333333333333	ABC_distanceToTSS	13.3377564704916	8.43116469640933	21.0997832531849	0.234016505387611	1.23833084302014e-07	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_DC)	#646A77
BMMC5_Dendritic	-909270.918367347	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4587137088004	7.63691564779707	17.193082379812	0.207022504356572	1.55097204321239e-08	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Dendritic)	#96A0B3
PBMC5_DC	-909270.918367347	dendritic	12	10	35	0.342857142857143	0.285714285714286	0.833333333333333	ABC_distanceToTSS	13.3399927231833	8.43257828251502	21.1033209408294	0.234016506056808	1.23574610681018e-07	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_DC)	#646A77
BMMC5_Dendritic	-889064.897959184	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4641048712927	7.64050868772773	17.2011715281595	0.207022505739402	1.54055652467573e-08	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Dendritic)	#96A0B3
PBMC5_DC	-889064.897959184	dendritic	12	10	35	0.342857142857143	0.285714285714286	0.833333333333333	ABC_distanceToTSS	13.345533339495	8.43608063188223	21.1120860370242	0.234016507714834	1.22936706780508e-07	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_DC)	#646A77
BMMC5_Dendritic	-868858.87755102	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4680166373493	7.64311575653619	17.2070409220287	0.207022506742768	1.53304585130364e-08	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Dendritic)	#96A0B3
