Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC5_Myeloid	-990095	myeloid	1420	1293	4346	0.326737229636447	0.297514956281638	0.91056338028169	ABC_distanceToTSS	6.80626337422618	6.50566629846807	7.1207496656017	0.0230462078186377	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Myeloid)	#96A0B3
PBMC5_Mono	-990095	myeloid	1329	1216	4346	0.305798435342844	0.279797514956282	0.91497366440933	ABC_distanceToTSS	8.10310816347003	7.72581952324366	8.49882160867866	0.0243268794877071	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_Mono)	#646A77
BMMC5_Myeloid	-969888.979591837	myeloid	1420	1293	4346	0.326737229636447	0.297514956281638	0.91056338028169	ABC_distanceToTSS	6.80731004592858	6.50666673978238	7.12184470399817	0.0230462081613168	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Myeloid)	#96A0B3
PBMC5_Mono	-969888.979591837	myeloid	1329	1216	4346	0.305798435342844	0.279797514956282	0.91497366440933	ABC_distanceToTSS	8.10429064202086	7.72694693811405	8.50006184025608	0.0243268799052006	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_Mono)	#646A77
BMMC5_Myeloid	-949682.959183673	myeloid	1420	1293	4346	0.326737229636447	0.297514956281638	0.91056338028169	ABC_distanceToTSS	6.80858468953392	6.50788508371866	7.12317824888005	0.0230462085786336	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Myeloid)	#96A0B3
PBMC5_Mono	-949682.959183673	myeloid	1329	1216	4346	0.305798435342844	0.279797514956282	0.91497366440933	ABC_distanceToTSS	8.10642461362036	7.72898153849397	8.50230003643077	0.0243268806586344	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_Mono)	#646A77
BMMC5_Myeloid	-929476.93877551	myeloid	1420	1293	4346	0.326737229636447	0.297514956281638	0.91056338028169	ABC_distanceToTSS	6.81017866546357	6.50940865540313	7.1248458824349	0.0230462091004994	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Myeloid)	#96A0B3
PBMC5_Mono	-929476.93877551	myeloid	1329	1216	4346	0.305798435342844	0.279797514956282	0.91497366440933	ABC_distanceToTSS	8.1084900688989	7.73095081310061	8.50446636990864	0.0243268813878773	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_Mono)	#646A77
BMMC5_Myeloid	-909270.918367347	myeloid	1420	1293	4346	0.326737229636447	0.297514956281638	0.91056338028169	ABC_distanceToTSS	6.81149995387697	6.51067158389062	7.1262282275864	0.0230462095330877	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Myeloid)	#96A0B3
PBMC5_Mono	-909270.918367347	myeloid	1329	1216	4346	0.305798435342844	0.279797514956282	0.91497366440933	ABC_distanceToTSS	8.10992954749618	7.73232326045932	8.50597615359457	0.0243268818961089	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_Mono)	#646A77
BMMC5_Myeloid	-889064.897959184	myeloid	1420	1293	4346	0.326737229636447	0.297514956281638	0.91056338028169	ABC_distanceToTSS	6.81355124435117	6.51263227100789	7.12837430819884	0.0230462102046778	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Myeloid)	#96A0B3
PBMC5_Mono	-889064.897959184	myeloid	1329	1216	4346	0.305798435342844	0.279797514956282	0.91497366440933	ABC_distanceToTSS	8.11285651481645	7.73511392963855	8.50904607594776	0.0243268829295229	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_Mono)	#646A77
BMMC5_Myeloid	-868858.87755102	myeloid	1420	1293	4346	0.326737229636447	0.297514956281638	0.91056338028169	ABC_distanceToTSS	6.81517795988991	6.51418713621732	7.13007619427096	0.0230462107372625	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Myeloid)	#96A0B3
PBMC5_Mono	-868858.87755102	myeloid	1329	1216	4346	0.305798435342844	0.279797514956282	0.91497366440933	ABC_distanceToTSS	8.11471600358318	7.7368868288224	8.5109963833905	0.024326883586046	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_Mono)	#646A77
BMMC5_Myeloid	-848652.857142857	myeloid	1420	1293	4346	0.326737229636447	0.297514956281638	0.91056338028169	ABC_distanceToTSS	6.81660767814993	6.51555370530975	7.13157197982202	0.0230462112053506	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Myeloid)	#96A0B3
PBMC5_Mono	-848652.857142857	myeloid	1329	1216	4346	0.305798435342844	0.279797514956282	0.91497366440933	ABC_distanceToTSS	8.11655308541356	7.73863836447439	8.51292318953206	0.024326884234658	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (PBMC5_Mono)	#646A77
BMMC5_Myeloid	-828446.836734694	myeloid	1420	1293	4346	0.326737229636447	0.297514956281638	0.91056338028169	ABC_distanceToTSS	6.81873815813703	6.51759008420843	7.13380090930969	0.0230462119028672	0	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (BMMC5_Myeloid)	#96A0B3
