Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
K562	-990095	spleen	134	106	621	0.215780998389694	0.170692431561997	0.791044776119403	ABC_distanceToTSS	4.25414010527614	3.6532142189355	4.95391371836726	0.0776979905612474	1.82346617212465e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-969888.979591837	spleen	134	106	621	0.215780998389694	0.170692431561997	0.791044776119403	ABC_distanceToTSS	4.25599573547017	3.65480772255459	4.95607459417304	0.0776979914458158	1.74106930801073e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-949682.959183673	spleen	134	106	621	0.215780998389694	0.170692431561997	0.791044776119403	ABC_distanceToTSS	4.25721356284359	3.65585351946372	4.95749275050769	0.0776979920263472	1.6890414251971e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-929476.93877551	spleen	134	106	621	0.215780998389694	0.170692431561997	0.791044776119403	ABC_distanceToTSS	4.25868279237507	3.65711520542391	4.95920366390791	0.0776979927267206	1.62835234102438e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-909270.918367347	spleen	134	106	621	0.215780998389694	0.170692431561997	0.791044776119403	ABC_distanceToTSS	4.26009247686606	3.65832575768117	4.96084523729077	0.0776979933987092	1.57218777547344e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-889064.897959184	spleen	134	106	621	0.215780998389694	0.170692431561997	0.791044776119403	ABC_distanceToTSS	4.26164161084424	3.65965606076736	4.96264919919031	0.0776979941371727	1.51271411165948e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-868858.87755102	spleen	134	106	621	0.215780998389694	0.170692431561997	0.791044776119403	ABC_distanceToTSS	4.26368576721505	3.66141145930481	4.96502961319836	0.0776979951116104	1.43768808973969e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-848652.857142857	spleen	134	106	621	0.215780998389694	0.170692431561997	0.791044776119403	ABC_distanceToTSS	4.26543698471001	3.6629152995503	4.96706890076483	0.0776979959464059	1.37640033849711e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-828446.836734694	spleen	134	106	621	0.215780998389694	0.170692431561997	0.791044776119403	ABC_distanceToTSS	4.26762368964992	3.66479311021119	4.96961531217561	0.0776979969887958	1.30355134185393e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-808240.816326531	spleen	134	106	621	0.215780998389694	0.170692431561997	0.791044776119403	ABC_distanceToTSS	4.26909142676102	3.66605351454598	4.97132448769001	0.0776979976884578	1.25684450728111e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-788034.795918367	spleen	134	105	621	0.215780998389694	0.169082125603865	0.783582089552239	ABC_distanceToTSS	4.2713253653572	3.66797188661633	4.97392590257116	0.0776979987533636	1.18896881679422e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-767828.775510204	spleen	134	105	621	0.215780998389694	0.169082125603865	0.783582089552239	ABC_distanceToTSS	4.27318731682391	3.66957081851292	4.97609413954971	0.0776979996409454	1.1352239164122e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-747622.755102041	spleen	134	105	621	0.215780998389694	0.169082125603865	0.783582089552239	ABC_distanceToTSS	4.27588741704306	3.67188950212156	4.97923839828607	0.0776980009280679	1.06160117080314e-40	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-727416.734693878	spleen	134	105	621	0.215780998389694	0.169082125603865	0.783582089552239	ABC_distanceToTSS	4.27852984681594	3.67415866180953	4.98231549997332	0.0776980021876992	9.94206603470432e-41	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-707210.714285714	spleen	134	103	621	0.215780998389694	0.165861513687601	0.76865671641791	ABC_distanceToTSS	4.28078241229037	3.67609302948816	4.98493860584535	0.0776980032614844	9.40167040323987e-41	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-687004.693877551	spleen	134	103	621	0.215780998389694	0.165861513687601	0.76865671641791	ABC_distanceToTSS	4.2835271087314	3.67845000961534	4.98813479679597	0.0776980045698657	8.78301589346968e-41	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-666798.673469388	spleen	134	103	621	0.215780998389694	0.165861513687601	0.76865671641791	ABC_distanceToTSS	4.28835195564269	3.68259329775321	4.99375331690425	0.0776980068698429	7.79314964798769e-41	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-646592.653061224	spleen	134	103	621	0.215780998389694	0.165861513687601	0.76865671641791	ABC_distanceToTSS	4.29193162882001	3.68566730560658	4.99792183587606	0.0776980085762529	7.13202568547876e-41	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-626386.632653061	spleen	134	103	621	0.215780998389694	0.165861513687601	0.76865671641791	ABC_distanceToTSS	4.29643223196865	3.68953215265658	5.00316277515235	0.0776980107216649	6.38031934518537e-41	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
K562	-606180.612244898	spleen	134	103	621	0.215780998389694	0.165861513687601	0.76865671641791	ABC_distanceToTSS	4.30109219410095	3.69353384757417	5.00858928754806	0.0776980129430425	5.68590463798965e-41	99	In element (ABC) & distance to TSS	-54128	In element (ABC) & distance to TSS (K562)	#96a0b3
